台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000052,上野市上水道水源地送水機関室,うえのしじょうすいどうすいげんちそうすいきかんしつ,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和11,1936,鉄筋コンクリート造平屋建、トタン葺、建築面積81㎡,,24 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県伊賀市小田町沢ノ谷646,,伊賀市,,,34.78160000000000,136.12650000000000,鉄筋コンクリート造，平屋建になり，背面側に汲み上げ用の円筒形の井戸等が接続する。機関室の外観は，基壇様に見せる腰壁の石張りやバルコニーを持つ玄関ポーチ，上部半円形の窓枠に様式にとらわれない素朴な意匠となっている。,https://bunka.nii.ac.jp/heritage/43967/_101042/43967_101042840503707121218_300.jpg
101,00000053,宮崎本店事務所,みやざきほんてんじむしょ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建、瓦葺、建築面積66㎡,,24 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県四日市市楠町南五味塚慶応950,,株式会社宮崎本店,,,34.90975000000000,136.63380000000000,この地は，古くから鈴鹿川の伏流水を用いた酒造業が盛んであったが，宮崎本店は老舗酒造の一つである。木造モルタル塗，２階建の事務所は，２階外壁の一部をタイル張りとする住宅風の建物で，工場内唯一の洋風建築。正面妻壁上部のモチーフに特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101043/43967_101043111225010324576_300.jpg
101,00000054,宮崎本店貯蔵庫Ａ棟,みやざきほんてんちょぞうこえーとう,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建、瓦葺、建築面積278㎡,,24 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県四日市市楠町南五味塚慶応950,,株式会社宮崎本店,,,34.90969000000000,136.63310000000000,木造２階建，切妻造の重厚な構えになる大型の倉庫で，妻壁に亀甲宮の商標が描かれる。外壁の仕様は，他の倉庫群の仕様と異り，腰下が羽目板張りで，上部は下見板張りになって，一連の建物群のなかで中心的な存在であったことを示している。,https://bunka.nii.ac.jp/heritage/43967/_101044/43967_101044111225010325066_300.jpg
101,00000055,宮崎本店第４倉庫,みやざきほんてんだいよんそうこ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建、瓦葺、建築面積655㎡,,24 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県四日市市楠町南五味塚慶応950,,株式会社宮崎本店,,,34.90918000000000,136.63430000000000,貯蔵庫Ｂ棟の東隣にあるＬ型の木造２階建の大型倉庫で，元は酒蔵として造られたといわれる。構造的には３連の倉庫で，北側に搬入口を開き，１・２階とも窓を大きく開く点は他の倉庫群と異なる。整然とした外観は，酒造倉庫群の景観を引き立てている。,https://bunka.nii.ac.jp/heritage/43967/_101045/43967_101045111225010325934_300.jpg
101,00000056,宮崎本店第８倉庫,みやざきほんてんだいはちそうこ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建、瓦葺、建築面積105㎡,,24 － 0006,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県四日市市楠町南五味塚慶応950,,株式会社宮崎本店,,,34.90988000000000,136.63330000000000,貯蔵庫Ａ棟の北隣にある木造２階建ての倉庫で，近年背面（北）側に併設された。外壁は土壁であるが，現在は亜鉛引き鉄板で覆われる。搬入口は新しく改修されているが，軸部の保存はよい。,https://bunka.nii.ac.jp/heritage/43967/_101046/43967_101046111225010326440_300.jpg
101,00000057,宮崎本店貯蔵庫,みやざきほんてんちょぞうこ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建、瓦葺、建築面積480㎡,,24 － 0007,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,三重県,三重県四日市市楠町南五味塚慶応950,,株式会社宮崎本店,,,34.90971000000000,136.63350000000000,本店事務所の向かいに建つ複合建物で，並列する２棟の２階建倉庫をＨ型に連結した形式になり，各面に庇が取り付く。北側の道に面して茶色の煉瓦造の煙突が付属し，黒壁を基調とする周囲の景観に変化を与えている。,https://bunka.nii.ac.jp/heritage/43967/_101047/43967_101047111225010326937_300.jpg
101,00000058,旧舟木橋,きゅうふなきばし,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治38（昭和9に橋台を改修）,1905（1934に橋台を改修）,鋼ワーレントラス橋、橋脚煉瓦造、全長90.2m、中央径間22.5m,,24 － 0008,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,三重県,三重県多気郡大台町佐原～度合郡大紀町舟木,,三重県,,,34.39080000000000,136.40640000000000,宮川渓谷にかけられた県道打見大台線の道路橋で，煉瓦造の橋脚は明治３８年の竣工時のものである。橋台は，昭和９年の改修により現在のワーレントラス形式に改められた。橋脚は変形５角形の基壇の上に建つ独特の形状になり，架橋技術の高さを示している。,https://bunka.nii.ac.jp/heritage/43967/_101048/43967_101048111225010328379_300.jpg
101,00000292,松阪市立歴史民俗資料館（旧飯南郡図書館）本館,まつさかしりつれきしみんぞくしりょうかん（きゅういいなんぐんとしょかん）ほんかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治45,1912,木造2階建，瓦葺，建築面積239㎡,,24 － 0009,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,三重県,三重県松阪市殿町1539,,松阪市,,,34.57659000000000,136.52580000000000,松阪城跡公園の北端に建つ。木造，２階建で伝統的な和風の意匠をもち，左右に翼部，中央に玄関が突出した左右対称の構成に特徴がある。設計は清水義一である。近代における伝統的な和風建築の展開を知ることができる好例である。,https://bunka.nii.ac.jp/heritage/43967/_101282/43967_101282141128140755232_300.jpg
101,00000293,松阪市立歴史民俗資料館（旧飯南郡図書館）倉庫,まつさかしりつれきしみんぞくしりょうかん（きゅういいなんぐんとしょかん）そうこ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治45,1912,土蔵造2階建，瓦葺，建築面積20㎡,,24 － 0010,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,三重県,三重県松阪市殿町1539,,松阪市,,,34.57668000000000,136.52600000000000,本館の東に隣接して建つ本館と同時に建設された２階建の土蔵。漆喰壁を下見板で覆い，外観の意匠を本館とあわせるが，高さを低く押さえている点は立ちの高い本館とは対照的である。市民の寄付でつくられた図書館の付属施設として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101283/43967_101283141128140756223_300.jpg
101,00000412,北泉家住宅主屋（旧上野警察署庁舎）,きたいずみけじゅうたくしゅおく（きゅううえのけいさつしょちょうしゃ）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治21,1888,木造平屋建，瓦葺，建築面積130㎡,,24 － 0014,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,三重県,三重県伊賀市上野丸之内1-2,,,,,34.76657000000000,136.12530000000000,三重県内各地の警察署庁舎の範となったといわれる建物で，木造平屋建，寄棟造になる。もと城内東大手にあり，昭和１３年に現在地に移築された。入口に切妻屋根，縦長の上下窓には独特の小庇を取り付け，隅柱等ともに彩色を施す外観の意匠も優れている。,https://bunka.nii.ac.jp/heritage/43967/_101402/43967_101402111225010710225_300.jpg
