台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000060,南座,みなみざ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和4,1929,鉄骨鉄筋コンクリート造・鉄骨造地上4階地下1階建、瓦葺、建築面積1797㎡,,26 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,京都府,京都府京都市東山区四条通大和大路西入中之町198,,松竹株式会社,,,35.00349000000000,135.77230000000000,桃山風の意匠を凝らした劇場建築で，総客席数1500余の大劇場を収容する。平成２年から３年にかけて改修が行われ，外観は竣工当時の姿に復元された。演劇の中心地の一つとして，また都市のランドマークとして，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101050/43967_101050111225010329139_300.jpg
101,00000138,レストラン菊水,れすとらんきくすい,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正15,1926,鉄筋コンクリート造地上5階地下1階建塔屋付，建築面積203㎡,,26 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,京都府,京都府京都市東山区川端通四条上る川端町187,,,,,35.00397000000000,135.77310000000000,京都における西欧料理の草分け的な存在である菊水の店舗で，ＲＣ造，５階建ての正面に塔屋が付く。建物の様式は表現主義を基調とし，内外に様々な新様式を取り入れ見事にまとめている。内部は改装されているが，大正期の京都の新建築活動の規範的作品である。,https://bunka.nii.ac.jp/heritage/43967/_101128/43967_101128111225010420455_300.jpg
101,00000218,楽々荘洋館,らくらくそうようかん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治31頃,1898頃,煉瓦造一部木造2階建，瓦葺，建築面積103㎡,,26 － 0003,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,再現することが容易でないもの,,京都府,京都府亀岡市北町44,,光明文化芸術株式会社,営利法人,,35.01600000000000,135.57650000000000,衆議院議員・貴族院議員をつとめた田中源太郎の住宅として建設されたもので、設計施工は清水組である。東と南にベランダを持つ外観に特徴があり、内部の各室の床や暖炉の仕様を変える等、各部に用いられた技能の水準が高い手の込んだつくりの建物である。,https://bunka.nii.ac.jp/heritage/43967/_101208/43967_101208111225010507642_300.jpg
101,00000219,楽々荘日本館,らくらくそうにほんかん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治31頃,1898頃,木造平屋建，瓦葺，建築面積235㎡,,26 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,再現することが容易でないもの,,京都府,京都府亀岡市北町44,,光明文化芸術株式会社,,,35.01605000000000,135.57650000000000,和館部は、当初は主人室、夫人室として使用されていたと伝える。平屋建だが、屋根は庇屋根を廻し二重とする。主人室・夫人室の室内意匠を変えており、とくに両室のトコ㎡棚の構成や用いられた材料の扱い等に技術㎡技能の水準の高さを見ることができる。,https://bunka.nii.ac.jp/heritage/43967/_101209/43967_101209111225010508146_300.jpg
101,00000220,楽々荘玄関,らくらくそうげんかん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治31頃,1898頃,木造平屋建，瓦葺，建築面積83㎡,,26 － 0005,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,再現することが容易でないもの,,京都府,京都府亀岡市北町44,,光明文化芸術株式会社,営利法人,,35.01587000000000,135.57640000000000,洋館の南西側にあり、廊下を介して和館に通じる。式台を備えた本格的な和風の玄関だが、入母屋造の妻を小さくおさえる等、全体のバランスに配慮したつくりとなっている。設計を手がけた作者の技能の水準の高さをよく示す建物である。,https://bunka.nii.ac.jp/heritage/43967/_101210/43967_101210111225010508646_300.jpg
101,00000253,旧京都中央電話局上分局,きゅうきょうとちゅうおうでんわきょくかみぶんきょく,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正12,1923,鉄筋コンクリート造3階建，瓦葺，建築面積745㎡,,26 － 0006,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,京都府,京都府京都市上京区中筋通丸太町下る駒之町561-1,,西日本電信電話株式会社,,,35.01739000000000,135.77070000000000,逓信省技師吉田鉄郎の設計。施工清水組。吉田の表現主義から合理主義建築へ展開する過程を知ることのできる作品の一つ。現存するRC造電話局舎の中でも最も古い作品の一つ。鴨川の右岸に位置し、その特異な外観は近代教との河岸景観を特徴づけている。,https://bunka.nii.ac.jp/heritage/43967/_101243/43967_101243111225010532873_300.jpg
101,00000298,SACRA（旧不動貯金銀行京都支店）,さくら（きゅうふどうちょきんぎんこうきょうとしてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正5頃,1916頃,木骨煉瓦造地上3階地下1階建，銅板葺，建築面積232㎡,,26 － 0008,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,京都府,京都府京都市中京区三条通富小路西入中之町20,,ツカキ株式会社,,,35.00872000000000,135.76480000000000,木骨煉瓦造，地上３階地下１階建で，屋根を銅板葺とする旧銀行の建物。全体に装飾豊かな洋風の意匠を持ち，１階部分のストライプ模様や正面中央の円形装飾等に代表されるように，細部に幾何学的な形態を用いてまとめる点に時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101288/43967_101288111225010554023_300.jpg
101,00000357,日本生命京都三条ビル旧棟（旧日本生命京都支店）,にほんせいめいきょうとさんじょうびるきゅうとう（きゅうにほんせいめいきょうとしてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正3,1914,煉瓦造2階建，銅板葺，建築面積65㎡,,26 － 0009,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,京都府,京都府京都市中京区三条通高倉東入桝屋町75,,京王電鉄株式会社,,,35.00876000000000,135.76390000000000,洋風の近代建築が多く立ち並ぶ三条通りに面して建つ。現在残るのは，明治４５年に着工，大正３年に竣工した社屋の通りに面した塔屋を含む１スパン部分である。設計は辰野片岡建築事務所で，外壁を石張りにする外観には，その作風がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101347/43967_101347835076324631073_300.jpg
101,00000413,祇園閣,ぎおんかく,1棟,,登録有形文化財(建造物),その他,建築物,,昭和前,昭和2,1927,鉄筋コンクリート造・鉄骨鉄筋コンクリート造3階建，銅板葺，建築面積67㎡,,26 － 0010,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,再現することが容易でないもの,,京都府,京都府京都市東山区四条通大和大路東入祇園町南側594-1,,本山龍池山大雲院,,,35.00214000000000,135.77970000000000,大倉喜八郎の依頼により，伊東忠太が設計した普請道楽の一つ。施工大倉土木。総高約３４ｍの３階建塔状建築で，下層及び基礎部分を鉄筋コンクリート造，中層以上を鉄骨鉄筋コンクリートとする。山鉾をかたどった和風の外観，内部のグロテスク型の照明は特異。,https://bunka.nii.ac.jp/heritage/43967/_101403/43967_101403111225010711733_300.jpg
101,00000414,大雲院書院（旧大倉家京都別邸）,だいうんいんしょいん（きゅうおおくらけきょうとべってい）,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,木造・鉄筋コンクリート造2階建，瓦葺，建築面積234㎡,,26 － 0011,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,京都府,京都府京都市東山区四条通大和大路東入祇園町南側594-1,,本山龍池山大雲院,,,35.00237000000000,135.77990000000000,もと大倉家の別邸で，寝室及び納戸のみ鉄筋コンクリート造とし，その他を木造とする。全体に吟味された良材を用い，洗練された技法になる質の高い和風住宅で，特に内部を八角形状に仕上げた応接室は見応えがある。設計は伊東忠太，施工は大倉土木。,https://bunka.nii.ac.jp/heritage/43967/_101404/43967_101404111225010712236_300.jpg
