台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000230,村岡総本舗羊羹資料館,むらおかそうほんぽようかんしりょうかん,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和16,1941,木造2階建，建築面積72㎡,,41 － 0002,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,佐賀県,佐賀県小城市小城町861,,,,,33.30135000000000,130.20420000000000,砂糖貯蔵庫として建てられ、昭和59年の改装によって資料館となった。躯体は木造で、寄棟の屋根、和小屋の小屋組とも完全な和風建築であるが、ファサードは煉瓦とタイルによる洋風の意匠となっており、その特徴的な外観で広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101220/43967_101220111225010514249_300.jpg
101,00000368,徴古館,ちょうこかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和2,1927,鉄筋コンクリート造2階建，建築面積206㎡,,41 － 0003,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,佐賀県,佐賀県佐賀市松原2-59,,公益財団法人鍋島報效会,,,33.25154000000000,130.30130000000000,鍋島家所蔵資料を展示するための博物館施設として建てられた。正面ファサードは，ペアコラムを持つ半円形の車寄せと，２階の列柱からなり，背面は簡素な意匠である。県内のＲＣ造としては早い時期のものであり，また本格的な洋風意匠を持つ点にも特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101358/43967_101358111225010639136_300.jpg
101,00000608,竹屋,たけや,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正12,1923,木造３階建，瓦葺，建築面積100㎡,,41 － 0004,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,再現することが容易でないもの,,佐賀県,佐賀県唐津市中町1884-2,,,,,33.44856000000000,129.97030000000000,唐津市の繁華街にある老舗の料理店竹屋の木造３階建の店舗。１階は調理場と家族の住居部であるが，２階は６畳代の客室が３室，３階は１０畳代の客室が２室が配される。いずれも吟味された材料を用い，階段廻りや客室の欄間，床棚など凝った造作になる。,https://bunka.nii.ac.jp/heritage/43967/_101598/43967_101598111225010914078_300.jpg
101,00000713,杉光陶器店主屋,すぎみつとうきてんしゅおく,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸時代末期,1830-1867,木造３階建，瓦葺，建築面積258㎡,,41 － 0005,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,再現することが容易でないもの,,佐賀県,佐賀県嬉野市塩田町大字馬場下甲728,,,,,33.12985000000000,130.05960000000000,塩田川の舟運を用いた物資の集散地として栄えた長崎街道沿の町並みの一画に建つ入母屋造，妻入の土蔵造の大型町家で，正面左手に通り土間，右手に２列の居室を配する構成になる。近年の改装で内部店廻りは一変したが，奥向きの部屋は旧態を良く残している。,https://bunka.nii.ac.jp/heritage/43967/_101703/43967_101703746716451427037_300.jpg
101,00000714,杉光陶器店一の蔵,すぎみつとうきてんいちのくら,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸時代末期,1830-1867,木造平屋建，瓦葺，建築面積89㎡,,41 － 0006,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,佐賀県,佐賀県嬉野市塩田町大字馬場下甲728,,,,,33.12969000000000,130.05990000000000,主屋の後方に位置し，南側の路地に沿って建つ切妻造，２階建の土蔵で，切石積の土台上に建ち外壁に縦板を貼る。かつて敷地の背後は塩田川に直接面し，舟運が盛んであった頃は河川から物資の出入が行われたと伝えるが，往時の様相を知る上でも貴重である。,https://bunka.nii.ac.jp/heritage/43967/_101704/43967_101704410888199091917_300.jpg
101,00000715,杉光陶器店二の蔵,すぎみつとうきてんにのくら,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸時代末期,1830-1867,木造平屋建，瓦葺，建築面積56㎡,,41 － 0007,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,佐賀県,佐賀県嬉野市塩田町大字馬場下甲727,,,,,33.12992000000000,130.05970000000000,敷地の東北部に位置し，銀行店舗として使用された三の蔵の背後に棟をそろえて建つ。切妻造，桟瓦葺，２階建の平入土蔵で，出入口に庇が付く。側面及び背面の外壁を縦板貼りとする簡素な造りになる。塩蔵ともよばれ，商家の構えを知る上で貴重な土蔵である。,https://bunka.nii.ac.jp/heritage/43967/_101705/43967_101705307485205104396_300.jpg
101,00000716,杉光陶器店三の蔵,すぎみつとうきてんさんのくら,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸時代末期,1830-1867,木造平屋建，瓦葺，建築面積69㎡,,41 － 0008,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,佐賀県,佐賀県嬉野市塩田町大字馬場下甲727,,,,,33.12981000000000,130.05990000000000,主屋の北側に引き込んで建つ切妻造，妻入，２階建の土蔵で，明治末年から一時地元有志の出資により設立された塩田銀行の店舗として使われた。出入口の構えや正面の煉瓦壁は，その時の改造と考えられ，白漆喰塗の町家が連なるなかで特異な外観を呈している。,https://bunka.nii.ac.jp/heritage/43967/_101706/43967_101706633372992513953_300.jpg
101,00001020,日本福音ルーテル小城教会,にほんふくいんるーてるおぎきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和13,1938,木造平屋一部２階建，スレート葺，建築面積247㎡,,41 － 0010,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,佐賀県,佐賀県小城市小城町170-8,,日本福音ルーテル教会,,,33.29190000000000,130.19870000000000,切妻屋根の小さな木造教会堂で，東面にホール及び牧師館が雁行型状に接続し一体的に構成される。切妻造の教会堂は，背面の妻壁に聖壇部が円形状に張出す独特の外観をしており，親しまれている。設計はヴォーリズ建築事務所で，施工は辻組である。,https://bunka.nii.ac.jp/heritage/43967/_102010/43967_102010111225011412428_300.jpg
101,00001209,多久市西渓公園寒鶯亭,たくしせいけいこうえんかんおうてい,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正13,1924,木造平屋建，瓦葺，建築面積293㎡,,41 － 0011,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,造形の規範となっているもの,,佐賀県,佐賀県多久市多久町1975,,多久市,,,33.25762000000000,130.08900000000000,地元出身の炭鉱主高取伊好が寄贈した公会堂建築。棟札から、設計は杵島炭鉱技師の大坪彌平、棟梁は舩津虎五郎であることが判明している。１６畳３室の四周に縁を回し、入母屋の大屋根を架け、北面の中央に車寄を設ける。木造和風公会堂建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_102199/43967_102199111225011603555_300.jpg
101,00001309,如蘭塾塾舎及び寄宿舎,じょらんじゅくじゅくしゃおよびきしゅくしゃ,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和18頃,1943頃,木造平屋建一部２階建，瓦葺，建築面積489㎡,,41 － 0012,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,佐賀県,佐賀県武雄市武雄町大字武雄4322,,財団法人清香奨学会,,,33.18456000000000,130.02330000000000,中国子女の留学施設として実業家野中忠太が開設した如蘭塾の主要施設で、玄関及び教室等からなる東西棟の塾舎に、南北棟の寄宿舎棟がＬ型に取り付く。設計は当時満州で活躍していた遠藤新といわれ、凝灰岩を用いた玄関の親柱はライト風の独特の構えになる。,https://bunka.nii.ac.jp/heritage/43967/_102299/43967_102299111225011701717_300.jpg
