台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000075,木水家住宅主屋,,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正15,1926,木造2階建、瓦葺、建築面積106㎡,,28 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,兵庫県,兵庫県神戸市東灘区御影町御影城の前1472-1,,,,,34.72368000000000,135.25280000000000,木造モルタル造，２階建の瀟洒な住宅で，勾配のきつい屋根を組み合わせる。設計者は，武田五一の薫陶を受けた小川安一郎で，１９世紀末から２０世紀初頭に流行したイギリスの田園住宅の様式の影響がうかがえる住宅作品として知られる。,https://bunka.nii.ac.jp/heritage/43967/_101065/43967_101065111225010330658_300.jpg
101,00000078,川西市郷土館（旧平安家住宅主屋）,かわにししきょうどかん（きゅうひらやすけじゅうたくしゅおく）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建、瓦葺、建築面積217㎡,,28 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財字上の町８,,川西市,,,34.89795000000000,135.40920000000000,平安家は銅の精錬で栄えた家で，旧宅は土間と２列３室からなる伝統的な６間取りを基調として，屋根や庇等に数寄屋風の意匠を，玄関脇の接客部分等に近代的な間取りを取り入れている。伝統的手法を継承し要所に変化を加えた大正期の大規模邸宅の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101068/43967_101068111225010332281_300.jpg
101,00000079,旧平賀家住宅主屋,きゅうひらがけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7,1918,木造平屋建、スレート葺、建築面積152㎡,,28 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財字上の町８,,川西市,,,34.89817000000000,135.40960000000000,英国に留学経験のある施主が英国のカントリーハウスにならい建てたもので，設計が大林組の松本兎象，施工が鴻池組である。屋根勾配，出窓，暖炉，煙突等の各所にその様子が表れており，19世紀末から流行する本格的な洋風邸宅の大正期における好例といえる。,https://bunka.nii.ac.jp/heritage/43967/_101069/43967_101069111225010332933_300.jpg
101,00000142,川西市郷土館（旧平安家住宅玄関）,かわにししきょうどかん（きゅうひらやすけじゅうたくげんかん）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積41㎡,,28 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89783000000000,135.40920000000000,主屋の南面に建つ入母屋造，平入の平屋建物で四方に庇が付く。平面は，東端を通路を兼ねる土間とし背後に内玄関を置き，西側に接客空間としての広間及び控えの間を配する。主屋から接客部分が分離した近代的な要素が入り込む大正期の住宅建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101132/43967_101132111225010424807_300.jpg
101,00000143,川西市郷土館（旧平安家住宅離れ）,かわにしきょうどかん（きゅうひらやすけじゅうたくはなれ）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積44㎡,,28 － 0007,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89806000000000,135.40900000000000,敷地西面に建つ数寄屋風の造りになる平屋建物で，南及び東面に１間の縁が付く。平面は床構えのある南座敷とその奥の控えの間からなる。吟味された上質の材料を用いた丁寧な造りになり，小規模ながら大正期の和風建築の技術の高さを知る上での好例である。,https://bunka.nii.ac.jp/heritage/43967/_101133/43967_101133111225010425073_300.jpg
101,00000144,川西市郷土館（旧平安家住宅浴室）,かわにししきょうどかん（きゅうひらやすけじゅうたくよくしつ）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積31㎡,,28 － 0008,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89810000000000,135.40910000000000,主屋の背後に独立して建つ切妻造，瓦葺の小規模な建物で，気抜きの小屋根が付く。平面は，浴室と脱衣室からなり，主屋とは瓦屋根付きの渡り廊下で接続する。全体的には簡素な造りであるが，大正期の上層の町家の生活空間を知る上で貴重な遺構である。,https://bunka.nii.ac.jp/heritage/43967/_101134/43967_101134111225010425335_300.jpg
101,00000145,川西市郷土館（旧平安家住宅玄関門）,かわにししきょうどかん（きゅうひらやすけじゅうたくげんかんもん）,1棟,,登録有形文化財(建造物),住宅,その他工作,,大正,大正7～8,1918-1919,一間薬医門屋根塀付，瓦葺,,28 － 0009,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89776000000000,135.40920000000000,玄関棟の東脇にある切妻造，瓦葺の一間薬医門で，左右に袖壁が付く。左袖壁は，潜り戸付きになるが，右袖壁は矩折れとなって玄関棟に接続する。小規模ではあるが，細部に至るまで洗練された技法になる大正期の基準的な作品である。,https://bunka.nii.ac.jp/heritage/43967/_101135/43967_101135111225010425596_300.jpg
101,00000146,川西市郷土館（旧平安家住宅巽蔵）,,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積27㎡,,28 － 0010,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89776000000000,135.40930000000000,敷地の東側は蔵や納屋が南北に連なって敷地を限っている。敷地の東南の角地に建つことから巽蔵と呼ばれる漆喰塗りの土蔵で，切妻造，本瓦葺になる。基礎は切石積みとし，内法下は板張りとする。妻壁の丸窓が特徴的な蔵で，造りも良い大正期の蔵の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101136/43967_101136111225010425864_300.jpg
101,00000147,川西市郷土館（旧平安家住宅南納屋）,かわにししきょうどかん（きゅうひらやすけじゅうたくみなみなや）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積22㎡,,28 － 0011,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89780000000000,135.40930000000000,巽蔵の北側に接して建つ切妻造，平屋建の納屋で，北側に井戸屋が付設する。内部は一室の板敷きの間とする。全体的に簡素な造りであるが，大規模邸宅の屋敷構えを構成する一つの要素として，また大正期の生活空間を知る上でも必要な遺構である。,https://bunka.nii.ac.jp/heritage/43967/_101137/43967_101137111225010426132_300.jpg
101,00000148,川西市郷土館（旧平安家住宅大納屋）,,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7～8,1918-1919,木造平屋建，瓦葺，建築面積40㎡,,28 － 0012,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,兵庫県,兵庫県川西市下財町4-1,,川西市,,,34.89784000000000,135.40930000000000,屋敷地の東を限る位置に建つ切妻造，瓦葺の建物で，それぞれ独立した２棟が接続して建つ構成になる。内部は土間で，南側の部屋は中二階建てとする。全体的に閉鎖的な構えとなる真壁造り簡素な造りであるが，大正時代の納屋としては標準的な建物である。,https://bunka.nii.ac.jp/heritage/43967/_101138/43967_101138111225010426397_300.jpg
