台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000115,五島軒本店旧館,ごとうけんほんてんきゅうかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和9,1934,木造・鉄筋コンクリート造2階建，亜鉛板葺，建築面積1865㎡,,01 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,北海道,北海道函館市末広町4-13,,株式会社五島軒,,,41.76350000000000,140.71620000000000,昭和９年の大火の後に再建された木造及び鉄筋コンクリート造，２階建のレストランで，亀井勝二郎・竹下茂の設計と伝える。質素な外観と対照的な高い腰壁・落ちついた色調の布壁でまとめた格調高い内装に特徴があり，結婚式場にも利用され広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101105/43967_101105111225010402735_300.jpg
101,00000282,北海道大学古河記念講堂（旧東北帝国大学農科大学林学科教室）,ほっかいどうだいがくふるかわきねんこうどう（きゅうとうほくていこくだいがくのうかだいがくりんがくかきょうしつ）,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治42,1909,木造2階建，鉄板葺，建築面積414㎡,,01 － 0003,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,北海道,北海道札幌市北区北9条西7,,国立大学法人北海道大学,,,43.07126000000000,141.34350000000000,中央に入口を設け，左右に翼部を伸ばすルネッサンス様式の建築である。設計は文部省技師の新山平四郎。総２階建で，マンサード屋根をかけ，中央部にかつては時鐘が取りつけられていた小塔が設けられており，全体に簡素ではあるがまとまった意匠を示す。,https://bunka.nii.ac.jp/heritage/43967/_101272/43967_101272111225010548052_300.jpg
101,00000557,旧国鉄根北線越川橋梁,きゅうこくてつこんぼくせんこしかわきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和15,1940,コンクリート造10連アーチ橋，橋長147m，高さ21.7m,,01 － 0006,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,造形の規範となっているもの,,北海道,北海道斜里郡斜里町字越川245-8他,,斜里町,,,43.84710000000000,144.80110000000000,"長さ147m，高さ21.7mの10連アーチ無筋コンクリート橋で,コンクリート鉄道橋としては北海道最大のものである。北見地方と根室地方を結ぶ根北線の一部として建設されたが，未成線となった。なお，昭和48年に国道工事に伴い橋脚２本が撤去されている。",https://bunka.nii.ac.jp/heritage/43967/_101547/43967_101547111225010843800_300.jpg
101,00000719,北星学園創立百周年記念館（旧北星女学校宣教師館）,ほくせいがくえんそうりつひゃくしゅうねんきねんかん（きゅうほくせいじょがっこうせんきょうしかん）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正15,1926,木造３階建，鋼板葺，建築面積175㎡,,01 － 0007,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,北海道,北海道札幌市中央区南4条西17-1319-1,,学校法人北星学園,,,43.05285000000000,141.33020000000000,女子中等学校の宣教師館として建てられた。基本設計は米国人建築家ヴォーリズで，実施設計を札幌在住のスイス人建築家ヒンデルが手がけた。急勾配の大屋根や張り出し窓等，本格的な洋風のデザインを用いている点が特徴。百周年記念館として公開されている。,https://bunka.nii.ac.jp/heritage/43967/_101709/43967_101709111225011057447_300.jpg
101,00000720,日本キリスト教団札幌教会（旧札幌美以教会堂）,にほんきりすときょうだんさっぽろきょうかい（きゅうさっぽろめそじすときょうかいどう）,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治37,1904,石造平屋建，鉄板葺，建築面積233㎡,,01 － 0008,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,北海道,北海道札幌市中央区北1条東1,,日本基督教団札幌教会,,,43.06351000000000,141.35710000000000,市街地に建つ教会。木造の教会が焼失した後に建てられたもので，木造骨組の表面に石を貼り耐火に備えた構造になる。意匠は全体的にはロマネスク風だが，バラ窓等の細部にはゴシック風の意匠もみられる。市街地のランドマーク的存在として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101710/43967_101710111225011057724_300.jpg
101,00001161,室蘭市旧室蘭駅舎,むろらんしきゅうむろらんえきしゃ,1棟,,登録有形文化財(建造物),交通,建築物,,明治,明治45,1912,木造２階建，鉄板葺，建築面積686㎡,,01 － 0009,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,国土の歴史的景観に寄与しているもの,,北海道,北海道室蘭市海岸町1-5-1,,室蘭市,,,42.32220000000000,140.97020000000000,室蘭本線の終着駅としてつくられた木造２階建，煙突付の比較的に規模の大きい駅舎。細部の意匠は，洋風で仕上げられており，軒下の持ち送り，屋根上のドーマー窓，方杖をもったアーケードの軒支柱，１階の縦長の窓等に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_102151/43967_102151111225011528299_300.jpg
101,00001210,旧国鉄士幌線勇川橋梁,きゅうこくてつしほろせんいさみがわきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和11,1936,コンクリート造アーチ橋，全長4m,,01 － 0010,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,北海道,北海道河東郡上士幌町字黒石平48-2、49,,上士幌町,,,43.34202000000000,143.27460000000000,帯広・ルベシベ間を結ぶ予定であった士幌線（上士幌・十勝三股間は音更線として建設され昭和１４年開通）のコンクリート造カルバート橋。ひがし大雪鉄道アーチ橋群のひとつで、橋長４ｍと小規模であるが、パラボラアーチとしている点に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_102200/43967_102200111225011604070_300.jpg
101,00001211,旧国鉄士幌線第三音更川橋梁,きゅうこくてつしほろせんだいさんおとふけがわきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和11,1936,コンクリート造アーチ橋，全長71m,,01 － 0011,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,北海道,北海道河東郡上士幌町字黒石平51-1、52,,上士幌町,,,43.35588000000000,143.25880000000000,ひがし大雪鉄道アーチ橋群のひとつ。全長７１ｍで、１０ｍアーチ２連、３２ｍアーチ１連、１０ｍアーチ１連から成り、３２ｍアーチはＲＣ造とする。戦前期北海道における鉄道コンクリートアーチ橋としては最大径間をもつ橋梁として知られる。,https://bunka.nii.ac.jp/heritage/43967/_102201/43967_102201111225011604389_300.jpg
101,00001212,旧国鉄士幌線第五音更川橋梁,きゅうこくてつしほろせんだいごおとふけがわきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和13,1938,コンクリート造アーチ橋，全長109m,,01 － 0012,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,北海道,北海道河東郡上士幌町字幌加2-8、3-1,,上士幌町,,,43.45353000000000,143.14700000000000,ひがし大雪鉄道アーチ橋群のひとつ。音更線工事第四工区にあたる旧幌加駅・旧十勝三股間の音更川に架かる。全長１０９ｍと大規模で、１０ｍアーチ６連、２３ｍアーチ（河川横断部）１連、１０ｍアーチ１連の８連から成る。,https://bunka.nii.ac.jp/heritage/43967/_102202/43967_102202111225011607049_300.jpg
101,00001213,旧国鉄士幌線十三の沢橋梁,きゅうこくてつしほろせんじゅうさんのさわきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和13,1938,コンクリート造アーチ橋，全長58m,,01 － 0013,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,北海道,北海道河東郡上士幌町字幌加4-4,,上士幌町,,,43.49294000000000,143.14450000000000,ひがし大雪鉄道アーチ橋群のひとつ。音更線終点の十勝三股駅近くの、十三の沢が音更川に合流する地点の手前に架かる。全長５８ｍで、沢を渡るため長スパンはなく、標準仕様の１０ｍスパン無筋コンクリートアーチ５連から成る。,https://bunka.nii.ac.jp/heritage/43967/_102203/43967_102203111225011608452_300.jpg
