台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000124,千葉市民ギャラリー・いなげ（旧神谷伝兵衛稲毛別荘）,ちばしみんぎゃらりー・いなげ（きゅうかみやでんべえいなげべっそう）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正7,1918,鉄筋コンクリート2階建，瓦葺，建築面積113㎡,,12 － 0001,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,千葉県,千葉県千葉市稲毛区稲毛1-8-35,,千葉市,,,35.63422000000000,140.08310000000000,本格的なフランスワインの醸成技術を導入したことで知られる初代神谷伝兵衛の別荘で，１階正面にはロマネスク風の５連アーチが並び吹き放しの柱廊を配し，２階は非対称として変化のある洒落た外観構成になる。市民ギャラリーとして広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101114/43967_101114111225010409300_300.jpg
101,00000125,野田市市民会館（旧茂木佐平治家住宅）主屋,のだししみんかいかん（きゅうもぎさへいじけじゅうたく）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正11～13頃,1922-1924頃,木造平屋建，瓦葺，建築面積618㎡,,12 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,千葉県,千葉県野田市野田370-8,,野田市,,,35.94575000000000,139.86550000000000,醤油醸造で名の知られた茂木佐平治の旧宅で，純和風の建築。平面は，西面に入母屋屋根の車寄せが付く玄関部，広間を中心にした接客部及び奥側の居室部から構成される。大正期の和風住宅の好例であり，現在市民会館として広く使われ親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101115/43967_101115111225010409713_300.jpg
101,00000126,野田市市民会館（旧茂木佐平治家住宅）茶室,のだししみんかいかん（きゅうもぎさへいじけじゅうたく）ちゃしつ,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期,1868-1911,木造平屋建，柿葺，建築面積28㎡,,12 － 0003,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,再現することが容易でないもの,,千葉県,千葉県野田市野田370-8,,野田市,,,35.94582000000000,139.86590000000000,主屋の東側に建つこけら葺の茶室で，簡素な造りながら吟味された材料を用いた内部の造作は技術的に高度で見るべきものがある。松樹庵とも呼ばれ，南側に腰掛待合や蹲・灯籠が一体的に残り往時の面影をよく残す。茶会等に広く活用されている。,https://bunka.nii.ac.jp/heritage/43967/_101116/43967_101116111225010410344_300.jpg
101,00000235,千葉トヨペット本社（旧勧業銀行本店）,ちばとよぺっとほんしゃ（きゅうかんぎょうぎんこうほんてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治32,1899,木造2階建，瓦葺，建築面積1320㎡,,12 － 0004,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,千葉県,千葉県千葉市美浜区稲毛海岸4-5-1,,千葉トヨペット株式会社,,,35.63647000000000,140.07780000000000,木造２階建の事務所建築。当初銀行社屋として建てられ、数度の移築を経ている。唐破風をもつ中央の玄関から左右対称に展開し、全体の意匠は和風を基調としている。設計は妻木頼黄と武田五一による。国道に面して建つ特異な外観をもつ大規模な建築である。,https://bunka.nii.ac.jp/heritage/43967/_101225/43967_101225111225010518696_300.jpg
101,00000236,興風会館,こうふうかいかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和4,1929,鉄筋コンクリート造4階建，建築面積527㎡,,12 － 0005,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,千葉県,千葉県野田市野田250,,財団法人興風会,,,35.94276000000000,139.86350000000000,正面のファサードはルネッサンス風の意匠を基調とし、ロマネスク風アーチからなるゆったりとした玄関部はじめ全体として威圧的にならない構成にまとめ上げる。設計大森茂、施工戸田組。２階講堂の空間構成や、階段廻りの意匠など建築的に見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101226/43967_101226111225010519290_300.jpg
101,00000237,武田家住宅,たけだけじゅうたく,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正5,1916,木造2階建，瓦葺，建築面積185㎡,,12 － 0006,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,千葉県,千葉県市原市古市場53,,,,,35.54169000000000,140.15020000000000,元は和風の建物であったが、昭和３年建設の左半分の建屋に、昭和３１年に右半分の建屋を移築し結合した。その際、外壁のみ左手の建屋に合わせて洋風に改修されて和風屋根との折衷形式となった。特異な外観の住宅（元医院）として、地域の象徴となっている。,https://bunka.nii.ac.jp/heritage/43967/_101227/43967_101227111225010519854_300.jpg
101,00000758,千葉工業大学通用門（旧鉄道第二連隊表門）,ちばこうぎょうだいがくつうようもん（きゅうてつどうだいにれんたいおもてもん）,1基,,登録有形文化財(建造物),その他,その他工作,,大正,大正期,1912-1925,煉瓦造門柱４基からなる，幅10.6m,,12 － 0007,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,千葉県,千葉県習志野市津田沼2-17-1,,学校法人千葉工業大学,,,35.68966000000000,140.02180000000000,明治４３年移駐の陸軍鉄道連隊第三大隊（大正７年鉄道第二連隊に改組）の表門。鉄道連隊関係施設で現存する数少ないもののひとつで，煉瓦造の４本の門柱が残る。土地の歴史を知る上で貴重な建造物で，現在は「工大の煉瓦門」の愛称で広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101748/43967_101748111225011126048_300.jpg
101,00001166,内野家住宅洋館,うちのけじゅうたくようかん,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正初期／昭和12移築,1912-1925／1937移築,木造２階建，瓦葺，建築面積124㎡,,12 － 0008,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,造形の規範となっているもの,,千葉県,千葉県銚子市長山町2034,,,,,35.76955000000000,140.71780000000000,東京麹町に所在した医院宅を現在地に移築し改造したもの。南の庭に向けてベイウインドウ状の張出しを設け、階下を吹放ちとしてテラス風に造る。外観は昭和初期の意匠が支配的であるが、内部インテリアは階段室を含め大正期の雰囲気をよく留めている。,https://bunka.nii.ac.jp/heritage/43967/_102156/43967_102156111225011532330_300.jpg
101,00001167,西洋館倶楽部（渡辺家住宅）,せいようかんくらぶ（わたなべけじゅうたく）,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,木造３階建，スレート葺，建築面積146㎡,,12 － 0009,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,国土の歴史的景観に寄与しているもの,,千葉県,千葉県市川市新田5-6-21,,,,,35.72996000000000,139.91190000000000,京成本線の市川真間駅の南方、住宅地の一画に建つ。東京の実業家のゲストハウスとして建てられた洋館で、玄関ホール部のベイウインドウ状の張出しと南西北３面の袴腰型切妻破風を中核とする屋根構成に特徴がある。コンサートホール等として活用されている。,https://bunka.nii.ac.jp/heritage/43967/_102157/43967_102157111225011532940_300.jpg
101,00001168,茂原昇天教会,もばらしょうてんきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和8,1933,木造平屋建，瓦葺，建築面積113㎡,,12 － 0010,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,造形の規範となっているもの,,千葉県,千葉県茂原市茂原581,,宗教法人日本聖公会横浜教区,,,35.42448000000000,140.29720000000000,木造平屋建、下見板貼、単廊式の礼拝堂で、平面の輪郭はラテン十字形を描く。ハーフティンバー風に仕上げられた身廊部正面の切妻と、正方形と八角形断面のカップルとなったトスカナ式の柱によって支持された玄関ポーチとが端正なファサードを造っている。,https://bunka.nii.ac.jp/heritage/43967/_102158/43967_102158111225011535854_300.jpg
101,00001169,坂本総本店店舗,さかもとそうほんてんてんぽ,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治38,1905,土蔵造２階建，瓦葺，建築面積40㎡,,12 － 0011,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,再現することが容易でないもの,,千葉県,千葉県匝瑳市八日市場イ2474,,株式会社坂本総本店,,,35.70132000000000,140.54790000000000,総武本線八日市場駅の北西方、東金と銚子を結ぶ街道沿いに建つ黒漆喰塗、切妻平入、二階建の土蔵造り店舗建築。地棟下端の墨書により建設年と棟梁名（大木某）等が判明する。八日市場の往時の街道景観を偲ばせる遺構として貴重である。,https://bunka.nii.ac.jp/heritage/43967/_102159/43967_102159111225011536374_300.jpg
