台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000080,井上家住宅,いのうえけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期／昭和16移築,1830-1867／1941移築,木造平屋建、瓦葺、建築面積231㎡,,30 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,和歌山県,和歌山県和歌山市北野620-1,,,,,34.27351732000000,135.24756919000000,元は和歌山市永穂にあった農家を移築したもの。１階は四間取形式で西側に土間を設けている。屋根は入母屋造本瓦葺で，正面に２間の玄関を設ける豪壮な建物である。和歌山市北部の庄屋宅を代表する住宅であり，外観の城郭風の壁等に技能の高さがうかがえる。,https://bunka.nii.ac.jp/heritage/43967/_101070/43967_101070521380571806267_300.jpg
101,00000223,御前家住宅主屋,みさきけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10～13,1935-1938,木造平屋建，瓦葺，建築面積185㎡,,30 － 0002,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,和歌山県,和歌山県和歌山市茶屋ノ丁1,,,,,34.22297000000000,135.16860000000000,和歌山城に程近い市街地に建つ木造の住宅。平屋建だが庇屋根を廻して屋根を２重にする外観や丸太を用いる内装に数寄屋造りの影響がみられることや洋風の応接間を持つこと等に、昭和初期に大規模邸宅にみられる特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101213/43967_101213111225010510779_300.jpg
101,00000224,御前家住宅台所棟,みさきけじゅうたくだいどころとう,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10～13,1935-1938,木造平屋建，瓦葺，建築面積89㎡,,30 － 0003,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,和歌山県,和歌山県和歌山市茶屋ノ丁1,,,,,34.22306000000000,135.16850000000000,主屋と同時期にあわせて建設された建物で、食堂・炊事場等からなる。平屋建、寄棟造の簡素なつくりで、数寄屋造風の豪壮な主屋と好対照をなしている。接客部と台所棟を別棟で建てる江戸時代の武家住宅の系譜を引く昭和初期の邸宅の様子を示す好例である。,https://bunka.nii.ac.jp/heritage/43967/_101214/43967_101214111225010511284_300.jpg
101,00000225,御前家住宅土蔵,みさきけじゅうたくどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10～13,1935-1938,土蔵造2階建，瓦葺，建築面積33㎡,,30 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市茶屋ノ丁1,,,,,34.22305000000000,135.16840000000000,主屋・台所棟と同時期にあわせて建設された２階建の土蔵で、裏通りに面して妻を見せる。和歌山城下の、城に近い位置にある上級武家住宅の系譜を引く民家の屋敷構えを構成する主要な建物で、この地の往事の様子を知る手がかりとなる建物である。,https://bunka.nii.ac.jp/heritage/43967/_101215/43967_101215111225010511538_300.jpg
101,00000302,郭家住宅（旧郭百甫医院）洋館,かくけじゅうたく（きゅうかくひゃくすけいいん）ようかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治6,1873,木造2階建，瓦葺，建築面積50㎡,,30 － 0005,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21515542000000,135.16635106000000,代々紀州藩の御典医であった郭家が，明治になって自宅に建てたコロニアルスタイルの洋風建築。１階は，薬局や待合室等を兼ね右側に応接室が付属する。外観はバルコニーを設けた正面のみモルタル塗り，他は下見板張りとする独特の意匠で，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101292/43967_101292329813802704516_300.jpg
101,00000303,郭家住宅（旧郭百甫医院）診察棟,かくけじゅうたく（きゅうかくひゃくすけいいん）しんさつとう,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治6頃,1873頃,木造平屋建，瓦葺，建築面積53㎡,,30 － 0006,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21513017000000,135.16631125000000,洋館の背後に接続する平屋建ての和風建物。東西に連なる６畳大の診察室と４畳半の内診室は畳敷で，周囲に廊下が付属する。内診室脇には，内向きの玄関が取り付く。待合室の洋館と診察室の和風の対比が特徴的で，多くの人に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101293/43967_101293717609990260622_300.jpg
101,00000304,郭家住宅（旧郭百甫医院）主屋,かくけじゅうたく（きゅうかくひゃくすけいいん）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期,1830-1867,木造平屋建，瓦葺，建築面積68㎡,,30 － 0007,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,再現することが容易でないもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21518261000000,135.16620845000000,旧城下の一郭，落ち着いた住宅地に建つ主屋は，他家から譲渡移築されたものと伝える。８畳大の座敷と九畳の間，ナカンジョなどからなり，背後に一畳台目の茶室が付く。瀟洒な数寄屋造の技法に見るべきものがあり，御典医の居宅としての品格が保たれている。,https://bunka.nii.ac.jp/heritage/43967/_101294/43967_101294278039028045007_300.jpg
101,00000305,郭家住宅（旧郭百甫医院）離れ,かくけじゅうたく（きゅうかくひゃくすけいいん）はなれ,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期,1830-1867,木造2階建，瓦葺，建築面積20㎡,,30 － 0008,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21522287000000,135.16630033000000,主屋の前面に建ち，主屋とは渡り廊下で接続する。木造２階建，寄棟造の小規模な建屋。主屋，診察棟とも前庭を囲う構成になる。内部は簡素な造りになり，２階へは小さな箱階段で上がる。外観は一部改修されているが，屋敷構えを知る一点景となっている。,https://bunka.nii.ac.jp/heritage/43967/_101295/43967_101295247060461018888_300.jpg
101,00000306,郭家住宅（旧郭百甫医院）土蔵,かくけじゅうたく（きゅうかくひゃくすけいいん）どぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期,1830-1867,土蔵造2階建，瓦葺，建築面積42㎡,,30 － 0009,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21522700000000,135.16639634000000,屋敷地の前方，洋館に隣接して建つ大壁造の土蔵。建ちはさほど高くないが，２階建とする。切石の土台に建ち，外壁は漆喰仕上げで屋根は置屋根とする。東妻側のみ腰に縦板を貼る。簡素な造りながら，洋館の佇まいと好対照をなした土蔵として知られる。,https://bunka.nii.ac.jp/heritage/43967/_101296/43967_101296361168205306294_300.jpg
101,00000307,郭家住宅（旧郭百甫医院）外便所,かくけじゅうたく（きゅうかくひゃくすけいいん）そとべんじょ,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14頃,1925頃,木造平屋建，瓦葺，建築面積2㎡,,30 － 0010,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,和歌山県,和歌山県和歌山市今福1-6-6,,,,,34.21509589000000,135.16648512000000,敷地の東南角にあって，門の左手に続く石塀の内側に目隠し塀があり，その奥に建つきわめて小規模な建物。煉瓦を延べ石とし大小二つの便室に区分される。簡素な造りながら丁寧な仕上げとなる。屋敷地を構成する要素であるが，町中の生活習慣を知る上でも貴重。,https://bunka.nii.ac.jp/heritage/43967/_101297/43967_101297007135799802195_300.jpg
