台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000034,あさひ銀行川越支店（旧八十五銀行本店本館）,あさひぎんこうかわごえしてん（きゅうはちじゅうごぎんこうほんてんほんかん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正7,1918,鉄骨鉄筋コンクリート造3階建塔屋・金庫室付、建築面積291㎡,,11 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県川越市幸町４-２,,株式会社埼玉りそな銀行,,,35.92258000000000,139.48310000000000,ネオルネサンスリバイバル，サラセン風など各種様式を折衷的に用いた洋風銀行建築。設計は保岡勝也，施工は印藤順造。川越の伝統的な町並みの中で近代のあゆみを示す象徴として，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101024/43967_101024111225010307402_300.jpg
101,00000188,旧本庄商業銀行煉瓦倉庫,きゅうほんじょうしょうぎょうぎんこうれんがそうこ,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治27頃,1894頃,煉瓦造2階建，瓦葺，建築面積279㎡,,11 － 0002,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県本庄市銀座1-5-16,,本庄市,,,36.24053447000000,139.18336488000000,約31m×8.5mの内法の長方形平面の煉瓦造倉庫である。当時高価であった繭や生糸を担保として貯蔵するため、左右対称の位置に設けられた窓に、網戸と鉄扉を設け、通風と防火に配慮している。現在では菓子店の店舗兼工場として活用され、広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101178/43967_101178887667221920009_300.jpg
101,00000234,浦和くらしの博物館民家園展示棟（旧浦和市農業協同組合三室支所倉庫）,うらわくらしのはくぶつかんみんかえんてんじとう（きゅううらわしのうぎょうきょうどうくみあいみむろししょそうこ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正8,1919,石造平屋建，瓦葺，建築面積197㎡,,11 － 0003,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,埼玉県,埼玉県さいたま市緑区大字下山口新田1179-1,,さいたま市,,,35.87830000000000,139.71040000000000,大谷石の積石の上部に木造の土蔵をのせた平屋建の倉庫。元は栃木県小山市の小山駅前に建てられたが、昭和３１年に浦和市に移築され、さらに平成に入って現在地に移された。石造と漆喰のコントラストをなす外観が特徴的で、広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101224/43967_101224111225010516950_300.jpg
101,00000386,カワモク本部事務所棟（旧六軒町郵便局）,かわもくほんぶじむしょとう（きゅうろっけんまちゆうびんきょく）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和2／昭和12頃増築,1927／1937頃増築,木造2階建，鉄板葺，建築面積81㎡,,11 － 0004,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県川越市田町5-1,,,,,35.91686000000000,139.47720000000000,角地に銘木展示場を建築したのが始まりで，昭和１２年頃改築して郵便局としたもの。軒を突き上げ塔屋風に見せる屋根など角地であることを強調した独特の意匠からなる外観は，地元六軒町のシンボル的な建物として広く知られている。設計施工は地元の森留吉。,https://bunka.nii.ac.jp/heritage/43967/_101376/43967_101376111225010650920_300.jpg
101,00000387,吉田町立歴史民俗資料館（旧武毛銀行本店）,よしだちょうりつれきしみんぞくしりょうかん（きゅうぶもうぎんこうほんてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正7,1918,煉瓦造2階建，瓦葺，建築面積148㎡,,11 － 0005,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,埼玉県,埼玉県秩父市下吉田3871-1,,秩父市,,,36.04204000000000,139.03610000000000,秩父から上毛地方の顧客を対象にした銀行の本店社屋として建築されたもの。正面及び側面前面を白タイル貼りとし，寄棟造，瓦葺の屋根をかける。小規模な建物ながら全体的に質も高く，幾何学文様を主体とした意匠は，近代建築への移行を示す好例である。,https://bunka.nii.ac.jp/heritage/43967/_101377/43967_101377111225010652424_300.jpg
101,00000757,回漕問屋吉野屋土蔵,かいそうどんやよしのやどぞう,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治中期,1868-1911,土蔵造２階建，瓦葺，建築面積20㎡,,11 － 0006,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県ふじみ野市福岡3-4-12,,,,,35.88562000000000,139.52300000000000,吉野屋は安永２年(1773)に船問屋になり回漕業を営み栄えた家で，土蔵は新河岸川沿いにある旧屋敷地に建つ。二階建の小規模な土蔵だが，近辺では往時の建物が少なくなってきており，舟運で栄えた河岸の様子を物語る建物として貴重な存在である。,https://bunka.nii.ac.jp/heritage/43967/_101747/43967_101747111225011125788_300.jpg
101,00000813,川越商工会議所（旧武州銀行川越支店）,かわごえしょうこうかいぎしょ（きゅうぶしゅうぎんこうかわごえしてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和3,1928,鉄筋コンクリート造地下１階地上２階建，建築面積566㎡,,11 － 0007,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,造形の規範となっているもの,,埼玉県,埼玉県川越市仲町1-12,,川越商工会議所,,,35.92102000000000,139.48340000000000,蔵造りの町並の続く市街地に立地する。外観はドーリス式の列柱を配した重厚な構えになるが，全体の意匠はルネッサンス・リバイバル様式とする。交差点側にバロック風の装飾を付けた特徴的な出入口を設けるなど，時代の特徴を伝える銀行建築の一つである。,https://bunka.nii.ac.jp/heritage/43967/_101803/43967_101803111225011205614_300.jpg
101,00000814,旧本庄仲町郵便局,きゅうほんじょうなかまちゆうびんきょく,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和9,1934,木造２階建，瓦葺，建築面積158㎡,,11 － 0008,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県本庄市中央1-8-2,,有限会社　諸井家,,,36.24074397000000,139.18626836000000,この地方の旧家の諸井家が開設した郵便取扱所が始めにあり，現在の局舎は昭和に建て替えたもの。１階が郵便業務用に，２階は電信電話業務用に造られた。木造２階建の建屋を中心に外壁をタイル貼とした特異な外観の郵便局舎として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101804/43967_101804674805883521257_300.jpg
101,00001363,手打ちそば百丈（旧湯宮釣具店）,てうちそばひゃくじょう（きゅうゆみやつりぐてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和初期（昭和9以前）,1934以前,木造3階建、鉄板葺、建築面積55㎡,,11 － 0009,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,再現することが容易でないもの,,埼玉県,埼玉県川越市元町1-1-15,,,,,35.92461000000000,139.48510000000000,木造３階建て店舗併用住宅で，昭和初期建設の看板建築である。銅板貼りの壁面は破目地で，隅部を柱型風とし，各階の境に軒蛇腹を廻す。２階正面のエジプト風半円付柱，それぞれ意匠を変えたペジメント風の庇など，多彩な様式細部を巧みにまとめている。,https://bunka.nii.ac.jp/heritage/43967/_102353/43967_102353111225011732335_300.jpg
101,00001364,佐久間旅館奥の間,さくまりょかんおくのま,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治44,1911,木造2階建、瓦葺、建築面積65㎡,,11 － 0010,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,埼玉県,埼玉県川越市松江町2-5,,,,,35.92149000000000,139.48480000000000,川越で由緒ある旅館のひとつ。新築された本館の奥に建ち，小屋組の墨書より明治44年の建築で，大工は清水丑太郎。木造２階建，南面の庭側に縁を廻すほかは防火を重視した大壁造とする。２階にある２つの座敷は銘木を用い，洗練された書院造で格調が高い。,https://bunka.nii.ac.jp/heritage/43967/_102354/43967_102354376983649699764_300.jpg
101,00001900,埼玉県立深谷商業高等学校記念館,さいたまけんりつふかやしょうぎょうこうとうがっこうきねんかん,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正11,1922,木造2階建、瓦葺、建築面積608㎡、塔屋付,,11 － 0024,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,造形の規範となっているもの,,埼玉県,埼玉県深谷市原郷80,,埼玉県,,,36.19700000000000,139.29130000000000,市中心部，国道17号線沿いに建つ学校建築。木造2階建，瓦葺，外装横板張で，意匠を凝らした塔屋・車寄付の中央部を軸に左右対称の外観構成をとる。4つの屋根窓，両翼端に櫛形ペディメントを設け，仏ルネサンス様式を基調とした高密度のデザインが施される。,https://bunka.nii.ac.jp/heritage/43967/_102890/43967_102890111225012330084_300.jpg
101,00001901,児玉町旧配水塔,こだままちきゅうはいすいとう,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和6,1931,鉄筋コンクリート造、高さ18m,,11 － 0025,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県本庄市児玉町児玉323-2,,本庄市,,,36.18803000000000,139.13100000000000,昭和３?９年に行われた児玉町水道施設工事の一環で建設。ＲＣ造外装モルタル塗，高さ１７．５ｍの内部は揚水用ポンプ室と天井をドーム形にした筒形高架水槽からなり，入口と階段室が正面に突出する。現在は時報塔として利用。設計は県技手の宮原雄次郎。,https://bunka.nii.ac.jp/heritage/43967/_102891/43967_102891111225012330868_300.jpg
101,00001902,間瀬堰堤,まぜえんてい,1基,,登録有形文化財(建造物),産業1次,土木構造物,,昭和前,昭和12,1937,重力式コンクリート造堰堤、堤長126m、堤高28m、取水塔・護岸堤防付,,11 － 0026,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県本庄市児玉町小平地内,,美児沢用水土地改良区,,,36.16058000000000,139.10840000000000,大正8年?昭和13年にかけて造られた児玉用水の中心的施設で，堤長126m，堤高28m，取水塔付のコンクリート造重力式堰堤。木造2階建の取水塔上屋附属。堤体内に放水路を設け，洪水吐導流部を中央越流式とする。天端の高欄に擬木を用いる。設計は高堀育三。,https://bunka.nii.ac.jp/heritage/43967/_102892/43967_102892111225012332548_300.jpg
101,00001903,間瀬堰堤管理橋,まぜえんていかんりきょう,1基,,登録有形文化財(建造物),産業1次,土木構造物,,昭和前,昭和13,1938,鉄筋コンクリート造桁橋、橋長9.5m、幅員2.0m,,11 － 0027,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県本庄市児玉町小平地内,,美児沢用水土地改良区,,,36.16357000000000,139.10930000000000,間瀬川中流部に建設された農業用ダム・間瀬堰堤の導水下流部に架かる。３径間ＲＣ造桁橋で，下部をアーチ形に刳り抜かれた橋脚に角落し用の溝を設ける。近年の周辺整備により，良好な散策路の一部として町民に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_102893/43967_102893111225012333211_300.jpg
101,00002017,島村家住宅土蔵,しまむらけじゅうたくどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保7,1836,土蔵造3階建、瓦葺、建築面積71㎡,,11 － 0028,27,2000.12.20(平成12.12.20),2000.12.04(平成12.12.04),,20001204,,再現することが容易でないもの,,埼玉県,埼玉県桶川市寿2-1-4,,,,,36.00092000000000,139.56610000000000,中山道桶川宿における名家の土蔵で，天保飢饉の「お助け蔵」として知られる。桁行６間，梁行３間規模，切妻造，桟瓦葺の総３階建土蔵で，東面下屋庇を蔵前とするが，当初は主屋側の南妻面を入口とする妻入土蔵であった。市内現存最古の建造物のひとつ。,https://bunka.nii.ac.jp/heritage/43967/_103007/43967_103007111225012444268_300.jpg
101,00002356,川口市母子福祉センター（旧鋳物問屋鍋平別邸）主屋,かわぐちしぼしふくしせんたー（きゅういものどんやなべへいべってい）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治45頃／昭和2頃増築,1912頃／1927頃増築,木造2階建、瓦葺、建築面積200㎡,,11 － 0029,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,再現することが容易でないもの,,埼玉県,埼玉県川口市金山町15-2,,川口市,,,35.79569501000000,139.72252457000000,鋳物問屋嶋崎家の別邸として建設された。数度による増改築により複雑な平面・外観を呈すが，玄関から東半の１階部分が創建当初の箇所である。座敷は床，棚，書院を備えた本格的な構えで，亀甲模様の書院窓や透彫り欄間など，数寄屋風の凝った意匠で飾る。,https://bunka.nii.ac.jp/heritage/43967/_103346/43967_103346766129245215080_300.jpg
101,00002357,川口市母子福祉センター（旧鋳物問屋鍋平別邸）離れ,かわぐちしぼしふくしせんたー（きゅういものどんやなべへいべってい）はなれ,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和14,1939,木造平屋建、瓦葺、建築面積82㎡,,11 － 0030,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,再現することが容易でないもの,,埼玉県,埼玉県川口市金山町15-2,,川口市,,,35.79569936000000,139.72262671000000,主屋の東に増設された平屋建の建物。１０畳の座敷の北面に床・棚・書院を備え，その他三方に縁を回らし，北に便所を付属する。座敷回りは輸入された銘木やガラスを多用し，洋式の便所は外観を洋風にまとめ，内部をモザイクタイル等で飾る。,https://bunka.nii.ac.jp/heritage/43967/_103347/43967_103347827022290924544_300.jpg
101,00002358,川口市母子福祉センター（旧鋳物問屋鍋平別邸）蔵,かわぐちしぼしふくしせんたー（きゅういものどんやなべへいべってい）くら,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2頃,1927頃,木造2階建、瓦葺、建築面積29㎡,,11 － 0031,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,再現することが容易でないもの,,埼玉県,埼玉県川口市金山町15-2,,川口市,,,35.79581500000000,139.72238200000000,主屋の北西に建つ土蔵。米蔵として主屋玄関脇の応接間等とともに増築され，後に内部に床を増設して二層に改めた。２間×３間の小規模な蔵だが，外壁はモルタル塗りに目地を切り石造風に見せ，軒蛇腹，胴蛇腹を付けて外観を整えるなど，丁寧な造りになる。,https://bunka.nii.ac.jp/heritage/43967/_103348/43967_103348742135241256013_300.jpg
101,00002359,旧埼玉県繊維工業試験場秩父支場本館,きゅうさいたまけんせんいこうぎょうしけんじょうちちぶしじょうほんかん,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和5,1930,木造平屋建、瓦葺、建築面積373㎡,,11 － 0032,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,造形の規範となっているもの,,埼玉県,埼玉県秩父市熊木町500-1他,,秩父市,,,35.99057000000000,139.08730000000000,木造，平屋，寄棟造，桟瓦葺で，事務棟として内部は執務室，会議室などが配される。主体部に比して異様に巨大な玄関ポーチを正面に突出させるとともに，大谷石積腰壁や連続した縦長の窓によってＦ．Ｌ．ライト風の外観を造るなど，特筆すべき造形がみられる。,https://bunka.nii.ac.jp/heritage/43967/_103349/43967_103349111225012821806_300.jpg
101,00002360,旧埼玉県繊維工業試験場秩父支場工場棟,きゅうさいたまけんせんいこうぎょうしけんじょうちちぶしじょうこうじょうとう,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和9,1934,木造平屋建、瓦葺、建築面積515㎡,,11 － 0033,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県秩父市熊木町500-1他,,秩父市,,,35.99048000000000,139.08780000000000,本館の東背後にあり，撚糸，染色等に関連する諸室を設ける。桁行南北のいわゆる鋸屋根をもつ撚糸工場部分と，その東に東西に棟を通す切妻屋根の染色工場棟がＬ字型に連なる。桟瓦葺屋根，下見板張りに統一された長大な外観は，支場内で最も目立つ存在である。,https://bunka.nii.ac.jp/heritage/43967/_103350/43967_103350111225012822319_300.jpg
101,00002361,旧埼玉県繊維工業試験場秩父支場倉庫,きゅうさいたまけんせんいこうぎょうしけんじょうちちぶしじょうそうこ,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和5,1930,木造平屋建、セメント瓦葺、建築面積194㎡、渡廊下付,,11 － 0034,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,造形の規範となっているもの,,埼玉県,埼玉県秩父市熊木町500-1他,,秩父市,,,35.99041000000000,139.08760000000000,工場棟の南に接続する木造，平屋建，切妻造，セメント瓦葺の建物で，南，東，西に，本館から続く吹き放し鉄板葺の廊下を付属し，東には２間四方の便所を設ける。換気用の腰屋根を付け，渡り廊下の屋根を庇状に回すなど，簡素ながら変化に富んだ外観を呈す。,https://bunka.nii.ac.jp/heritage/43967/_103351/43967_103351111225012822834_300.jpg
101,00002362,旧秩父駅舎,きゅうちちぶえきしゃ,1棟,,登録有形文化財(建造物),交通,建築物,,大正,大正3,1914,木造平屋建、瓦葺、建築面積231㎡、塔屋付,,11 － 0035,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,造形の規範となっているもの,,埼玉県,埼玉県秩父市大字大宮字東平5663-1他,,秩父市,,,36.00621000000000,139.10110000000000,上武鉄道（後の秩父鉄道）が秩父まで延伸された際に開設。中央に吹抜のあるコンコースをとり，その左右に待合室と事務室を配した平面をもつ。正面に玄関ポーチを付し，大屋根中央に吹抜部明取りの塔屋をあげ印象的な外観を造る。昭和５９年現地に移築保存。,https://bunka.nii.ac.jp/heritage/43967/_103352/43967_103352111225012823092_300.jpg
101,00002519,日本聖公会川越キリスト教会礼拝堂,にほんせいこうかいかわごえきりすときょうかいれいはいどう,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正10,1921,煉瓦造平屋建、スレート葺、建築面積138㎡、塔屋付,,11 － 0036,31,2001.12.04(平成13.12.04),2001.11.20(平成13.11.20),,20011120,,国土の歴史的景観に寄与しているもの,,埼玉県,埼玉県川越市松江町2-4-13,,宗教法人日本聖公会北関東教区,,,35.92114000000000,139.48530000000000,立教大学新築のため来日したＷ．ウィルソンの設計により建設。東西に細長い切妻造・平屋建で，外壁煉瓦造，内部は挟み組み式の小屋組を見せ，尖塔アーチの縦長窓や控壁にゴシック様式細部を備える。Ｔ字路の突き当たりに建ち，際だった景観を構成している。,https://bunka.nii.ac.jp/heritage/43967/_103509/43967_103509111225012948163_300.jpg
