台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000110,大分銀行赤レンガ館（旧二十三銀行本店・旧府内会館）,おおいたぎんこうあかれんがかん（きゅうにじゅうさんぎんこうほんてん・きゅうふないかいかん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正2,1913,鉄筋コンクリート造2階建、スレート及び瓦棒葺、建築面積775㎡,,44 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,大分県,大分県大分市府内町2-2-1,,株式会社大分銀行,,,33.23713000000000,131.60770000000000,クラシックとゴシックの中間的なクイーンアン様式をもとに，ドームを載せる構成が特徴的。設計は多くの名作を残した辰野・片岡建築事務所である。昭和20年の戦災で内部は焼失したが，外壁を保存する形で修復され，平成５年に再度内部が改修された。,https://bunka.nii.ac.jp/heritage/43967/_101100/43967_101100111225010357338_300.jpg
101,00000111,野口病院管理棟,のぐちびょういんかんりとう,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正11,1922,木造2階建、瓦葺、建築面積563㎡,,44 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,大分県,大分県別府市野口中町６-33,,医療法人野口記念会,,,33.28143000000000,131.49810000000000,東側に尖塔屋根を軸とする左右対称のファサードを持ち，背面に２列に棟が伸び，中庭を囲む構成をとる。グレーのモルタルススペイン壁の上部に白漆喰のハーフティンバーがのる外壁に特徴があり，まちなみ景観のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101101/43967_101101111225010357893_300.jpg
101,00000112,明治岡本井路（石垣井路）,めいじおかもといろ（いしがきいろ）,1基,,登録有形文化財(建造物),産業1次,土木構造物,,大正,大正10代,1921-1926,石造、延長231.4m,,44 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,大分県,大分県竹田市大字植木字鬼田2084地先～枝1581地先,,明治岡本土地改良区,,,32.99418000000000,131.38550000000000,台地の尾根上に延長約 240ｍにわたって高さ3.5～5.5ｍの水路を築き，約 698haの耕地に水を供給する施設。石垣井路のある11号開渠部分は，大正10年代に箱樋を現状の石垣に改め通水したもので，大分県山間部の近代の田園風景を理解する上で意義ある施設である。,https://bunka.nii.ac.jp/heritage/43967/_101102/43967_101102111225010358779_300.jpg
101,00000113,若宮井路笹無田石拱橋,わかみやいろささむたせっこうきょう,1基,,登録有形文化財(建造物),産業1次,土木構造物,,大正,大正6,1917,石造2連アーチ橋、延長59.0m,,44 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,大分県,大分県竹田市大字挾田字笹無田1504-1,,朝地町土地改良区,,,32.98556000000000,131.41000000000000,笹無田石拱橋は，若宮井路が笹無田川と道路を横断するために架設されたものである。当初は鉄管によるサイホン方式であったが，腐食し明治36年に決壊したため，仮設木造橋の時代を経て，石造で再建された。道路と川をまたぐ巨大な石橋として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101103/43967_101103111225010400207_300.jpg
101,00000178,旧緒方村役場,きゅうおがたむらやくば,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和7,1932,木造2階建，瓦葺，建築面積302㎡,,44 － 0005,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,大分県,大分県豊後大野市緒方町馬場字柏木574,,豊後大野市,,,32.97143000000000,131.47810000000000,小高い丘の上に建つ木造２階建の旧村役場で，今も町民に親しまれている建物である。洋風を基調とする構造や意匠をもち，全体として素朴な外観になるが，正面玄関部分はスクラッチタイルを用い，２階上部には丸型の小屋根を張り出すなど装飾を施す。,https://bunka.nii.ac.jp/heritage/43967/_101168/43967_101168111225010443082_300.jpg
101,00000231,京都大学理学部附属地球熱学研究施設,きょうとだいがくりがくぶふぞくちきゅうねつがくけんきゅうしせつ,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正13,1924,煉瓦造地上2階地下1階建棟屋付，建築面積510㎡,,44 － 0006,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,大分県,大分県別府市野口原3088-176,,国立大学法人京都大学,,,33.28428000000000,131.48560000000000,中央部に塔屋を持つ煉瓦造の研究施設。平面はＬ字型である。設計は京大施設部の永瀬狂三。煉瓦の赤と石貼りの白との対照や、イオニア式を模した柱頭飾りを持つ特徴的な外観で、別府湾を見おろすシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101221/43967_101221111225010514753_300.jpg
101,00000277,小手川酒造主屋,こてがわしゅぞうしゅおく,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,慶応元,1865,木造2階建，瓦葺，建築面積256㎡,,44 － 0007,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,大分県,大分県臼杵市大字臼杵字浜町538,,フンドーキン醤油株式会社,,,33.12054988000000,131.79702087000000,広い間口をもつ大規模な二階建て平入の町家で，二階の外壁を白漆喰の大壁造とする。醸造業が盛んで漆喰塗り大壁の町家が多く残る臼杵の町並のなかで，とくに規模が大きく建設年代が古い建築のひとつとしてよく知られている。,https://bunka.nii.ac.jp/heritage/43967/_101267/43967_101267565218122280879_300.jpg
101,00000278,小手川酒造蔵,こてがわしゅぞうくら,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,慶応元,1865,木造2階建，瓦葺，建築面積368㎡,,44 － 0008,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,大分県,大分県臼杵市大字臼杵字浜町538,,フンドーキン醤油株式会社,,,33.12068836000000,131.79702087000000,主屋の北に並んで建つ蔵。道に面して妻を見せる奥行の長い大規模な蔵で，醸造場として用いられている。正面妻の２階窓の上部に水切り瓦を付け，腰を海鼠壁で飾る等の，伝統的な技法による装飾に見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101268/43967_101268189931818958475_300.jpg
101,00000279,野上弥生子成城の家,のがみやえこせいじょうのいえ,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和4,1929,木造2階建，瓦葺，建築面積74㎡,,44 － 0009,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,大分県,大分県臼杵市大字臼杵70-15,,フンドーキン醤油株式会社,,,33.12591000000000,131.80230000000000,臼杵生まれの作家野上弥生子が東京の成城で住んだ家を現在地に移築したもの。スペイン瓦で葺いた急勾配の屋根やモルタル仕上げの外壁等を持つ洋風の外観に昭和初期の東京における郊外住宅の特徴がよく表れている。特に円形のサンルームに特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101269/43967_101269111225010546043_300.jpg
101,00000280,山海荘主屋,さんかいそうしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸後期／明治末年移築,1751-1829／1868-1911移築,木造平屋建，瓦葺，建築面積202㎡,,44 － 0010,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,大分県,大分県臼杵市大字臼杵70-14、30,,フンドーキン醤油株式会社,,,33.12590000000000,131.80260000000000,臼杵城にあった御殿を明治末年に現在地に移築したと伝える。むくりの付いた入母屋屋根に庇を設け屋根を二重にする外観や側廻りを開放的な扱いとする平面構成等に，江戸時代の書院造りの系譜を引く建物としての特徴がよく表れている。,https://bunka.nii.ac.jp/heritage/43967/_101270/43967_101270111225010547517_300.jpg
