台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000064,コニシ株式会社（旧小西儀助商店）三階蔵,こにしかぶしきがいしゃ（きゅうこにしぎすけしょうてん）さんかいぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治36,1903,土蔵造3階建、瓦葺、建築面積45㎡,,27 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,大阪府,大阪府大阪市中央区道修町1-6,,コニシ株式会社,,,34.68884000000000,135.50690000000000,敷地の背後に建つ３棟の土蔵のうち，東北部に位置する３階建の土蔵で，外観は１階部分を石張りとし，２・３階を白漆喰塗の大壁造とする。軒蛇腹は時代の特色を表す帯状のものになるが，妻側は２段のして変化を付けている。,https://bunka.nii.ac.jp/heritage/43967/_101054/43967_101054111225010329886_300.jpg
101,00000065,日本基督教団大阪教会,にほんきりすときょうだんおおさかきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正11,1922,鉄骨造・煉瓦造・コンクリート造3階建塔屋付、銅板葺、建築面積674㎡,,27 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,大阪府,大阪府大阪市西区江戸堀1-23-17,,宗教法人日本基督教団大阪教会,,,34.68944000000000,135.49340000000000,ヴォーリズ設計の鉄骨・煉瓦・コンクリート混合造の教会堂で，背後に塔屋が建つ。ロマネスク様式を基調とする意匠で構成され，数少ない大正期の赤煉瓦建物として親しまれている。正面妻壁のバラ窓や，玄関上部の半円形の飾り窓で構成される外観に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101055/43967_101055111225010330144_300.jpg
101,00000139,大阪倶楽部,おおさかくらぶ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正13,1924,鉄筋コンクリート造地上4階地下1階建，建築面積795㎡,,27 － 0015,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,大阪府,大阪府大阪市中央区今橋5-11,,社団法人大阪倶楽部,,,34.69097000000000,135.49890000000000,開口部の小さい，壁を意識させる造形が特徴的。細部装飾にはインドやイスラムの影響が見られる。関西に多くの作品を残した安井武雄の片岡事務所時代の作品で，施工は大林組。プロポーションへの意識，装飾の取り扱いなど近代建築の黎明期の作品といえる。,https://bunka.nii.ac.jp/heritage/43967/_101129/43967_101129111225010421450_300.jpg
101,00000140,岸和田市立自泉会館（自泉館）,きしわだしりつじせんかいかん（じせんかん）,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造2階建，建築面積539㎡,,27 － 0016,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,大阪府,大阪府岸和田市岸城町5-10,,岸和田市,,,34.46059000000000,135.37190000000000,大規模な事務所建築を得意とした渡辺節の作品。彼の作品の中では比較的小規模な住宅系のものとして注目に値する。装飾の少ないシンプルな外観であるが，列柱を配した玄関部などに様式建築のモチーフが見られる。,https://bunka.nii.ac.jp/heritage/43967/_101130/43967_101130111225010422634_300.jpg
101,00000141,聖母女学院校舎,せいぼじょがくいんこうしゃ,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造地上2階地下1階建，建築面積3233㎡,,27 － 0017,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,大阪府,大阪府寝屋川市美井町1011-6,,学校法人聖母女学院,,,34.78122000000000,135.63620000000000,大正12年に創立された名門女学校の校舎で，均等な日照や通風のとれるフィンガー型の平面配置を採用した初期の例である。設計はアントニン・レーモンド。スパニッシュ風のコロネードとコンポジット式の柱頭を持つ正面入り口が意匠上の特徴である。,https://bunka.nii.ac.jp/heritage/43967/_101131/43967_101131111225010424160_300.jpg
101,00000222,生駒時計店,いこまとけいてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和5,1930,鉄筋コンクリート造地上5階地下1階建塔屋付，建築面積176㎡,,27 － 0019,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,大阪府,大阪府大阪市中央区平野町2-2-12,,株式会社生駒ビルヂング,,,34.68753000000000,135.50630000000000,大阪市街地の角地に建つRC造、５階建の時計塔を持つビルで、設計は宗兵蔵である。外壁にスクラッチタイルを用いることや、窓の上下の縁で水平線を強調しつつバルコニーや出窓などに曲線や装飾を有効に配するデザインによく時代の特徴があわらわている。,https://bunka.nii.ac.jp/heritage/43967/_101212/43967_101212111225010509150_300.jpg
101,00000255,四天王寺八角亭,してんのうじはっかくてい,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治36,1903,木造平屋建，瓦葺，建築面積21㎡,,27 － 0020,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,大阪府,大阪府大阪市天王寺区四天王寺1-11-18,,宗教法人四天王寺,,,34.65543000000000,135.51820000000000,第５回内国勧業博覧会の小奏楽堂として建築されたものを、後に現在地に移築したと伝える。平面八角で、庇柱は吹き放ちとし、窓には色ガラスをはめる。母屋柱はコリント式の柱頭飾を付け、モールディングの廻り縁を巡らすなど施工技術にも見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101245/43967_101245111225010535084_300.jpg
101,00000256,新井ビル,あらいびる,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正11,1922,鉄筋コンクリート造地上4階地下1階建，建築面積254㎡,,27 － 0021,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,大阪府,大阪府大阪市中央区今橋2-1-1,,新井株式会社,,,34.69074000000000,135.50630000000000,鉄筋コンクリート４階建、１階正面の玄関部分は４本のドリス式オーダーを並べた重厚な外観になる。もと銀行店舗として建設されたもので、内部は中央が吹き抜けとなり２階周囲に個室を稗史階以上は事務室とする構成になる。設計河合浩蔵、施工清水組。,https://bunka.nii.ac.jp/heritage/43967/_101246/43967_101246111225010536192_300.jpg
101,00000299,大阪城天守閣,おおさかじょうてんしゅかく,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和6,1931,鉄骨鉄筋コンクリート造8階建，建築面積1199㎡,,27 － 0022,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,大阪府,大阪府大阪市中央区大阪城1-1,,大阪市,,,34.68734000000000,135.52600000000000,陸軍用地となっていた旧本丸一帯を公園化する計画に伴い，博物館として建設された。設計は市土木局建築課，施工は大林組による。鉄筋コンクリート造，地上６階地下２階建で，市民の寄付で建設されたこともあり，大阪のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101289/43967_101289120209020207110_300.jpg
101,00000300,三木楽器,みきがっき,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,鉄筋コンクリート造地上4階地下1階建，建築面積468㎡,,27 － 0023,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,大阪府,大阪府大阪市中央区北久宝寺町3-3-4,,三木楽器株式会社,,,34.67988000000000,135.50160000000000,鉄筋コンクリート造，地上４階地下１階建の楽器店。設計は増田建築事務所，施工は鴻池組で，ドイツの楽器店を模したと伝える。大正期の都市部における中層商業ビルの好例で，外壁をタイル張りとして縦の線を強調した外観によく時代の特徴があらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101290/43967_101290111225010558465_300.jpg
101,00000301,青山ビル,あおやまびる,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14,1925,鉄筋コンクリート造地上5階地下１階建，建築面積258㎡,,27 － 0024,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,大阪府,大阪府大阪市中央区伏見町2-2-6,,,,,34.68895000000000,135.50600000000000,鉄筋コンクリート造，地上５階地下１階建で，当初は１・２階を住宅，３階以上を貸室としていた。中層の都市住宅としては初期の事例のひとつであり，要所に装飾を配した外観や瀟洒な意匠の階段等に時代の特徴がよく表れている。設計は伊東恒治。,https://bunka.nii.ac.jp/heritage/43967/_101291/43967_101291161715602226072_300.jpg
101,00000358,旧岸和田村尋常小学校校舎,きゅうきしわだむらじんじょうしょうがっこうこうしゃ,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治36,1903,木造平屋建，瓦葺，建築面積185㎡,,27 － 0025,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,大阪府,大阪府岸和田市西之内町８,,岸和田市,,,34.46978000000000,135.39520000000000,木造平屋建，瓦葺の校舎。中央部の玄関から左右に教室をのばした左右対称の形態や教室に採光するための大きな窓を持つ外観の意匠に特徴がある。明治期に建設された小規模な学校建築の好例で，現在は岸和田市中央公園に移築保存されている。,https://bunka.nii.ac.jp/heritage/43967/_101348/43967_101348111225010632481_300.jpg
