台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000257,南都銀行本店,なんとぎんこうほんてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正15,1926,鉄筋コンクリート造地上4階地下1階建，建築面積516㎡,,29 － 0001,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,奈良県,奈良県奈良市橋本町16-1他,,株式会社南都銀行,,,34.68222000000000,135.82850000000000,正面に４本のイオニア式の列柱を並べ細部に装飾を施す外観は、古典様式を簡潔にまとめた好例。昭和28年に背後に増築し、その後窓枠や内装の改修を受けたが、外観はよく保存されている。設計長野宇平治、施工大林組。古都奈良の数少ない様式建築の一つ。,https://bunka.nii.ac.jp/heritage/43967/_101247/43967_101247111225010536750_300.jpg
101,00000453,古梅園店舗,こばいえんてんぽ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正初年,1912-1925,木造2階建，瓦葺，建築面積56㎡,,29 － 0005,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68074000000000,135.82750000000000,旧奈良町の一画にある老舗の製墨業古梅園の店舗で，風格ある看板を掲げる。平入，つし２階の伝統的な構えになり，正面は庇及び上屋ともせがい造りとする。格子は多用せず開放的になるが，外壁を黒漆喰塗とした重厚な店舗として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101443/43967_101443111225010733992_300.jpg
101,00000454,古梅園事務所,こばいえんじむしょ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正初年,1912-1925,木造2階建，瓦葺，建築面積120㎡,,29 － 0006,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７他,,株式会社古梅園,,,34.68061000000000,135.82750000000000,店舗の南側に接続する平入，つし２階の建物で，立ちは軒庇とも店舗より一段低いが，一体的な意匠にまとめる。北端は出入口で大戸口とし，中央部は事務室で格子戸をはめる。南端部は車庫に改造したが，今も奈良町の伝統的な店構えをよく伝えている。,https://bunka.nii.ac.jp/heritage/43967/_101444/43967_101444111225010734485_300.jpg
101,00000455,古梅園主屋,こばいえんしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正初年,1912-1925,木造2階建，瓦葺，建築面積180㎡,,29 － 0007,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68075000000000,135.82740000000000,店舗の背後にあって，その間に接続する玄関棟とも表屋造形式になる。主体部は２階建で，全体に上質な和風建築となる。落ち棟の北妻側は路地に面し大壁造とする。中庭の北端を限る高塀とも一体的な漆喰塗の造作として，路地景観を整えている。,https://bunka.nii.ac.jp/heritage/43967/_101445/43967_101445111225010735904_300.jpg
101,00000456,古梅園離れ座敷,こばいえんはなれざしき,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正初年,1912-1925,木造2階建，瓦葺，建築面積76㎡,,29 － 0008,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,再現することが容易でないもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68081000000000,135.82720000000000,主屋の背後に位置し、中庭を挟んで建つ２階建の建物で、土蔵風の外観になる。　内部は１，２階とも贅を尽くした上等な造りとなり，２階軒は吹寄せの化粧小舞とする。　北妻側は，主屋から続く一連の高塀の意匠を保つ構成になり，町並みを整えている。,https://bunka.nii.ac.jp/heritage/43967/_101446/43967_101446111225010737090_300.jpg
101,00000457,古梅園東内蔵,こばいえんひがしうちぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正初年,1912-1925,土蔵造2階建，瓦葺，建築面積44㎡,,29 － 0009,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68072000000000,135.82710000000000,離れ座敷の西南にあり，正面大戸口から続く通路に面して建つ２階建の土蔵。　軒蛇腹付大壁造で，腰板貼とする標準的な造作になり，２階には妻側，平側，とも小さな開口部を開く。　東妻側に蔵前があり，内向きの調度品等を納める蔵として使用される。,https://bunka.nii.ac.jp/heritage/43967/_101447/43967_101447111225010737612_300.jpg
101,00000458,古梅園中内蔵,こばいえんなかうちぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正期,1912-1925,土蔵造2階建，瓦葺，建築面積26㎡,,29 － 0010,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68080000000000,135.82710000000000,離れ座敷の西側に建つ２階建の小規模な土蔵で，内向き用の蔵として建てられた。周囲の建物とは接続せず独立して建つ。　北面は路地に面し，軒蛇腹廻りを除いて一面の板貼りとするが，２階に設けた開口部は２段構えとし，外観意匠を特徴づける。,https://bunka.nii.ac.jp/heritage/43967/_101448/43967_101448111225010738118_300.jpg
101,00000459,古梅園西内蔵,こばいえんにしうちぐら,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正初年,1912-1925,土蔵造2階建，瓦葺，建築面積55㎡,,29 － 0011,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68078000000000,135.82700000000000,敷地のほぼ中央北よりに東西方向に建つ大型の土蔵で，南面に桟瓦葺きの下屋を取り付ける。　外観は２階の東面及び南面に小庇付の開口部を設け，漆喰仕上げの軒蛇腹付の外壁や外引きの防火戸が意匠を整える。　内向きの生活空間の西を限る土蔵でもある。,https://bunka.nii.ac.jp/heritage/43967/_101449/43967_101449111225010738375_300.jpg
101,00000460,古梅園製墨説明所,こばいえんせいぼくせつめいしょ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造平屋建，瓦葺，建築面積15㎡,,29 － 0012,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68071000000000,135.82700000000000,敷地のほぼ中央西側にある製墨諸施設への入口部分に位置する。　規模は小さいが立ちは高い切妻造，平入の平屋建の建物で，元は来客や商談用の施設であった。　現在は，見学等来訪者に製墨行程を説明する施設として使用され，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101450/43967_101450111225010738634_300.jpg
101,00000461,古梅園磨き作業所兼倉庫,こばいえんみがきさぎょうじょけんそうこ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造2階建，瓦葺，建築面積164㎡,,29 － 0013,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,奈良県,奈良県奈良市椿井町７,,株式会社古梅園,,,34.68076000000000,135.82690000000000,コの字型の大壁造，２階建の重厚な構えの建物。元は墨型等を納める倉庫であったが，現在は磨き作業所や車庫，倉庫等として使用する。南翼屋は，敷地の東方から続く作業用の軌道レールが貫通し，北翼屋は敷地境にあり路地への出入口が設けられている。,https://bunka.nii.ac.jp/heritage/43967/_101451/43967_101451111225010738893_300.jpg
