台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000376,遊佐家住宅主屋,ゆさけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,19世紀中頃,1801-1900頃,木造平屋建，鉄板葺，建築面積226㎡,,04 － 0002,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,宮城県,宮城県大崎市鳴子温泉字要害90-1,,,,,38.73210000000000,140.75310000000000,古来から名馬の産地として知られる当地方の古式の農家は，土間を広くとり厩を取り込むのが一般的である。遊佐家住宅は，大型の寄棟造の主屋で，こうした平面を保つ農家の好例である。近年，内部を中心に改修を行ったが，外観や軸組はよく保存されている。,https://bunka.nii.ac.jp/heritage/43967/_101366/43967_101366111225010645418_300.jpg
101,00000424,板垣家住宅主屋,いたがきけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治20頃,1887頃,木造平屋建，茅葺，建築面積226㎡,,04 － 0003,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,造形の規範となっているもの,,宮城県,宮城県大崎市鳴子温泉字要害91,,,,,38.73191000000000,140.75270000000000,軒を低く押さえた茅葺屋根を持ち横長の平面を持つこの地方の伝統的古民家のひとつ。現在北面を縮めて屋根を切妻造としているが，もとは厩があり屋根は寄棟造であった。部屋境に長い差鴨居を多用する点に，時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101414/43967_101414111225010717652_300.jpg
101,00000425,板垣家住宅板倉,いたがきけじゅうたくいたぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治20頃,1887頃,木造平屋建，鉄板葺，建築面積20㎡,,04 － 0004,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,再現することが容易でないもの,,宮城県,宮城県大崎市鳴子温泉字要害91,,,,,38.73220000000000,140.75250000000000,短い間隔で柱を立て貫を通し，柱と柱の間に板を落とし込んだ形式の蔵。小屋組の梁と束も短い間隔で用い，縦横に組んだ木材を壁面全体にみせる特異な外観を持つ。屋根の棟の押さえに石材を用いる点も現在では珍しい構法である。,https://bunka.nii.ac.jp/heritage/43967/_101415/43967_101415111225010719164_300.jpg
101,00000925,遊佐家住宅主屋,ゆさけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治10代,1877-1886,木造平屋建，瓦葺，建築面積207㎡,,04 － 0005,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73744000000000,140.74460000000000,伝統的な四間取，内厩式の平面を保つ大型の農家で，広い土間と厩の存在はかつて馬の産地であったこの地方の民家に共通する特色である。もと寄棟造，茅葺であったが，近年入母屋造，銅板葺に変更し，伝統的な間取を踏襲しつつ，厩や水廻りも巧みに改修した。,https://bunka.nii.ac.jp/heritage/43967/_101915/43967_101915111225011315978_300.jpg
101,00000926,遊佐家住宅板倉,ゆさけじゅうたくいたぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治18,1885,木造二階建，鉄板葺，建築面積33㎡,,04 － 0006,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73740000000000,140.74500000000000,敷地の東側にある切妻造，鉄板葺の小規模な板倉で，西面に庇が付く。側壁は，１尺２寸５分毎に柱を立て貫を多用する板壁になる。屋根は，もと小羽葺で棟押さえに切り石を置いたという。棟札から明治１８年の建設でこの地方に共通する板倉の形態をよく保つ。,https://bunka.nii.ac.jp/heritage/43967/_101916/43967_101916111225011316505_300.jpg
101,00000927,遊佐家住宅外風呂,ゆさけじゅうたくそとぶろ,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和11頃,1936頃,コンクリート造風呂、面積2.5㎡、深さ0.6m、木造上屋付属,,04 － 0007,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73742000000000,140.74480000000000,主屋の東面にある小規模の切妻造，平入，鉄板葺の温泉施設で，背面側に洗濯場とする庇が付く。コンクリート製の湯舟を中心に洗い場，脱衣場を覆った簡素な建屋で，小屋組を見せる。素朴な佇まいの施設であるが，地域の共同温泉として今も利用されている。,https://bunka.nii.ac.jp/heritage/43967/_101917/43967_101917111225011317858_300.jpg
101,00000928,遊佐家住宅味噌部屋,ゆさけじゅうたくみそべや,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正期,1912-1925,木造平屋建，瓦葺，建築面積10㎡,,04 － 0008,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73737000000000,140.74440000000000,主屋の西側に位置し，大壁造とする小規模な切妻造，平入，桟瓦葺の建屋。妻側は簡単な和小屋組とするが，中央部は梁行の柱筋に湾曲した梁材を渡し母屋桁を載せただけの構造になる。屋敷構えを構成する要素で，遺存例が比較的少なく貴重である。,https://bunka.nii.ac.jp/heritage/43967/_101918/43967_101918111225011318384_300.jpg
101,00000929,遊佐家住宅材料小屋,ゆさけじゅうたくざいりょうごや,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和中,昭和20頃,1945頃,木造平屋建，鉄板葺，建築面積14㎡,,04 － 0009,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73733000000000,140.74440000000000,味噌部屋の南側に並列して建つ切妻造，鉄板葺の小建物で，南側の一間は吹き放ちとし他は板壁とする。名称の通り建築資材や薪等を納める小屋で，味噌部屋と同じく小屋組は簡単な構造になる。素朴な外観の建屋で，生活の一端を知ることのできる要素である。,https://bunka.nii.ac.jp/heritage/43967/_101919/43967_101919111225011318904_300.jpg
101,00000930,遊佐家住宅室,ゆさけじゅうたくむろ,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10頃,1935頃,石造貯蔵庫，建築面積5.４㎡,,04 － 0010,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮城県,宮城県大崎市鳴子温泉字馬場102,,,,,38.73734000000000,140.74450000000000,材料小屋の東側の段差を利用して造られた横穴式の石室で，側壁は切石積とし，アーチ型をしたコンクリート屋根を設けて造る。現在も主に漬物野菜の貯蔵用に使われている。正面の扉は欠失し開放となっているが，戦前期の農村生活を知る上で貴重な室である。,https://bunka.nii.ac.jp/heritage/43967/_101920/43967_101920111225011319175_300.jpg
101,00000931,鎌田家住宅主屋,かまたけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,18世紀中頃,1701-1800頃,木造平屋建，鉄板葺，建築面積266㎡,,04 － 0011,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,再現することが容易でないもの,,宮城県,宮城県大崎市鳴子温泉字野際146,,,,,38.74344000000000,140.77500000000000,鎌田家はこの地方の代表的な旧家で，元は入母屋造，茅葺でこの地方特有の土間をもつ内厩式の直屋であった。平面は六間取りで，柱や差物に栗，けやき，松など，身近な材料を多用する。近年改修されたが，全体に木柄の太い堂々たる風格を保つ主屋である。,https://bunka.nii.ac.jp/heritage/43967/_101921/43967_101921111225011319487_300.jpg
