台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000179,黒北発電所,くろきたはつでんしょ,1棟,,登録有形文化財(建造物),生活関連,建築物,,明治,明治40,1907,石造平屋建、瓦葺、建築面積78㎡,,45 － 0001,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県宮崎市清武町大字船引字川平3544,,九州電力宮崎支店,,,31.87695000000000,131.35180000000000,大分清武川水系を利用した石造，平屋建の水力発電所の建屋。外観に石積みの目地を表し，縦長の窓やアーチ形の明かり取り窓を用いる等小規模ながら洋風の本格的な意匠が用いられている。現存する九州最古の水力発電所として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101169/43967_101169111225010443634_300.jpg
101,00000718,めがね橋,めがねばし,1基,,登録有形文化財(建造物),産業1次,土木構造物,,昭和前,昭和3,1928,石造３連アーチ橋，橋長58.2m，幅員3.2m,,45 － 0002,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県えびの市大字大河平字佐牛野1953-4～1953-6,,えびの市,,,32.04893000000000,130.89870000000000,川内川上流域の木材を吉都線飯野駅まで搬出するトロッコの軌道用に熊本営林局が５０センチ角の切石を積み上げ築造した大型３連アーチ橋で，全長５８．２ｍある。特に中央アーチ部は半径１５．２ｍと大きく，見応えがある。太鼓橋とも呼ばれ親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101708/43967_101708111225011056588_300.jpg
101,00000920,杉村金物本店主屋,すぎむらかなものほんてんしゅおく,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造３階建，瓦葺，建築面積185㎡,,45 － 0003,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市油津1-6-12,,杉村総業有限会社,,,31.58377000000000,131.40320000000000,油津の港に通じる道路に面した角地に建つ木造３階建の店舗兼用住宅。１階を店舗，２・３階を住居にあてる。縦長の窓や隅の石張り風の仕上げなど洋風の意匠を取り込み，外壁を銅板で覆った外観に特徴があり，町並でひときわ目立つ存在となっている。,https://bunka.nii.ac.jp/heritage/43967/_101910/43967_101910111225011311351_300.jpg
101,00000921,杉村金物本店倉庫,すぎむらかなものほんてんそうこ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正9,1920,煉瓦造３階建，瓦葺，建築面積185㎡,,45 － 0004,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市油津1-6-12,,杉村総業有限会社,,,31.58375000000000,131.40310000000000,主屋の西に隣接して建つ。煉瓦造３階建のせいの高い倉庫で，２階と３階の間は石材を帯状にまわして外観に変化をもたせている。主屋とともに町並でひときわ目立つ存在で，赤煉瓦で開口部の少ない外観の意匠は，銅板で覆った主屋と好対照をなす。,https://bunka.nii.ac.jp/heritage/43967/_101911/43967_101911111225011312288_300.jpg
101,00000922,油津赤レンガ館（旧河野宗泰家倉庫）,あぶらつあかれんがかん（きゅうかわのむねやすけそうこ）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正11,1922,煉瓦造２階建，瓦葺，建築面積132㎡,,45 － 0005,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市油津1-9-3,,合名会社油津赤レンガ館,,,31.58357000000000,131.40290000000000,堀川運河の東方，中町通りに北面して建つ。煉瓦造２階建で，内部は左右２室に分かれる。外観は，出入口の門構えの意匠等に工夫がみられる。港湾と運河による水運で栄えた町の様子をよく示す建物で，現在は地域文化活動の拠点として再利用されている。,https://bunka.nii.ac.jp/heritage/43967/_101912/43967_101912111225011314223_300.jpg
101,00000923,旧河野宗泰家主屋及び炊事場,きゅうかわのむねやすけしゅおくおよびすいじば,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸末期／大正11頃増築,1830-1867／1922頃増築,木造２階建，瓦葺，建築面積173㎡,,45 － 0006,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市油津1-9-3,,合名会社油津赤レンガ館,,,31.58335000000000,131.40290000000000,油津の町並中心を東西に走る下町通りに南面して建つ。接道して居住部分を配し，後方に炊事場を置く。居住部分は通常の町家に似るが，東側に道からわずかに後退して２階建の座敷（大正期増築）を設ける点に特徴がある。上京屋の愛称で広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101913/43967_101913111225011314773_300.jpg
101,00001023,堀川橋（乙姫橋）,ほりかわばし（おとひめばし）,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治36,1903,石造単アーチ橋，長さ21.0m，幅員5.7m,,45 － 0007,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市油津1,,日南市,,,31.58452000000000,131.40180000000000,堀川運河に架かる単アーチの石橋で，吾平津神社の参道橋の役割をも担う。石橋の架設により取付道路が嵩上げされた結果，堀川運河沿いの家は二階を入口とする造りとなったとされる。油津の景観にとって欠くことのできない存在で，町のシンボルにもなっている。,https://bunka.nii.ac.jp/heritage/43967/_102013/43967_102013111225011414049_300.jpg
101,00001378,大御神社本殿,おおみじんじゃほんでん,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和11,1936,木造平屋建、銅板葺、建築面積25㎡,,45 － 0008,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,宮崎県,宮崎県日向市大字日知屋字伊勢ヶ浜1,,大御神社,,,32.41094000000000,131.64940000000000,「日向のお伊勢さま」として知られる神社の本殿。伊勢ヶ浜の日向灘を見下ろす崖上に海を背に，高千穂に正面を向けて建つ。棟持柱を持つ神明造りの三間社で，設計施工は地元の谷山武義。形式・規模等について県社寺課の指導を受けたと伝える。,https://bunka.nii.ac.jp/heritage/43967/_102368/43967_102368111225011741026_300.jpg
101,00001379,大御神社幣殿・拝殿,おおみじんじゃへいでん・はいでん,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和11,1936,木造平屋建、銅板葺、建築面積35㎡,,45 － 0009,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,宮崎県,宮崎県日向市大字日知屋字伊勢ヶ浜1,,大御神社,,,32.41101000000000,131.64930000000000,本殿と棟を平行に置いた３間×３間，切妻造平入の拝殿から本殿に向けて直交棟の切妻屋根を架けて幣殿に充て，拝殿寄りの幣殿左右に切妻造の神饌所と神具所を配す。それぞれの社殿機能を表す多彩な屋根構成と均整のとれたヴォリューム構成に見所がある。,https://bunka.nii.ac.jp/heritage/43967/_102369/43967_102369111225011741993_300.jpg
101,00002467,英国館,えいこくかん,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和初期,1926-1988,木造平屋建、鉄板葺、建築面積350㎡,,45 － 0010,30,2001.10.29(平成13.10.29),2001.10.12(平成13.10.12),,20011012,,造形の規範となっているもの,,宮崎県,宮崎県西臼杵郡日之影町大字見立2107-8,,日之影町,,,32.78772000000000,131.45490000000000,神戸の貿易商ハンター（範多範三郎）により経営された見立鉱山の外国人技師クラブ兼ハンター別荘として建設。木造平屋建，下見板張，鉄板葺切妻屋根で，横長の連続窓を配したモダニズム建築になり，地元では「レーモンド様式」の建築として名がとおっている。,https://bunka.nii.ac.jp/heritage/43967/_103457/43967_103457111225012929291_300.jpg
101,00003932,広渡川石堰堤,ひろとがわいしえんてい,1基,,登録有形文化財(建造物),交通,土木構造物,,江戸,江戸中期／昭和初期増築,1661-1750／1926-1988増築,石造、延長30m、石造護岸付,,45 － 0012,40,2004.03.04(平成16.03.04),2004.02.17(平成16.02.17),,20040217,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県日南市瀬貝3丁目地先,,宮崎県,,,31.59211000000000,131.40550000000000,堀川運河の起点である広渡川西岸に築かれた石造堤。川に対してほぼ平行の平面形状を有し，川下側から水を取り入れ運河へ流入する水量を調節する。上幅２．４ｍのほぼ台形断面で，堤の運河側には石敷部分を残す。堀川運河開通時の景観を今に伝える貴重な遺構。,https://bunka.nii.ac.jp/heritage/43967/_104922/43967_104922111225014505594_300.jpg
101,00003933,花峯橋,はなみねばし,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和4／昭和25頃改造,1929／1950頃改造,木造方杖橋、橋長27m、幅員6.1m,,45 － 0013,40,2004.03.04(平成16.03.04),2004.02.17(平成16.02.17),,20040217,,再現することが容易でないもの,,宮崎県,宮崎県日南市園田3,,日南市,,,31.58971000000000,131.40350000000000,堀川運河の上流に架けられた橋長２７ｍ，幅員６．１ｍ，径間長約９ｍの木造方杖橋。橋台は石造布積で，二基のコンクリート造橋脚基礎から，側面から見てほぼ４５度の傾きで木造橋脚が左右に広がり主桁を支える。現存する数少ない木造方杖形式の道路橋の一つ。,https://bunka.nii.ac.jp/heritage/43967/_104923/43967_104923111225014506867_300.jpg
101,00003939,享保水路井堰,きょうほうすいろいぜき,1基,,登録有形文化財(建造物),産業1次,土木構造物,,明治,明治39／大正3・昭和初期改修,1906／1914・1926-1988改修,石造、堤長31m、堤高2m,,45 － 0019,40,2004.03.04(平成16.03.04),2004.02.17(平成16.02.17),,20040217,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県えびの市大字大河平字石床地先,,上方土地改良区,,,32.07439000000000,130.91430000000000,享保水路へ用水を取り入れるために川内川上流に築かれた取水堰。堤長３１ｍ，堤高２ｍで，下流側の法勾配を約１割とした布積の石造堰に石張の水叩が連続する精緻なつくりの石造構造物。えびの市東部３１６ｈａの農地を潤してきた灌漑用水の要となる施設。,https://bunka.nii.ac.jp/heritage/43967/_104929/43967_104929111225014507862_300.jpg
101,00003940,享保水路太鼓橋,きょうほうすいろたいこばし,1基,,登録有形文化財(建造物),産業1次,土木構造物,,明治,明治3,1870,石造単アーチ橋、橋長34m、幅員8.8m,,45 － 0020,40,2004.03.04(平成16.03.04),2004.02.17(平成16.02.17),,20040217,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県えびの市大字大河平字宇土川地先,,上方土地改良区,,,32.04879000000000,130.90340000000000,井堰から約３ｋｍ下流に位置する石造単アーチ橋。橋長３４ｍで，天端のほぼ西寄りの位置に幅１．６ｍの水路を通す。迫石を二重とし，スパンドレルではほぼ扇状に石を積み，その上部で布積とさせる。周辺の田園景観に馴染み，市民に広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_104930/43967_104930111225014508715_300.jpg
101,00003941,靉靆橋,あいたいばし,1基,,登録有形文化財(建造物),産業1次,土木構造物,,江戸,享保14,1729,石造単アーチ橋、橋長13m、幅員10m、水路石敷付,,45 － 0021,40,2004.03.04(平成16.03.04),2004.02.17(平成16.02.17),,20040217,,国土の歴史的景観に寄与しているもの,,宮崎県,宮崎県えびの市大字杉水流字前田,,上方土地改良区,,,32.04547000000000,130.89240000000000,太鼓橋の約１ｋｍ西方に位置する橋長１３ｍ，幅員１０ｍの石造単アーチ橋。天端の南寄りに水路を通し，その北寄りを人吉街道とする水路橋兼道路橋。迫石を二重に積み，長手積されたアーチの下の水路底部に切石張を施すなど，小規模ながら丁寧なつくりとする。,https://bunka.nii.ac.jp/heritage/43967/_104931/43967_104931111225014510654_300.jpg
