台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000037,高岡商工会議所伏木支所（旧伏木銀行）,たかおかしょうこうかいぎしょふしきししょ（きゅうふしきぎんこう）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治43,1910,木造2階建、瓦葺、建築面積261㎡,,16 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,富山県,富山県高岡市伏木湊町7-1,,高岡商工会議所,,,36.79558000000000,137.06260000000000,土蔵造の町家の意匠を基調に，スクラッチタイルの壁，玄関ポーチの柱，上げ下げ窓，軒蛇腹，天井，階段等に洋風の意匠を取り入れた建物。土蔵造の町家が数多く残る高岡の町並みの中で，洋風の意匠をふんだんに取り入れた先駆的な建物である。,https://bunka.nii.ac.jp/heritage/43967/_101027/43967_101027111225010311697_300.jpg
101,00000038,清水町配水塔資料館旧配水塔,しみずまちはいすいとうしりょうかんきゅうはいすいとう,1棟,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和6,1931,鉄筋コンクリート造、高さ29.7m、直径11.4m,,16 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市清水町1-7-30,,高岡市水道局,,,36.74106000000000,137.00350000000000,昭和６年に完成した高岡市の水道施設の一部。当時の最新科学の粋を集めた水源施設のシンボル的存在である。鉄筋コンクリート造の４層の上に銅板張りの貯水槽が乗る。平成５年より資料館として活用され，通水当時の工具などを展示している。,https://bunka.nii.ac.jp/heritage/43967/_101028/43967_101028111225010311952_300.jpg
101,00000039,入善町下山芸術の森アートスペース（旧下山発電所）,にゅうぜんまちにざやまげいじゅつのもりあーとすぺーす（きゅうにざやまはつでんしょ）,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正15,1926,鉄筋コンクリート造2階建、鉄板葺、建築面積558㎡,,16 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,富山県,富山県下新川郡入善町下山364-1,,入善町,,,36.90714000000000,137.53140000000000,発電所の建屋を町が払い下げを受け美術館とした建物。富山平野特有の低落差の河岸段丘を利用した小型の水力発電所で，その立地と赤煉瓦を用いた外観の意匠に特徴がある。富山平野の地形やそれを利用した近代の景観を知る上で特に必要な存在である。,https://bunka.nii.ac.jp/heritage/43967/_101029/43967_101029111225010312199_300.jpg
101,00000040,井波町物産展示館（旧井波駅舎）,いなみまちぶっさんてんじかん（きゅういなみえきしゃ）,1棟,,登録有形文化財(建造物),交通,建築物,,昭和前,昭和9,1934,木造平屋建望楼付、瓦葺、建築面積253㎡,,16 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,富山県,富山県南砺市北川86,,南砺市,,,36.56892000000000,136.96920000000000,瑞泉寺への参詣道につくられた加越線の駅舎。設計施工は地元で社寺建築を多く手がけた松井角平で，中央に楼閣及び千鳥破風をもつ複雑な屋根，欄間彫刻や蟇股を用いた細部等の仏閣風の意匠に特徴があり，彫刻の町井波の窓口にふさわしい建物である。,https://bunka.nii.ac.jp/heritage/43967/_101030/43967_101030111225010312932_300.jpg
101,00000127,清水町配水塔資料館旧第３源井上屋,しみずまちはいすいとうしりょうかんきゅうだいさんげんせいうわや,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和6,1931,鉄筋コンクリート造平屋建，銅板葺，建築面積6.6㎡,,16 － 0005,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市清水町1-7-30,,高岡市水道局,,,36.74048000000000,137.00320000000000,地下水を汲み上げる源井の上屋である。鉄筋コンクリート造ではあるが，煉瓦の外壁を持ち，八角形の平面とあいまって愛らしい外観を見せている。配水塔とともに当時の科学技術の粋を集めた施設のシンボルとして広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101117/43967_101117111225010412066_300.jpg
101,00000128,清水町配水塔資料館水源地水槽,しみずまちはいすいとうしりょうかんすいげんちすいそう,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和6,1931,鉄筋コンクリート造，長さ30.3m，幅22.7m，高さ3.0m,,16 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市清水町1-7-30,,高岡市水道局阿,,,36.74074000000000,137.00380000000000,鉄筋コンクリート造で，長さ30.3ｍ，幅22.7ｍ，高さ3.0ｍの大規模な半地下式の構造物。現在も予備の水槽としての機能をもつが，上部が公園化され市民の憩いの場になっており，高岡の市民生活を支える施設として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101118/43967_101118111225010412571_300.jpg
101,00000197,棚田家住宅主屋,たなだけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23頃,1890頃,木造2階建，瓦葺，建築面積408㎡,,16 － 0007,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市伏木錦町14-26,,,,,36.79323000000000,137.05940000000000,７間×９間、茶室附属の木造２階建の商家で、小屋裏の隠し物置、２階の隠れ通路、廻船問屋としての広い土間など、平面に特徴がある。主柱が秋田杉の四方柾であるなど、部材の質も高く、北前船で栄えた時代の高岡の町並みを今に伝えて広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101187/43967_101187111225010454813_300.jpg
101,00000198,棚田家住宅衣装蔵,たなだけじゅうたくいしょうぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23頃,1890頃,土蔵造平屋建，瓦葺，建築面積47㎡,,16 － 0008,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市伏木錦町14-26,,,,,36.79330000000000,137.05930000000000,主屋の背面にあって道具蔵と並んで建ち屋敷構えを構成する。主屋から縁続きの広縁を張って蔵前とする。漆喰仕上げの中規模の土蔵で、切妻造、桟瓦葺になる。弓状に反らした形の扉構えの&#26979;、腰下の黒漆喰仕上げ等の各部の技法にみるべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101188/43967_101188111225010455322_300.jpg
101,00000199,棚田家住宅道具蔵,たなだけじゅうたくどうぐぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23頃,1890頃,土蔵造平屋建，瓦葺，建築面積79㎡,,16 － 0009,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市伏木錦町14-26,,,,,36.79336000000000,137.05940000000000,屋敷地の北西角に位置し衣裳蔵と並び建つ屋敷構えを構成する要素となる大型の土蔵。衣裳蔵と同じ切妻造、桟瓦葺の土蔵で、正面に板敷及び畳の間をおいて蔵前とする。扉口の構えは衣裳蔵と同様であるが、扉口の位置は正面左寄りで防火戸がない点に違いがある。,https://bunka.nii.ac.jp/heritage/43967/_101189/43967_101189111225010455586_300.jpg
101,00000200,棚田家住宅味噌蔵,たなだけじゅうたくみそぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23頃,1890頃,土蔵造平屋建，瓦葺，建築面積20㎡,,16 － 0010,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,富山県,富山県高岡市伏木錦町14-26,,,,,36.79327000000000,137.05950000000000,屋敷地の東北に位置する小規模な土蔵造の蔵。東面は木造２階建の同規模の建物が棟続きとなり、南面に庇を付加して小部屋を造るなど改造はあるが、内部はよく保存されている。棚田家の内向きの生活を知る上で貴重な蔵である。,https://bunka.nii.ac.jp/heritage/43967/_101190/43967_101190111225010456100_300.jpg
