台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000098,明倫小学校本館,めいりんしょうがっこうほんかん,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和10,1935,木造2階建、瓦葺、建築面積1104㎡,,35 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,山口県,山口県萩市大字江向602,,萩市,,,34.40921000000000,131.39970000000000,隣接する史跡有備館に合わせた意匠で，外壁は１階部分は押しぶち下見板張り，２階部分は白漆喰塗りである。屋根のフランス瓦や連続する窓の意匠が特徴的で，モダニズムへの萌芽も見られる。既にほとんど失われてしまった木造学校建築の好例。,https://bunka.nii.ac.jp/heritage/43967/_101088/43967_101088111225010346386_300.jpg
101,00000099,萩駅舎,はぎえきしゃ,1棟,,登録有形文化財(建造物),交通,建築物,,大正,大正14,1925,木造平屋建、スレート葺、建築面積403㎡,,35 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,山口県,山口県萩市大字椿3537-３,,萩市,,,34.39385000000000,131.40100000000000,国鉄美祢線（現在は山陰本線）の開通にともない建設された駅舎。欄間を持つ上下窓，入口ポーチ，棟先を落とした切妻屋根等に洋風の意匠をもつ点に特徴がある。現存する数少ない鉄道開通時の駅舎で，地方の発展を紹介する上で存在が引用される建造物である。,https://bunka.nii.ac.jp/heritage/43967/_101089/43967_101089111225010346892_300.jpg
101,00000228,むつみ村役場旧庁舎,むつみそんやくばきゅうちょうしゃ,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治28,1895,木造2階建，瓦葺，建築面積233㎡,,35 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,山口県,山口県萩市大字吉部上3276-1,,萩市,,,34.43781000000000,131.57730000000000,木造、２階建の寄棟造、妻入の庁舎。正面に入母屋屋根の玄関、左右に庇が付く。一階の内部は、概ね左右対称形の平面になり、中央の通路が奥手の板敷の執務室にくい込む独特の構成になる。明治期の役場建築遺構として今なお親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101218/43967_101218111225010512290_300.jpg
101,00000229,むつみ村役場土蔵,むつみそんやくばどぞう,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治29,1896,木造2階建，瓦葺，建築面積58㎡,,35 － 0005,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,山口県,山口県萩市大字吉部上3276-1,,萩市,,,34.43799000000000,131.57720000000000,旧庁舎の背後に建つ２階建、妻入の中規模の土蔵。本庁舎完成後に建築された。屋根は本庁舎とも石州瓦を葺く。外壁は漆喰仕上げとするが腰下は板張りとし、正面扉口に切妻の庇屋根が付く。本庁舎とともに旧形を保つ点に価値があり、村の象徴となっている。,https://bunka.nii.ac.jp/heritage/43967/_101219/43967_101219111225010512543_300.jpg
101,00000365,旧桃山一号配水池監視廊入口,きゅうももやまいちごうはいすいちかんしろういりぐち,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正13,1924,鉄筋コンクリート造，建築面積16㎡,,35 － 0006,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山口県,山口県宇部市大字小串字開立1943,,宇部市,,,33.97100000000000,131.25010000000000,宇部市桃山の水道施設は，沖ノ山炭鉱の関連施設として建設され，後に市民用の施設となった。監視廊は，柱頭装飾がある柱形や尖頭形アーチを用いた入口の意匠に特徴がある。市街が眺望できる丘陵地にあり，市民生活の近代化の象徴として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101355/43967_101355111225010638123_300.jpg
101,00000366,桃山配水計量室,ももやまはいすいけいりょうしつ,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正13,1924,煉瓦造平屋建，建築面積30㎡,,35 － 0007,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山口県,山口県宇部市大字小串字福富175-9,,宇部市,,,33.97101000000000,131.25000000000000,煉瓦造平屋建で八角形の平面を持つ小規模な建物。傾斜地に広がる住宅地のなかにあり，「六角堂」の愛称で広く親しまれている。現在は鉄筋コンクリート造の陸屋根がかかっているが，建設当初には八角錐形の屋根を頂いていた。,https://bunka.nii.ac.jp/heritage/43967/_101356/43967_101356111225010638374_300.jpg
101,00000367,沖ノ山電車竪坑石垣,おきのやまでんしゃたてこういしがき,1基,,登録有形文化財(建造物),産業1次,その他工作,,大正,大正14,1925,石造，高さ3.5m，延長72.4m,,35 － 0008,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山口県,山口県宇部市大字小串字沖ノ山1980,,宇部興産株式会社,,,33.95461000000000,131.22890000000000,海底炭田採掘を目的に建設された炭鉱施設で，その名は昭和３２年に接続してつくられた電車坑道に由来する。石垣は竪坑櫓の基礎として建設されたもので，工業都市として栄えた宇部市に現存する数少ない初期の産業遺産である。櫓は昭和３９年改修時のもの。,https://bunka.nii.ac.jp/heritage/43967/_101357/43967_101357111225010638636_300.jpg
101,00000480,下関市水道局内日第一貯水池取水塔,しものせきしすいどうきょくうついだいいちちょすいちしゅすいとう,1基,,登録有形文化財(建造物),生活関連,その他工作,,明治,明治39,1906,煉瓦造，高さ23.1m，上部内径3.0m,,35 － 0009,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,山口県,山口県下関市大字内日上字猿山356-9,,下関市,,,34.06077000000000,130.95700000000000,貯水池の南端にある円筒形の煉瓦造の取水塔。高さ約２０ｍ（水中部含む）で，塔頂部を御影石で固めその上部に煉瓦造の上屋（屋根は昭和４８年の改造）が取り付く。水道創設時の施設で，市民生活の近代化を知る上で貴重な施設として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101470/43967_101470111225010751542_300.jpg
101,00000481,下関市水道局内日貯水池事務所,しものせきしすいどうきょくうついちょすいちじむしょ,1棟,,登録有形文化財(建造物),生活関連,建築物,,明治,明治39,1906,木造平屋建，瓦葺，建築面積35㎡,,35 － 0010,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,山口県,山口県下関市大字内日上字猿山356-9,,下関市,,,34.05954000000000,130.95770000000000,貯水池の南方に道を挟んで建つ木造，平屋建の小規模な事務所。装飾がほとんどない簡素な意匠になるが，下見板張りの外壁，縦長の窓，入口上部の曲線状の庇など，各所に洋風の意匠を持つ。初期の水道施設の様子を示すものとして貴重である。,https://bunka.nii.ac.jp/heritage/43967/_101471/43967_101471111225010751847_300.jpg
101,00000482,下関市水道局高尾浄水場着水井,しものせきしすいどうきょくたかおじょうすいじょうちゃくすいせい,1基,,登録有形文化財(建造物),生活関連,その他工作,,明治,明治39,1906,煉瓦造，内径3.55m,,35 － 0011,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,山口県,山口県下関市春日町8-1,,下関市,,,33.95945000000000,130.92970000000000,下関市の水道施設は，明治３４年に起工，３９年から通水を開始した。県内最初の水道施設で，内日第一貯水池と高尾浄水場にこの時に建設された施設が残る。着水井はそのひとつで，高尾浄水場の西端にある。煉瓦造，内径約３．６ｍの円形で，頂部に御影石をのせる。,https://bunka.nii.ac.jp/heritage/43967/_101472/43967_101472111225010752350_300.jpg
