台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000019,橋本家住宅主屋,はしもとけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治37頃,1904頃,木造平屋建、瓦葺、建築面積485㎡,,06 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,山形県,山形県酒田市日吉町2-3-25,,,,,38.91735000000000,139.83190000000000,明治27年の地震時の大火で焼失した後，10年をかけて建設したと伝える酒造業を営む平入の町家。通り土間をとり道側に座敷，裏側に板敷の大きな部屋がある酒田の伝統的大規模町家の系統をひく建物で，規模や材質等の点においてその代表的事例のひとつといえる。,https://bunka.nii.ac.jp/heritage/43967/_101009/43967_101009111225010256439_300.jpg
101,00000020,相馬屋主屋,そうまやしゅおく,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治28頃,1895頃,木造2階建、瓦葺、建築面積483㎡,,06 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,山形県,山形県酒田市日吉町1-2-20,,株式会社平田牧場,,,38.91941000000000,139.83320000000000,相馬屋は江戸時代末期から続いた料亭で，主屋は明治27年の地震時の大火によって焼失した直後に，残った土蔵等を取り込んで建設したものである。店，広間，土蔵等を繋いだ複雑な構成は特異で，トコ棚を備えた各室に用いられている技能の水準も高い。,https://bunka.nii.ac.jp/heritage/43967/_101010/43967_101010111225010258044_300.jpg
101,00000119,米沢女子高等学校校舎,よねざわじょしこうとうがっこうこうしゃ,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和10,1935,木造2階建，瓦葺，建築面積1713㎡,,06 － 0004,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山形県,山形県米沢市門東町1-1-72,,学校法人九里学園,,,37.90784000000000,140.10980000000000,総二階建Ｌ型平面になる校舎で，中央部に垂直線を強調した素朴な意匠の玄関を設ける。外壁は下見板張りのハーフティンバーとし，２階窓枠の下に気抜きの小窓等を設けてアクセントとする。昭和初期の学校建築の好例で，風格のある外観は市民に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101109/43967_101109111225010405684_300.jpg
101,00000120,ホテル音羽屋本館,ほてるおとわやほんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治31,1898,木造3階建，瓦葺，建築面積100㎡,,06 － 0005,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山形県,山形県米沢市駅前2-1-40,,株式会社吾妻自動車学校,,,37.90956000000000,140.12660000000000,木造３階建，入母屋造で，正面に千鳥破風の屋根を設ける。１階にアーチ状の出入り口や窓を設け，２階に出窓，３階には花頭窓風の窓を開き，隅柱等に色付けするなどの正面の賑やかな外観の意匠に特徴があり，米沢の駅前においてひときわ目を引く建物である。,https://bunka.nii.ac.jp/heritage/43967/_101110/43967_101110111225010406123_300.jpg
101,00000121,能登屋旅館本館,のとやりょかんほんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正14頃,1925頃,木造3階建塔屋付，鉄板葺，建築面積333㎡,,06 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山形県,山形県尾花沢市大字銀山新畑446,,有限会社能登屋旅館,,,38.56941000000000,140.53150000000000,銀山川と背後の急傾斜地に挟まれた狭隘な場所に立置する秘湯の里銀山温泉街にある老舗の温泉旅館で，銀山川に面して木造３階建，塔屋付きの外観を保つ。和風を基調としながら正面にバルコニー付きの玄関を持つなど洒落た外観意匠は広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101111/43967_101111111225010406620_300.jpg
101,00000183,米沢市上杉記念館大広間・玄関棟,よねざわしうえすぎきねんかんおおひろま・げんかんとう,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14,1925,木造平屋建，銅板葺，建築面積426㎡,,06 － 0007,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,山形県,山形県米沢市丸の内1-3-60,,米沢市,,,37.90761000000000,140.10510000000000,旧上杉伯爵邸を記念館としたもの。木造・一部２階建になる純和風の建物で、吟味された材料を用いた上質な造りになる。設計は中條精一郎、施行は上杉家出入りの江部栄蔵。外観は延びのある入母屋屋根と庇の間に真壁を見せる清廉な意匠とする。,https://bunka.nii.ac.jp/heritage/43967/_101173/43967_101173111225010446713_300.jpg
101,00000184,米沢市上杉記念館客間棟,よねざわしうえすぎきねんかんきゃくまとう,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14,1925,木造2階建，銅板葺，建築面積71㎡,,06 － 0008,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,山形県,山形県米沢市丸の内1-3-60,,米沢市,,,37.90755000000000,140.10490000000000,大広間、玄関棟に接続して建つ２階建の建物。設計は中條精一郎、施行は上杉家出入りの江部栄蔵。洗練された巧みな大工技術を用いた質の高い建物である。全体に立ちが高く、側廻りの廊下及び１、２階の側廻りに設けた欄間が外観意匠を特徴づける。,https://bunka.nii.ac.jp/heritage/43967/_101174/43967_101174111225010447305_300.jpg
101,00000185,米沢市上杉記念館仏間棟,よねざわしうえすぎきねんかんぶつまとう,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14,1925,木造平屋建，銅板葺，建築面積24㎡,,06 － 0009,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,山形県,山形県米沢市丸の内1-3-60,,米沢市,,,37.90751000000000,140.10480000000000,客間棟の西に接続して建つ宝形造りの建物。設計は中條精一郎、施行は上杉家出入りの江部栄蔵。６畳の間の背後に花唐窓風の縁取り壁を配した仏壇を設ける。簡素な建物ながら洗練された意匠になる質の高い純和様の建物である。,https://bunka.nii.ac.jp/heritage/43967/_101175/43967_101175111225010447791_300.jpg
101,00000322,樽平酒造主屋,たるへいしゅぞうしゅおく,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,元禄8頃／昭和7改装,1695頃／1932改装,木造2階建，茅葺，建築面積430㎡,,06 － 0010,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山形県,山形県東置賜郡川西町大字中小松2886,,樽平酒造株式会社,,,38.01386000000000,140.04960000000000,元禄年間創業の酒造会社の事務所兼家屋。茅葺きの民家に，２階建て長方形平面の事務所部分を接続する。街路に面した事務所部分と農家型平面の茅葺き民家のコントラストが特徴的で，街道に面した川西町への入口のランドマークとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101312/43967_101312111225010612510_300.jpg
101,00000323,樽平酒造中蔵,たるへいしゅぞうなかぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,18世紀中頃,1701-1800頃,土蔵造平屋建，鉄板葺，建築面積428㎡,,06 － 0011,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,山形県,山形県東置賜郡川西町大字中小松2961,,樽平酒造株式会社,,,38.01326000000000,140.04890000000000,主屋に近接して建ち，各蔵の中心部に配置されて樽平酒造の醸造施設の中核部分をなしている。蔵としては桁行の長い点が特徴的で，西側からは長大なファサードが望まれる。酒造施設としての土蔵造建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101313/43967_101313111225010613022_300.jpg
101,00000324,樽平酒造東蔵,たるへいしゅぞうひがしぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,19世紀初期,1801-1900,土蔵造平屋建，鉄板葺，建築面積162㎡,,06 － 0012,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山形県,山形県東置賜郡川西町大字中小松2962,,樽平酒造株式会社,,,38.01219000000000,140.04910000000000,中蔵の北端に直角に接続して建つ。現在は主に醸造タンクを収容しており，醸造施設の一端を担っている。東側の妻は街路に接し，隣接する建物と共に三角の屋根端を見せ，リズミカルな景観を形成しており，主屋と共に川西町のランドマークとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101314/43967_101314111225010613281_300.jpg
101,00000325,樽平酒造西蔵,たるへいしゅぞうにしぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治後期,1868-1911,土蔵造平屋建，鉄板葺，建築面積205㎡,,06 － 0013,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,山形県,山形県東置賜郡川西町大字中小松2960,,樽平酒造株式会社,,,38.01326000000000,140.04890000000000,中蔵の北端に，東蔵と相対して建つ。内部には東蔵と同じく醸造タンクを収容している。中蔵と比較するとやや建ちが低いのが相違点で，壁面には開口部を設けていない。中蔵・東蔵と並んで，土蔵造醸造施設の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101315/43967_101315111225010613541_300.jpg
101,00000326,樽平酒造土蔵,たるへいしゅぞうどぞう,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治後期,1868-1911,土蔵造2階建，鉄板葺，建築面積85㎡,,06 － 0014,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山形県,山形県東置賜郡川西町大字中小松2886,,樽平酒造株式会社,,,38.01386000000000,140.04960000000000,長大な中蔵等と異なり，標準的な規模の土蔵である。街路に平行して建ち，平を見せる。軽快な置屋根と壁面のコントラストが特徴。東蔵の妻面から連なる壁面が，街道沿いのランドマークとして広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101316/43967_101316111225010615077_300.jpg
101,00000327,樽平酒造前蔵,たるへいしゅぞうまえぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正期,1912-1925,土蔵造2階建，鉄板葺，建築面積79㎡,,06 － 0015,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山形県,山形県東置賜郡川西町大字中小松2910-1,,樽平酒造株式会社,,,38.01389000000000,140.05210000000000,国道を挟んで，主屋と相対して建つ。２階建で，大きく張り出す軒が特徴的な土蔵であり，街路側の妻に下屋を付している。反対側の建物と相まって白い壁面が連続する景観を作り出しており，道路改修前の敷地の様子を現在に伝える建物である。,https://bunka.nii.ac.jp/heritage/43967/_101317/43967_101317111225010615586_300.jpg
101,00000328,樽平酒造樽蔵,たるへいしゅぞうたるぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治後期,1868-1911,土蔵造2階建，鉄板葺，建築面積142㎡,,06 － 0016,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,山形県,山形県東置賜郡川西町大字中小松2910-1,,樽平酒造株式会社,,,38.01389000000000,140.05210000000000,前蔵の北側，土蔵の東側に建つ。妻面は後補材が付されているが，道路に面した側は当初の構成を残しており，土蔵としては比較的大きめな開口部などが特徴である。現在では間に道路が敷設されているが，樽平酒造の他の建物と連続した景観を作り出している。,https://bunka.nii.ac.jp/heritage/43967/_101318/43967_101318111225010615842_300.jpg
101,00000329,掬粹巧芸館本館,きくすいこうげいかんほんかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和7,1932,土蔵造平屋建，鉄板葺，建築面積70㎡,,06 － 0017,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,山形県,山形県東置賜郡川西町大字中小松2911-5、6、8、9,,財団法人掬粹巧芸館,,,38.01389000000000,140.05210000000000,樽平酒造当主井上家の十代目が設立した陶磁器美術館とするための建築である。土蔵造平屋建で，ほぼ正方形の平面を持つ。壁面には高窓を配し，正面は左右対称の構成としている。当初より展示を主目的とした建築としては最初期の例である。,https://bunka.nii.ac.jp/heritage/43967/_101319/43967_101319111225010616107_300.jpg
101,00000330,掬粹巧芸館日本館,きくすいこうげいかんにほんかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和13,1938,石造・土蔵造2階建塔屋付，建築面積109㎡,,06 － 0018,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,山形県,山形県東置賜郡川西町大字中小松2908、2909、2910-3,,財団法人掬粹巧芸館,,,38.01364000000000,140.05090000000000,隣接する高畠町で産出する高畠石による石造建築。かつては川西町内に多数存在したが，現存するものは少ない。１階正面はアーチで外部空間を取り込んでいる。内部はタイルを多用した洋風のアプローチと，純和風の座敷からなる。,https://bunka.nii.ac.jp/heritage/43967/_101320/43967_101320111225010616699_300.jpg
101,00000377,米沢市上杉記念館子供室,よねざわしうえすぎきねんかんこどもしつ,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正14,1925,木造平屋建，銅板葺，建築面積130㎡,,06 － 0019,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,山形県,山形県米沢市丸の内1-3-60,,米沢市,,,37.90769000000000,140.10480000000000,上杉伯爵の旧宅を記念館としたもので，大広間棟など一連の建物は中條精一郎の設計，棟梁江部栄蔵の施工になる。子供室は，大広間・玄関棟の背面に接続して建つ平屋建の建物で，子供部屋２室・女中部屋２室等からなる。いずれも質の高い和風建物である。,https://bunka.nii.ac.jp/heritage/43967/_101367/43967_101367111225010645935_300.jpg
