台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000043,甲府法人会館（旧甲府商工会議所）,こうふほうじんかいかん（きゅうこうふしょうこうかいぎしょ）,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正15,1926,鉄筋コンクリート造3階建、建築面積519㎡,,19 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,山梨県,山梨県甲府市中央4-12-21,,社団法人甲府法人会,,,35.65711000000000,138.57180000000000,現存する山梨県最古の鉄筋コンクリート造のビルで，設計及び施工は内藤半次郎（内藤工業所）である。２階・３階を通した列柱の柱型をもつ外観の意匠に特徴がある一方，各種の機能を巧みに配した建築計画等に現代建築への萌芽がみられる。,https://bunka.nii.ac.jp/heritage/43967/_101033/43967_101033111225010315522_300.jpg
101,00000044,葡萄酒貯蔵庫（龍憲セラー）,ぶどうしゅちょぞうこ（りゅうけんせらー）,1棟,,登録有形文化財(建造物),産業2次,その他工作,,明治,明治32頃／大正14改造,1899頃／1925改造,半地下式、前室割石積庫内煉瓦積、建築面積57㎡,,19 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,山梨県,山梨県甲州市勝沼町下岩崎1856,,,,,35.65855000000000,138.72110000000000,ヨーロッパの貯蔵技術を導入してつくった我が国最初期の煉瓦造の半地下式葡萄酒貯蔵庫。建設に尽力した土屋龍憲の名をとって「龍憲セラー」の通称をもつ。明治の堅牢な煉瓦積みの技術を用いた建造物で，同様のものを建設することは困難である。,https://bunka.nii.ac.jp/heritage/43967/_101034/43967_101034111225010316088_300.jpg
101,00000045,旧上九一色郵便局,きゅうかみくいしきゆうびんきょく,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治45,1912,木造2階建、瓦葺、建築面積119㎡,,19 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,山梨県,山梨県甲府市古関町3306,,,,,35.52986000000000,138.61480000000000,下見板張り，上げ下げ窓，軒下の飾り等に洋風の意匠を取り入れた建物で，地元の棟梁土橋ムラ吉が手がけたと伝える。地域で独自に洋風の意匠を導入した例は多いが，当建物はその特色をよく備えており，この地方では数少ない先駆的な事例として注目できる。,https://bunka.nii.ac.jp/heritage/43967/_101035/43967_101035111225010317657_300.jpg
101,00000131,勝沼堰堤,かつぬまえんてい,1基,,登録有形文化財(建造物),治山治水,土木構造物,,大正,大正6,1917,石積コンクリート目地止堰堤（延長38.5m），岩盤切削流路（延長45.5m）,,19 － 0005,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県甲州市勝沼町勝沼・勝沼町上岩崎～大和町初鹿野,,山梨県,,,35.65393000000000,138.74670000000000,祇園淵とよばれる川の蛇行点を堰堤で閉鎖し，その脇の岩盤を切削することによって岩盤自体を堰堤としている。建設当初の状態が良く保存されている点と，人工物でありながら自然を巧みに利用し，あたかも自然の滝のような景観を作り出している点に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101121/43967_101121111225010414146_300.jpg
101,00000132,祝橋,いわいばし,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和6,1931,コンクリートアーチ橋，延長58.6m，幅6.6m,,19 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県甲州市勝沼町勝沼～上岩崎,,甲州市,,,35.65888000000000,138.73150000000000,祝橋という名称を持つ橋としては３代目で，昭和６年に建設されたコンクリートアーチ橋である。橋脚を設置できない峡谷地形の上に建てられ，延長は58.6メートルである。その独特の形状から眼鏡橋の愛称をもち，勝沼町のシンボルとして広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101122/43967_101122111225010416796_300.jpg
101,00000133,旧田中銀行主屋,きゅうたなかぎんこうしゅおく,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治30代,1897-1906,木造2階建，瓦葺，建築面積63㎡,,19 － 0007,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,山梨県,山梨県甲州市勝沼町勝沼3130-1,,,,,35.66200000000000,138.72950000000000,明治30年代に郵便電信局社として，重要文化財の睦沢学校を建てた大工松本輝殷により建設されたと伝える。大正期に入って銀行の社屋として用いられた。正面に千鳥破風とベランダを持つ土蔵蔵で，明治期に各地域に建てられた疑洋風建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101123/43967_101123111225010417067_300.jpg
101,00000134,旧田中銀行土蔵,きゅうたなかぎんこうどぞう,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治30代以降,1897-1912,土蔵造平屋建，瓦葺，建築面積20㎡,,19 － 0008,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県甲州市勝沼町勝沼3130-1,,,,,35.66206000000000,138.72940000000000,主屋の裏に附属屋を介し接続し，蔵前の中庭空間を形作っている。土蔵ではあるが，外壁は煉瓦造を模している。小屋組はトラスで，ボルト，ナットの使用が見られる。土蔵造の蔵が多い勝沼の町並みにあって，煉瓦の外壁が異彩を放ち町の近代化を象徴している。,https://bunka.nii.ac.jp/heritage/43967/_101124/43967_101124111225010417574_300.jpg
101,00000207,塩山市中央区区民会館（旧千野学校校舎）,えんざんしちゅうおうくくみんかいかん（きゅうちのがっこうこうしゃ）,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治12,1879,木造2階建，瓦葺，建築面積129㎡,,19 － 0009,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県甲州市塩山上於曽1157,,塩山市,,,35.70692000000000,138.72900000000000,いわゆる藤村式の学校建築で、学校廃校後昭和２３年に現在地に移築され、警察署や図書館分館として使用された。寄棟造、２階建の正面に切妻造の玄関棟が附属する独特の外観は、改造があるが、校舎としての面影を残しており、多くの人々に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101197/43967_101197111225010459798_300.jpg
101,00000209,市川教会,いちかわきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治30,1897,木造平屋建，瓦葺，建築面積91㎡,,19 － 0011,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県西八代郡市川三郷町市川大門907,,日本キリスト教団市川教会,,,35.56280000000000,138.49980000000000,木造平屋建、桟瓦葺の簡素な建物で、天然石の高基礎上に建つ。内部は一室で、正面に半円形の祭壇を設け聖餐台を置く。袴越屋根及び切妻とする玄関妻壁の意匠が特徴的で、漆喰仕上げとする独特の外観は、「今昔通り」と呼ぶ道筋の中心的な存在である。,https://bunka.nii.ac.jp/heritage/43967/_101199/43967_101199111225010500299_300.jpg
101,00000238,平瀬浄水場旧濾過池整水井,ひらせじょうすいじょうきゅうろかちせいすいせい,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正2,1913,鉄筋コンクリート造，建築面積11㎡,,19 － 0012,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,山梨県,山梨県甲府市平瀬町437-3,,甲府市水道事業管理者,,,35.71192000000000,138.53540000000000,平瀬浄水場の創設とほぼ同時に建設された調整井上屋。内部に制水弁を持ち、濾過速度及び流水量を調節する。円形平面で、入口にはペディメントを持つフレームを配し、上部には「尽不流々混」の題字を記す。甲府市の生活近代化のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101228/43967_101228111225010521759_300.jpg
