台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000048,名和昆虫博物館,なわこんちゅうはくぶつかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正8,1919,煉瓦造2階建、瓦葺、建築面積183㎡,,21 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,岐阜県,岐阜県岐阜市千畳敷大道西308-1,,財団法人名和昆虫研究所,,,35.43316000000000,136.77310000000000,桟瓦葺切妻屋根の煉瓦造建築で，ギリシャ神殿風屋根妻を模した車寄せ玄関と，奈良唐招提寺の解体修理時にもらい受けた３本の丸柱が意匠上の特徴である。設計は当時名古屋高等工業学校の校長であった武田五一であり，彼の作風を示す建物の一つである。,https://bunka.nii.ac.jp/heritage/43967/_101038/43967_101038111225010319653_300.jpg
101,00000241,矢橋家住宅主屋,やばしけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保4,1833,木造2階建，瓦葺，建築面積284㎡,,21 － 0002,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39045000000000,136.58160000000000,中山道に北面する平入の大型町屋。２階の軒裏やうだつを黒漆喰塗りとし１・２階ともに千本格子をはめる等、正面外観は瀟洒な意匠になる。大規模ながら２階をつしとする点等に、江戸時代末期の地方都市における大型町屋の特徴がよく表れている。,https://bunka.nii.ac.jp/heritage/43967/_101231/43967_101231111225010523886_300.jpg
101,00000242,矢橋家住宅隠居（竹雪廬）,やばしけじゅうたくいんきょ（ちくせつろ）,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,文化2,1805,木造平屋建，瓦葺，建築面積78㎡,,21 － 0003,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39051000000000,136.58150000000000,中山道に北面する敷地の西端にあり、道路に面して建つ。平屋建てだが、屋根は２重にする。道路側に千本格子を入れ外観を町屋風にし、内部は細かく部屋を仕切る。屋敷内最古の建物で、各部に用いられている材料や仕上げ等は良質である。,https://bunka.nii.ac.jp/heritage/43967/_101232/43967_101232111225010525335_300.jpg
101,00000243,矢橋家住宅書院（紅於亭）,やばしけじゅうたくしょいん（こうおてい）,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,嘉永年間,1848-1854,木造平屋建，瓦葺，建築面積84㎡,,21 － 0004,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39040000000000,136.58150000000000,主屋の西に接続する二間続きの座敷。北東には表門に通じる式台玄関を設ける。平屋建てだが屋根は二重にする。玄関式台の黒漆喰に四半敷きの目地を付けた土間床、網代編みにした腰壁等に数寄屋造に通じる高い技能が用いられている。,https://bunka.nii.ac.jp/heritage/43967/_101233/43967_101233111225010525574_300.jpg
101,00000244,矢橋家住宅表門,やばしけじゅうたくおもてもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,江戸,嘉永年間,1848-1854,木造平屋建板塀付，瓦葺,,21 － 0005,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39054000000000,136.58150000000000,主屋と隠居の間にある中山道に面して設けられた門で、左右には塀が附属する。書院と同時期に建設されたと推定される。黒漆喰仕上げで腰に板を張る塀の意匠は、主屋と意匠の調和が図られており、大規模な屋敷構えの特徴をよく表す要素となっている。,https://bunka.nii.ac.jp/heritage/43967/_101234/43967_101234111225010526098_300.jpg
101,00000245,矢橋家住宅茶室,やばしけじゅうたくちゃしつ,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初頃,1868頃,木造平屋建，瓦葺，建築面積32㎡,,21 － 0006,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39030000000000,136.58150000000000,書院の南東に接続する。内部は茶室と水屋からなる。節のある細い柱を用い深い軒の出をつくる等、軽快で品の良い意匠でまとまられている。江戸時代以来続く大規模な屋敷の中には、瀟洒な茶室がしばしばつくられているが、この建物はその好例である。,https://bunka.nii.ac.jp/heritage/43967/_101235/43967_101235111225010526363_300.jpg
101,00000246,矢橋家住宅東蔵,やばしけじゅうたくひがしぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保年間,1830-1844,木造2階建，瓦葺，建築面積29㎡,,21 － 0007,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39009000000000,136.58160000000000,３棟の土蔵の内最も小規模なもので、主屋と同時期の建築と思われる。西側に出入口を設け、吹き放ちの庇を設けて蔵前とする。簓子下見板張りとし、けらばも板張りとなる外観が特徴で、屋敷構えの特徴をよく表す要素となっている。,https://bunka.nii.ac.jp/heritage/43967/_101236/43967_101236111225010526870_300.jpg
101,00000247,矢橋家住宅中蔵,やばしけじゅうたくなかぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保年間,1830-1844,木造2階建，瓦葺，建築面積52㎡,,21 － 0008,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39014000000000,136.58140000000000,他の土蔵と基本的に同様の意匠であるが、北側の主屋に面した側の妻面に出入口を設けている点が異なる。竣工は主屋・東蔵と同じく天保年間と思われる。２階の一部には扉が設けられ、重厚な外観の中でアクセントとなっている。,https://bunka.nii.ac.jp/heritage/43967/_101237/43967_101237111225010527323_300.jpg
101,00000248,矢橋家住宅西蔵,やばしけじゅうたくにしぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初頃,1868頃,木造2階建，瓦葺，建築面積61㎡,,21 － 0009,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,岐阜県,岐阜県大垣市赤坂町226,,,,,35.39012000000000,136.58130000000000,３棟の土蔵のうち、もっとも大規模なものである。東面には吹き放ちの庇を設け蔵前とする。漆喰塗大壁造の外壁をさらに簓子下見板張りとする点は他の蔵と同様であるが、出入口が２カ所設けられている事と、２階に漆喰塗扉が多く設けられている点が異なる。,https://bunka.nii.ac.jp/heritage/43967/_101238/43967_101238111225010528219_300.jpg
101,00000290,羽根谷砂防堰堤（第一堰堤）,はねだにさぼうえんてい（だいいちえんてい）,1基,,登録有形文化財(建造物),治山治水,土木構造物,,明治,明治21,1888,巨石空積堰堤，堤長52m，堤高12m,,21 － 0010,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,再現することが容易でないもの,,岐阜県,岐阜県海津市南濃町奥条地内,,国（国土交通省）,,,35.20926000000000,136.59090000000000,明治初期の空積石の砂防堰堤としては最大級のもの。堤高約12メートル，堤長約52メートルの堰堤が，巨石で築かれている。オランダ人土木技師ヨハネス・デ・レーケの指導によるといわれ，現在でも堤体に大きな狂いのないことは，当時の技術の高さを示している。,https://bunka.nii.ac.jp/heritage/43967/_101280/43967_101280111225010551763_300.jpg
