台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000089,楠戸家住宅米蔵,くすどけじゅうたくこめぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治中期,1868-1911,土蔵造2階建、瓦葺、建築面積96㎡,,33 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,岡山県,岡山県倉敷市東町1-20,,楠戸合名会社,,,34.59751000000000,133.77570000000000,屋敷地の背後に建つ米蔵は，２階建，本瓦葺，大壁造の長大な建物で，腰廻りや水切りの小庇等は海鼠壁とする重厚な意匠からなる。基礎は一段高い切石積みとなる。東妻側は背後への通路を兼ねる。他の蔵とも，明治期の屋敷地の構成を知る上で重要な建物である。,https://bunka.nii.ac.jp/heritage/43967/_101079/43967_101079111225010340516_300.jpg
101,00000090,楠戸家住宅炭倉,くすどけじゅうたくすみぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治中期,1868-1911,土蔵造2階建、瓦葺、建築面積19㎡,,33 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,岡山県,岡山県倉敷市東町1-20,,楠戸合名会社,,,34.59746000000000,133.77560000000000,米蔵の脇にある大壁造の小規模な蔵で，切妻造，２階建，本瓦葺になる。切石の延べ石上に建ち，１・２階の腰壁を海鼠壁とするなど倉敷の蔵の基本的な形式をよく保っている。奥座敷㎡米蔵とともに奥庭を区画する配置となっている。,https://bunka.nii.ac.jp/heritage/43967/_101080/43967_101080111225010341003_300.jpg
101,00000091,楠戸家住宅道具蔵,くすどけじゅうたくどうぐぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治中期,1868-1911,土蔵造2階建、瓦葺、建築面積18㎡,,33 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,岡山県,岡山県倉敷市東町1-20,,楠戸合名会社,,,34.59740000000000,133.77560000000000,"主屋の奥座敷部分に接続する道具蔵は,炭蔵とほぼ同規模になるが,基底部は切石３段積みとなって，外壁も海鼠壁とする面積が広くなっている。他の蔵より一層重厚になる外観は，中庭の緑によく調和し落ち着いた屋敷構えを構成している。",https://bunka.nii.ac.jp/heritage/43967/_101081/43967_101081111225010341491_300.jpg
101,00000092,楠戸家住宅塀,くすどけじゅうたくへい,1棟,,登録有形文化財(建造物),住宅,その他工作,,明治,明治中期,1868-1911,木造、瓦葺、延長43m,,33 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,岡山県,岡山県倉敷市東町1-20,,楠戸合名会社,,,34.59721000000000,133.77560000000000,屋敷地の西側を画する屋根付きの板塀で，表通りの３間分は板張りとするが，敷地境の塀は腰下を切石積とし，上部をモルタル塗の新壁造とする。倉敷の明治期の上層町家の屋敷構えを構成する要素として重要である。,https://bunka.nii.ac.jp/heritage/43967/_101082/43967_101082111225010342089_300.jpg
101,00000160,城東むかし町屋（旧梶村家住宅）主屋,じょうとうむかしまちや（きゅうかじむらけじゅうたく）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期,1830-1867,木造2階建，瓦葺，建築面積211㎡,,33 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,再現することが容易でないもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06322000000000,134.01690000000000,城東地区には，城下町津山を代表する商家の町並みが残っている。旧梶村家主屋は，間口８間半，奥行７間と大規模な町家で，居室部は３列系と推定される。江戸末期の建築と推定されるが，内部は大正時代に大改造された。全体的に質が高く風格ある建物である。,https://bunka.nii.ac.jp/heritage/43967/_101150/43967_101150111225010432060_300.jpg
101,00000161,城東むかし町屋（旧梶村家住宅）付属屋,じょうとうむかしまちや（きゅうかじむらけじゅうたく）ふぞくや,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期,1868-1911,木造平屋建，瓦葺，建築面積25㎡,,33 － 0007,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,再現することが容易でないもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06333000000000,134.01690000000000,主屋の背後に接続する便所等の便益施設で，隣家との敷地境に沿って縦長に主屋から突き出す形で一体的に造られる。簡素な構えになるが，幕末から明治にかけての町家の居住空間を知る上でも意味深い付属建物である。,https://bunka.nii.ac.jp/heritage/43967/_101151/43967_101151111225010432314_300.jpg
101,00000162,城東むかし町屋（旧梶村家住宅）座敷,じょうとうむかしまちや（きゅうかじむらけじゅうたく）ざしき,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正時代,1912-1925,木造2階建，瓦葺，建築面積174㎡,,33 － 0008,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06328000000000,134.01670000000000,敷地のほぼ中央部に，主屋の背後に接続して建つ二階建の大型の離れで，前後に一間幅の廊下が付く。屋根は入母屋造とし，背面を除く三方に庇が付く。良質の材料を用いた丁寧な仕上となる建物で，大正時代の洗練された技術や技法を知ることができる。,https://bunka.nii.ac.jp/heritage/43967/_101152/43967_101152111225010432566_300.jpg
101,00000163,城東むかし町屋（旧梶村家住宅）洋館・裏座敷,じょうとうむかしまちや（きゅうかじむらけじゅうたく）ようかん・うらざしき,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正時代,1912-1925,木造2階（一部平屋）建，瓦葺，建築面積85㎡,,33 － 0009,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06340000000000,134.01670000000000,座敷の裏手に建つドイツ壁仕上げの洋風の建物で，大正時代に家屋の改修時に建築されたもので，内部は当時流行した和洋併用の構えをしており，時代の特徴を表す遺構である。簡素な佇まいながら造作技法の質術は高く見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101153/43967_101153111225010432820_300.jpg
101,00000164,城東むかし町屋（旧梶村家住宅）東蔵,じょうとうむかしまちや（きゅうかじむらけじゅうたく）ひがしぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正時代,1912-1925,木造2階建，瓦葺，建築面積33㎡,,33 － 0010,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06336000000000,134.01660000000000,敷地の背後に建つ伝統的な切妻造，桟瓦葺，大壁造の土蔵で，２棟ある蔵のうち東側にあることからその名が付く。漆喰仕上げの表面要所を海鼠壁とする外観は重厚で，軒廻りは３段に積み上げられた軒蛇腹で軒を飾る。大正期の土蔵造の技術の高さがうかがえる。,https://bunka.nii.ac.jp/heritage/43967/_101154/43967_101154111225010433079_300.jpg
101,00000165,城東むかし町屋（旧梶村家住宅）西蔵,じょうとうむかしまちや（きゅうかじむらけじゅうたく）にしぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和初期,1926-1988,木造2階建，瓦葺，建築面積25㎡,,33 － 0011,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,岡山県,岡山県津山市東新町40,,津山市,,,35.06334000000000,134.01660000000000,東蔵と並んで建つ土蔵で，外観の意匠は同様になる。東蔵に比べやや小振りであるが，棟高及び軒高を揃える一体的な造りになる。丁寧な造りになっており技術的にも見るべきものがある。他の建物とともに，大型商家の屋敷構えを知ることができる。,https://bunka.nii.ac.jp/heritage/43967/_101155/43967_101155111225010433342_300.jpg
