台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000010,旧東北砕石工場,きゅうとうほくさいせきこうじょう,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正13,1924,木造・鉄骨造平屋建、亜鉛メッキ鋼板葺、建築面積751㎡,,03 － 0011,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県一関市東山町松川字滝ノ沢平117-1他,,一関市,,,38.98039000000000,141.23920000000000,土壌改良剤としての石灰を製造するため，石灰岩の砕石を行う施設として建設された。トラス組の小屋組に片流れの屋根をかけた簡素な造りになるが，土壌改良等農業生産の向上に努めた宮沢賢治との関係があることでも知られる砕石工場の遺構である。,https://bunka.nii.ac.jp/heritage/43967/_101000/43967_101000111225010251035_300.jpg
101,00001214,米内浄水場緩速系着水井,よないじょうすいじょうかんそくけいちゃくすいせい,1基,,登録有形文化財(建造物),生活関連,土木構造物,,昭和前,昭和9,1934,鉄筋コンクリート造，面積17.１㎡,,03 － 0012,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74509000000000,141.20320000000000,昭和９年に配水を開始した盛岡市創設水道の基幹施設になる米内浄水場の東端に位置する。９．５ｍ×１．８ｍ、深さ約２ｍのＲＣ造池で、内部を３室に区画する。約１ｋｍ上流で取水され沈砂池を経て導水された水はこの池に着水し、量水の後、沈殿池に送られる。,https://bunka.nii.ac.jp/heritage/43967/_102204/43967_102204111225011608711_300.jpg
101,00001215,米内浄水場緩速沈殿池,よないじょうすいじょうかんそくちんでんち,1基,,登録有形文化財(建造物),生活関連,土木構造物,,昭和前,昭和9,1934,鉄筋コンクリート造，１号・２号沈殿池よりなる，面積1458㎡,,03 － 0013,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74546000000000,141.20290000000000,構内東方の一段高い造成地に着水井とともに築造され、着水井の北方に隣接して配置されている。５４ｍ×２７ｍ、有効水深３ｍのＲＣ造池で、中央に隔壁を設けて２池とする。各池は正方形平面で、側壁の内側に煉瓦を貼り、上部に笠石を置く。,https://bunka.nii.ac.jp/heritage/43967/_102205/43967_102205111225011608977_300.jpg
101,00001216,米内浄水場緩速ろ過池,よないじょうすいじょうかんそくろかち,1基,,登録有形文化財(建造物),生活関連,土木構造物,,昭和前,昭和9,1934,鉄筋コンクリート造，ろ過池面積3347㎡,,03 － 0014,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74522000000000,141.20250000000000,沈殿池の南に位置する。９０ｍ×３７ｍの矩形平面のＲＣ造池で、２つの隔壁により３池に等分し、１池を予備池とする。濾材として砂と砂利を敷き、側壁の内側は沈殿池と同様に煉瓦貼りとし、各池の南辺中央に調整室を設ける。,https://bunka.nii.ac.jp/heritage/43967/_102206/43967_102206111225011609237_300.jpg
101,00001217,米内浄水場１号ろ過池調整室,よないじょうすいじょういちごうろかちちょうせいしつ,1基,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造，建築面積10㎡,,03 － 0015,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74487000000000,141.20250000000000,東寄りの１号濾過池に対応するバルブ操作室上屋。正方形プランのＲＣ造モルタル塗の小建築であるが、土台回り、腰回り、開口部回り、コーナーストーン、軒の持送りなど要所に大谷石を用いて装飾効果を高めている点に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_102207/43967_102207111225011609750_300.jpg
101,00001218,米内浄水場２号ろ過池調整室,よないじょうすいじょうにごうろかちちょうせいしつ,1基,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造，建築面積10㎡,,03 － 0016,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74509000000000,141.20230000000000,濾過池の中央に位置する２号濾過池に対応するバルブ操作室上屋。１号濾過池調整室と同規模、同意匠、同仕様で、濾過池南辺の中央部に建つ。大谷石で縁取られた丸窓と小丸換気孔、半円ヴォールト屋根を重ねた濾過池側の立面は水辺に佇む小宮殿風の趣を呈する。,https://bunka.nii.ac.jp/heritage/43967/_102208/43967_102208111225011611246_300.jpg
101,00001219,米内浄水場３号ろ過池調整室,よないじょうすいじょうさんごうろかちちょうせいしつ,1基,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造，建築面積10㎡,,03 － 0017,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74531000000000,141.20210000000000,米内川に沿った構内敷地西辺寄りに位置する３号濾過池に対応するバルブ操作室上屋。１号・２号濾過池調整室と同規模、同意匠、同仕様の建屋で、ＪＲ山田線上米内駅に向き合う正門を入って右手に拡がる浄水場景観のアイストップ的な役割を果たしている。,https://bunka.nii.ac.jp/heritage/43967/_102209/43967_102209111225011611772_300.jpg
101,00001220,米内浄水場出水井,よないじょうすいじょうしゅっすいせい,1基,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造，建築面積15㎡,,03 － 0018,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74456000000000,141.20250000000000,正門を入って左手に建つ。八角形平面の建屋で、平屋建であるが、外観上は二層構成とし、上層に濾過池調整室と同系統意匠の丸窓を配する。大谷石は、出隅部のバットレスとバンドコースに用いて、調整室とは変化をもたせている。,https://bunka.nii.ac.jp/heritage/43967/_102210/43967_102210111225011612287_300.jpg
101,00001221,米内浄水場水道記念館,よないじょうすいじょうすいどうきねんかん,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和9,1934,木造平屋建，瓦葺，建築面積157㎡,,03 － 0019,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,国土の歴史的景観に寄与しているもの,,岩手県,岩手県盛岡市上米内字仲居49,,盛岡市水道事業管理者,,,39.74454000000000,141.20210000000000,敷地南東寄り、沈殿池・濾過池など構内を見渡せる位置に建つ。創設時の管理事務所で、正面左右に翼屋を張出す凹字型プランをとる。木造平屋建、瓦葺寄棟屋根の正面中央にドーマー窓を載せる。スクラッチタイルの使用に時代的な特徴が認められる。,https://bunka.nii.ac.jp/heritage/43967/_102211/43967_102211111225011612551_300.jpg
101,00001222,北上市立博物館付属民俗資料館（旧黒沢尻実科高等女学校校舎）,きたかみしりつはくぶつかんふぞくみんぞくしりょうかん（きゅうくろさわじりじつかこうとうじょがっこうこうしゃ）,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和2／昭和52移築,1927／1977移築,木造２階建，スレート葺，建築面積456㎡,,03 － 0020,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,岩手県,岩手県北上市立花14地割52,,北上市,,,39.26971000000000,141.12970000000000,木造２階建、切妻屋根の学校建築。外装の基調は白色下見板貼で、階上階下の腰を竪羽目とし、階上中央部を黒色ドイツ壁とする。昭和期の竣工であるが、端部妻のハンマービーム風の収まり、開口部のペジメントなどに明治建築の面影を色濃く残す。,https://bunka.nii.ac.jp/heritage/43967/_102212/43967_102212111225011612816_300.jpg
