台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000093,旧マルヤマ商店事務所,きゅうまるやましょうてんじむしょ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正11,1922,木造2階建、建築面積90㎡,,34 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,広島県,広島県福山市松永町364-1,,福山市,市区町村,,34.45065000000000,133.26100000000000,設計が長谷川建築事務所，施工が横山善吉と伝える事務所建築。装飾のあるパラペット，頭部に飾りがある１・２階を通した柱型，玄関ポーチ等に本格的な洋風の意匠がみられる。大正期に地域の技術者によって建てられた本格的洋風建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101083/43967_101083922955354611301_300.jpg
101,00000094,阿多田島灯台資料館（旧安芸白石挂燈立標施設）吏員退息所,あたたじまとうだいしりょうかん（きゅうあきしらいしけいとうりつびょうしせつ）りいんたいそくじょ,1棟,,登録有形文化財(建造物),交通,建築物,,明治,明治36,1903,煉瓦造平屋建、瓦葺、建築面積91㎡,,34 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,広島県,広島県大竹市阿多田島田ノ浦449,,大竹市,,,34.18748000000000,132.31600000000000,煉瓦造で外壁にモルタルを塗った航路標識施設の附属屋で，アーチ形の入口や窓の鎧戸等に洋風の意匠を取り入れられている。我が国の近代の海上交通の発展に貢献した阿多田島の役割を理解する上で欠くことのできない施設である。,https://bunka.nii.ac.jp/heritage/43967/_101084/43967_101084111225010344055_300.jpg
101,00000095,阿多田島灯台資料館（旧安芸白石挂燈立標施設）物置,あたたじまとうだいしりょうかん（きゅうあきしらいしけいとうりつびょうしせつ）ものおき,1棟,,登録有形文化財(建造物),交通,建築物,,明治,明治36,1903,煉瓦造平屋建、瓦葺、建築面積42㎡,,34 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,広島県,広島県大竹市阿多田島田ノ浦449,,大竹市,,,34.18756000000000,132.31580000000000,煉瓦造で外壁にモルタルを塗った航路標識施設の附属屋で，物置や浴室として使用された。隣接する旧吏員退息所とともに我が国の近代の海上交通の発展に貢献した阿多田島の役割を理解する上で欠くことのできない施設である。,https://bunka.nii.ac.jp/heritage/43967/_101085/43967_101085111225010344539_300.jpg
101,00000096,阿多田島灯台資料館（旧安芸白石挂燈立標施設）油庫,あたたじまとうだいしりょうかん（きゅうあきしらいしけいとうりつびょうしせつ）ゆこ,1棟,,登録有形文化財(建造物),交通,建築物,,明治,明治36,1903,煉瓦造平屋建、スレート葺、建築面積14㎡,,34 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,広島県,広島県大竹市阿多田島田ノ浦449,,大竹市,,,34.18709000000000,132.31560000000000,洋風の意匠を持つ煉瓦造の附属屋で，燈火用の油庫として使用された。島では数少ない煉瓦を外観にあらわした建物であり，我が国の航路標識施設の整備が大きく進展した時代に建設された煉瓦造の附属施設の様子を知ることができる好例である。,https://bunka.nii.ac.jp/heritage/43967/_101086/43967_101086111225010344793_300.jpg
101,00000097,厳島神社宝物館,いつくしまじんじゃほうもつかん,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造平屋建、銅板葺、建築面積570㎡,,34 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,広島県,広島県廿日市市宮島町118,,宗教法人厳島神社,,,34.29477000000000,132.31860000000000,鉄骨鉄筋コンクリート造で，大江新太郎の設計で清水組の施工と伝える。近代的な平面をもちながら伝統的な木造建築の形態や意匠を持つ建物を，近代的な材料で造っている点に特徴がある。当時の大江新太郎の作風をよく示した建物のひとつである。,https://bunka.nii.ac.jp/heritage/43967/_101087/43967_101087111225010345074_300.jpg
101,00000170,呉市入船山記念館休憩所（旧東郷家住宅離れ）,くれしいりふねやまきねんかんきゅうけいじょ（きゅうとうごうけじゅうたくはなれ）,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期,1868-1911,木造平屋建，瓦葺，建築面積37㎡,,34 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,広島県,広島県呉市幸町4-6,,呉市,,,34.23950000000000,132.56420000000000,元は呉市宮原通りの正円寺前にあった邸宅の離れであり，一時期東郷平八郎が居を定めていた。その後移築され，空家となって荒廃していたが，昭和55年に市によって再度移築された。8畳と6畳の二間に廊下が付く構成で，海軍ゆかりの施設として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101160/43967_101160111225010436568_300.jpg
101,00000171,三次市歴史民俗資料館（旧三次銀行）,みよししれきしみんぞくしりょうかん（きゅうみよしぎんこう）,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和2,1927,鉄筋コンクリート造2階建，建築面積190㎡,,34 － 0007,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,広島県,広島県三次市三次町1236,,三次市,,,34.81099000000000,132.84790000000000,当初銀行の社屋として建てられ、現在では公有化され資料館として利用されている。入口正面のカウンター奥に窓口事務室が広がり、２階部分をバルコニーの付いた吹き抜けとしている。簡素ではあるが柱頭飾りなどのアクセントのある外観で親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101161/43967_101161111225010437077_300.jpg
101,00000264,福山市福寿会館,ふくやましふくじゅかいかん,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10～12頃,1935-1937頃,木造2階建，瓦葺，建築面積138㎡,,34 － 0008,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,広島県,広島県福山市丸之内1-1-1,,福山市,,,34.49190000000000,133.36150000000000,個人の別荘として建てられた木造，２階建ての洋館。屋根を急勾配とし外壁をモルタル塗りとした，立ちの高い外観に，昭和初期の洋風の住宅建築の特徴がよくあらわれている。庭に面した側の妻にある中央部の浮き彫り装飾や窓上部のアーチ形装飾が美しい。,https://bunka.nii.ac.jp/heritage/43967/_101254/43967_101254111225010539708_300.jpg
101,00000265,吉原家住宅表長屋門,よしはらけじゅうたくおもてながやもん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治18,1885,木造平屋建，瓦葺，建築面積114㎡,,34 － 0009,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,広島県,広島県尾道市向島町3854,,,,,34.38756000000000,133.20720000000000,広大な屋敷構えをもつ農家の長屋門形式の表門。明治期の建築であるが，文政８年(1825)の家相図により，その時にあった門の規模・形式を継承したものと推定される。向島では類例が少ない長大な規模をもつ表門で，普請関係の記録も残る。,https://bunka.nii.ac.jp/heritage/43967/_101255/43967_101255111225010540210_300.jpg
101,00000312,いろは丸展示館,いろはまるてんじかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸時代末期,1830-1867,木造2階建，瓦葺，建築面積211㎡,,34 － 0010,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,広島県,広島県福山市鞆町鞆843-1、843-6,,,,,34.38266000000000,133.38070000000000,鞆の船着場の正面に妻を見せて建つ２階建の土蔵。妻の中央と両脇をなまこ壁とし，腰に下見板を張り，窓の上に小庇を付ける等，正面の意匠はよく整っている。港に面したひときわ目立つ土蔵で，往事繁栄した鞆の様子を知ることができる建物である。,https://bunka.nii.ac.jp/heritage/43967/_101302/43967_101302386865241137571_300.jpg
