台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000172,徳島市水道局佐古配水場ポンプ場,とくしましすいどうきょくさこはいすいじょうぽんぷじょう,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正15,1926,鉄筋コンクリート造平屋建，瓦葺，建築面積272㎡,,36 － 0001,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県徳島市南佐古6-3-11,,徳島市水道局,,,34.07408000000000,134.52800000000000,煉瓦造のポンプ場で，イギリス積みの煉瓦壁で四周を囲む。内部は一室で漆喰仕上げとし，小屋組は軽量鉄骨のトラス組である。外観は簡素であるが，入り口部分のうち特にペディメント風の飾りは特異である。「佐古の浄水場」として広く市民に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101162/43967_101162111225010437630_300.jpg
101,00000271,高原ビル,たかはらびる,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造3階建，建築面積87㎡,,36 － 0007,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,徳島県,徳島県徳島市東船場町1-13,,株式会社国際,,,34.07031000000000,134.54880000000000,通りに面して建つＲＣ造のビル。一部を塔屋風に３階建てとし，他は２階建てとする。スクラッチタイルの外壁，パラペットの装飾，塔屋風の部分の窓廻りの装飾等に特徴がある。昭和初期の都市部における洋風の意匠を持つ小規模なビルの好例である。,https://bunka.nii.ac.jp/heritage/43967/_101261/43967_101261111225010540513_300.jpg
101,00000905,徳島市水道局佐古配水場源水井,とくしましすいどうきょくさこはいすいじょうげんすいせい,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正15,1926,鉄筋コンクリート造上屋，内部源水井附属，建築面積21㎡,,36 － 0008,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県徳島市南佐古6-3-11,,徳島市水道局,,,34.07449000000000,134.52750000000000,鉄筋コンクリート造の箱形の井に上屋をかけた形式。上屋は方形平面で，外壁に煉瓦を用いて，パラペットや窓廻り等の要所に花崗岩を配す，ポンプ場と同様の意匠になる。市民生活の近代化の様子を物語る貴重な建物のひとつである。,https://bunka.nii.ac.jp/heritage/43967/_101895/43967_101895111225011301017_300.jpg
101,00000906,徳島市水道局佐古配水場集合井,とくしましすいどうきょくさこはいすいじょうしゅうごうせい,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正15,1926,鉄筋コンクリート造上屋，内部集合井附属，高さ5.1m,,36 － 0009,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県徳島市南佐古6-3-11,,徳島市水道局,,,34.07411000000000,134.52790000000000,鉄筋コンクリート造の井の側壁上縁に上屋をかけた形になる。上屋は，ポンプ場，源水井上屋と構造・意匠は類似するが，平面を円形とする点や入口上部の浮き彫り装飾，壁面の柱型，窓上部の枠石等の意匠に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101896/43967_101896111225011302549_300.jpg
101,00000907,青木家住宅主屋,あおきけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正4,1915,木造2階建，瓦葺，建築面積149㎡,,36 － 0010,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,造形の規範となっているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04633000000000,134.00480000000000,もと藍の生産を行った農家で，近代に入り建設業を営み栄えた。主屋は広大な屋敷地のほぼ中央に建つ。入母屋造の大屋根の四方に庇を付けた堂々とした外観や，鼠漆喰仕上げの壁，２階窓の意匠等に特徴がある。近代の農村部における住宅建築の変容を示す好例。,https://bunka.nii.ac.jp/heritage/43967/_101897/43967_101897111225011303700_300.jpg
101,00000908,青木家住宅土蔵（１）,あおきけじゅうたくどぞう（いち）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正4,1915,土蔵造２階建，瓦葺，建築面積30㎡,,36 － 0011,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04644000000000,134.00450000000000,藍の生産に使用した蔵で，主屋の北西，道路に面して土蔵(２)に接続して建つ。比較的にせいの低い２階建の蔵で，北面と東面を漆喰で塗り込め，南面は真壁とする。北面は腰から下をなまこ壁とし，道路側の意匠を整え，屋敷構えの主要な構成要素となっている。,https://bunka.nii.ac.jp/heritage/43967/_101898/43967_101898111225011304208_300.jpg
101,00000909,青木家住宅土蔵（２）,あおきけじゅうたくどぞう（に）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正4,1915,土蔵造２階建，瓦葺，建築面積50㎡,,36 － 0012,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04640000000000,134.00430000000000,藍の生産に使用した蔵で，屋敷地の北西隅に建つ。Ｌ字形の平面を持ち，外観上は南北棟の蔵の北端東側に東西棟の蔵が取り付いた形になる。北側と西側では腰になまこ壁を貼り，道路側の意匠を土蔵(１)とあわせている。,https://bunka.nii.ac.jp/heritage/43967/_101899/43967_101899111225011304725_300.jpg
101,00000910,青木家住宅倉庫,あおきけじゅうたくそうこ,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正4,1915,木造２階建，瓦葺，建築面積104㎡,,36 － 0013,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04627000000000,134.00430000000000,主屋の西方，土蔵(２)の南に接続して建つ使用人の住まいを兼ねた倉庫。高さを低く押さえた長大な建物で，屋敷地の西側を区切る役割を果たしている。西面と南面は下見板貼り，東面は真壁で，土蔵と意匠をかえ，屋敷構えの景観に変化をもたせている。,https://bunka.nii.ac.jp/heritage/43967/_101900/43967_101900111225011306196_300.jpg
101,00000911,青木家住宅納屋,あおきけじゅうたくなや,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正4,1915,木造平屋建，瓦葺，建築面積40㎡,,36 － 0014,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04627000000000,134.00450000000000,主屋と倉庫の間に建つ切妻造，桟瓦葺，平屋建の建物。左右を土間の納屋，中央を便所とする。小規模で横長の簡素な建物だが，壁を鼠漆喰で仕上げ腰に板を貼ることによって主屋と意匠をあわせるなど，屋敷構えの景観によく溶け込んでいる。,https://bunka.nii.ac.jp/heritage/43967/_101901/43967_101901111225011306717_300.jpg
101,00000912,青木家住宅門,あおきけじゅうたくもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,大正,大正4,1915,木造四脚門，瓦葺,,36 － 0015,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,徳島県,徳島県美馬市美馬町字宮前225,,美馬市,,,34.04651000000000,134.00480000000000,主屋の北方，道路に面して建つ四脚門。左右に塀が取り付く。本来は庭を通って主屋の座敷へと通じる裏側の門にあたるが，塀よりわずかに庭側に下がった所に位置し，道路側の屋根だけを本瓦で葺く（庭側は桟瓦）など意匠に工夫をこらして屋敷構えを整えている。,https://bunka.nii.ac.jp/heritage/43967/_101902/43967_101902111225011306981_300.jpg
