台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000104,宇和島市立歴史資料館（旧宇和島警察署）,うわじましりつれきししりょうかん（きゅううわじまけいさつしょ）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治17,1884,木造2階建、瓦葺、建築面積214㎡,,38 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,愛媛県,愛媛県宇和島市住吉町２-４-36,,宇和島市,,,33.22645000000000,132.55460000000000,市内広小路に警察署として建設されたもので，棟梁稲垣弥吉が工事にあたった。１・２階を通したペディメントを持つ玄関ポーチ，上下窓，軒蛇腹等を備え，本格的な洋風の意匠を持つ。当地方では先駆的な本格的洋風建築で，棟梁の技術技能の高さを伝えている。,https://bunka.nii.ac.jp/heritage/43967/_101094/43967_101094111225010353147_300.jpg
101,00000746,愛媛大学附属中学校講堂（旧旧制松山高等学校講堂）,えひめだいがくふぞくちゅうがっこうこうどう（きゅうきゅうせいまつやまこうとうがっこうこうどう）,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正11,1922,木造２階建，建築面積501㎡,,38 － 0002,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,愛媛県,愛媛県松山市持田町1-5-22,,国立大学法人愛媛大学,,,33.84227000000000,132.78210000000000,文部省営繕による直轄学校の講堂建築。文部技師の鳥海他郎の設計と推定される。２階にギャラリーを設けるなど設備面では定型的であるが，外見はドイツ下見により穏健なルネサンス風に仕上げ，トスカナ式オーダーの大きな車寄に特徴をもたせている。,https://bunka.nii.ac.jp/heritage/43967/_101736/43967_101736111225011116641_300.jpg
101,00001145,愛媛蚕種株式会社事務室・玄関,えひめさんしゅかぶしきがいしゃじむしつ・げんかん,1棟,,登録有形文化財(建造物),産業1次,建築物,,明治,明治後期,1868-1911,木造２階建，鉄板葺一部スレート葺，建築面積209㎡,,38 － 0004,17,1999.07.19(平成11.07.19),1999.06.07(平成11.06.07),,19990607,,国土の歴史的景観に寄与しているもの,,愛媛県,愛媛県八幡浜市保内町川之石3-70,,愛媛蚕種株式会社,,,33.47726000000000,132.39490000000000,町内の呉服商兵頭寅一郎が開始した蚕種製造「日進館」の事務所建築。南北に長い敷地の南東に位置し、南東端隅切部に玄関を設け、北方に蚕室棟を接続させる。木造モルタル塗の洋館で、階下の窓上に三角ペジメントをつけ、玄関上部に浅いポーチを張りだす。,https://bunka.nii.ac.jp/heritage/43967/_102135/43967_102135111225011517265_300.jpg
101,00001146,愛媛蚕種株式会社第１蚕室,えひめさんしゅかぶしきがいしゃだいいちさんしつ,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正8,1919,木造３階建，瓦葺，建築面積210㎡,,38 － 0005,17,1999.07.19(平成11.07.19),1999.06.07(平成11.06.07),,19990607,,国土の歴史的景観に寄与しているもの,,愛媛県,愛媛県八幡浜市保内町川之石3-70,,愛媛蚕種株式会社,,,33.47741000000000,132.39490000000000,事務室・玄関棟の北方に延びる木造３階建、南北棟の蚕室棟。小屋組はがっしりしたキングポストトラスによる。各階共西側に廊下をとり、街路沿いの東面には板戸を全長に亘って建て込み、その上部桁下までをガラス窓とする特徴的な外観を呈する。,https://bunka.nii.ac.jp/heritage/43967/_102136/43967_102136111225011517776_300.jpg
101,00001147,愛媛蚕種株式会社第２蚕室,えひめさんしゅかぶしきがいしゃだいにさんしつ,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正8,1919,木造２階建，瓦葺，建築面積210㎡,,38 － 0006,17,1999.07.19(平成11.07.19),1999.06.07(平成11.06.07),,19990607,,国土の歴史的景観に寄与しているもの,,愛媛県,愛媛県八幡浜市保内町川之石3-70,,愛媛蚕種株式会社,,,33.47752000000000,132.39470000000000,第１蚕室の北方に続く蚕室棟。第１蚕室より１階分高い地盤に建つことから２階建となる。第１蚕室とは煉瓦造防火壁を建ち上げて境とし、第１蚕室とともに東側坂道沿いに独特の景観をつくる。地域の産業発展の過程を示すものとしても貴重である。,https://bunka.nii.ac.jp/heritage/43967/_102137/43967_102137111225011518280_300.jpg
101,00001758,一柳陣屋門,ひとつやなぎじんやもん,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸初期,1615-1867,木造2階建、瓦葺、建築面積34㎡,,38 － 0007,25,2000.10.11(平成12.10.11),2000.09.26(平成12.09.26),,20000926,,再現することが容易でないもの,,愛媛県,愛媛県四国中央市川之江町2527,,川之江八幡神社,,,34.01766000000000,133.57600000000000,寛永年間に川之江を治めた一柳直家が建設した陣屋の表門と伝え，直家没後に天領となり，川之江八幡神社に移されたと考えられる。入母屋造，総２階建で，１階左を門構え，右を詰所とし，２階は２室にわける。地方の小藩における陣屋建築の一端を示す遺構。,https://bunka.nii.ac.jp/heritage/43967/_102748/43967_102748111225012146384_300.jpg
101,00001759,長浜町庁舎,ながはまちょうちょうしゃ,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和11,1936,木造2階建、瓦葺、建築面積382㎡,,38 － 0008,25,2000.10.11(平成12.10.11),2000.09.26(平成12.09.26),,20000926,,造形の規範となっているもの,,愛媛県,愛媛県大洲市長浜甲480-3,,大洲市,,,33.61384000000000,132.47950000000000,伊予灘に注ぐ肱川の河口に位置する長浜の市街地に建つ。木造総２階建，入母屋造・桟瓦葺で，正面の中央玄関の上部に切妻破風を設け，２階の丸柱で支えられた半円形のモチーフを飾る。外壁の腰部を御影石を貼るなど，昭和初期の洋風庁舎建築の一事例。,https://bunka.nii.ac.jp/heritage/43967/_102749/43967_102749111225012146645_300.jpg
101,00001760,小藪温泉本館,おやぶおんせんほんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正2,1913,木造3階建、瓦葺、建築面積181㎡,,38 － 0009,25,2000.10.11(平成12.10.11),2000.09.26(平成12.09.26),,20000926,,国土の歴史的景観に寄与しているもの,,愛媛県,愛媛県大洲市肱川町宇和川,,,,,33.45316000000000,132.66850000000000,伊予灘に注ぐ肱川上流部の支流，小藪川に面して建つ明治９年創業の温泉旅館。木造総３階建，入母屋造・桟瓦葺で，各階とも出桁庇を付ける。１階は食堂，客室は２階３室，３階６室である。全体にたちの高い和風建築で，湯治場の象徴的な存在となっている。,https://bunka.nii.ac.jp/heritage/43967/_102750/43967_102750111225012147010_300.jpg
101,00002179,石崎汽船本社,いしざききせんほんしゃ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,鉄筋コンクリート造2階建、建築面積128㎡,,38 － 0010,28,2001.05.15(平成13.05.15),2001.04.24(平成13.04.24),,20010424,,造形の規範となっているもの,,愛媛県,愛媛県松山市三津1-4-9,,石崎汽船株式会社,,,33.86522000000000,132.71140000000000,三津港波止場入口に立地する鉄筋コンクリート造２階建，陸屋根造の事務所建築で，設計は松山に縁の深い木子七郎。正面は左右対称形で，中央部を薄く張出して柱型の間に橙色，両側に白色タイルを張る。瀬戸内海海運で栄えた三津浜を象徴する建造物。,https://bunka.nii.ac.jp/heritage/43967/_103169/43967_103169111225012628388_300.jpg
101,00002180,住友化学工業愛媛工場歴史資料館,すみともかがくこうぎょうえひめこうじょうれきししりょうかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治34,1901,木造平屋建、瓦葺、建築面積251㎡,,38 － 0011,28,2001.05.15(平成13.05.15),2001.04.24(平成13.04.24),,20010424,,造形の規範となっているもの,,愛媛県,愛媛県新居浜市惣開町5-1,,住友化学工業株式会社,,,33.96112000000000,133.26160000000000,住友銀行新居浜支店として建設。港近くに位置する。野口孫市率いる住友臨時建築部の最初期の作品で，軒回りの密度の高いディテールと，陸アーチと水平目地，胴蛇腹とによる端正なファサード構成に初期住友営繕の作風の一端がうかがわれる。,https://bunka.nii.ac.jp/heritage/43967/_103170/43967_103170111225012629743_300.jpg
