台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000050,八丁味噌本社事務所,はっちょうみそほんしゃじむしょ,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和2,1927,木造2階建、トタン葺、建築面積339㎡,,23 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,愛知県,愛知県岡崎市八帖町字往還通69,,合資会社八丁味噌,,,34.95786000000000,137.15300000000000,「カクキュウ」の商号で知られる八丁味噌製造業者の本社社屋。南北の２つの棟が中庭と土間をはさんで接続している。教会堂風の構成と，白い柱型と壁面の下見板の濃茶色とを対照させた意匠が特徴的である。内部は洋風の意匠でまとめられている。,https://bunka.nii.ac.jp/heritage/43967/_101040/43967_101040111225010321874_300.jpg
101,00000051,八丁味噌本社蔵（史料館）,はっちょうみそほんしゃくら（しりょうかん）,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治40,1907,木造2階建、瓦葺、建築面積463㎡,,23 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,愛知県,愛知県岡崎市八帖町字往還通69,,合資会社八丁味噌,,,34.95781000000000,137.15250000000000,「カクキュウ」の商号で知られる大規模な総２階の土蔵建築で，昭和16年まで味噌仕込み用の蔵として使用されていた。石垣の基壇上に黒塗りの下見板貼りとし，２層目は白漆喰塗りである。壁面に開けられた格子窓が連続するさまが特徴的である。,https://bunka.nii.ac.jp/heritage/43967/_101041/43967_101041111225010322613_300.jpg
101,00000212,徳川美術館本館,とくがわびじゅつかんほんかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和10,1935,鉄骨鉄筋コンクリート造地上1階地下1階建，瓦葺，建築面積506㎡,,23 － 0003,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,愛知県,愛知県名古屋市東区徳川町1017,,財団法人徳川黎明会,,,35.18353000000000,136.93320000000000,設計競技の１等案をもとに吉本与志雄が実施設計を行った。施工は竹中工務店。外観の意匠は城壁を思わす外壁を巡らし、屋根は緑色釉薬瓦葺とし鯱を置く。全体としていわゆる帝冠様式のデザインをもつ建物で、尾張徳川家の所蔵品を展示する。,https://bunka.nii.ac.jp/heritage/43967/_101202/43967_101202160222161835158_300.jpg
101,00000213,徳川美術館南収蔵庫,とくがわびじゅつかんみなみしゅうぞうこ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和10,1935,鉄筋コンクリート造2階建，瓦葺，建築面積250㎡,,23 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,愛知県,愛知県名古屋市東区徳川町1017,,財団法人徳川黎明会,,,35.18354000000000,136.93350000000000,本館とともに吉本与志雄が実施設計を行った。施工は竹中工務店。本館の西側に位置する中規模の鉄筋コンクリート造階建の収蔵庫。切妻造、本瓦葺で、開口部がほとんど無い大壁造風の建物である。本館に接続しともに重厚な外観を構成している。,https://bunka.nii.ac.jp/heritage/43967/_101203/43967_101203111225010504834_300.jpg
101,00000214,乃木倉庫,のぎそうこ,1棟,,登録有形文化財(建造物),その他,建築物,,明治,明治初期,1868-1911,煉瓦造平屋建，瓦葺，建築面積91㎡,,23 － 0005,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,再現することが容易でないもの,,愛知県,愛知県名古屋市中区本丸1,,名古屋市,,,35.18618000000000,136.89740000000000,乃木将軍が命じ５年頃に名古屋に赴任したことにちなんで名付けられたと伝える名古屋城御深井丸に位置する旧陸軍の火薬庫。煉瓦造、平屋建で、屋根を切妻造、桟瓦葺とする。角を石積み風に造り出す等の高度な技術に見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101204/43967_101204111225010505090_300.jpg
101,00000215,窯のある広場・資料館（倒焔式角窯）,かまのあるひろば・しりょうかん（とうえんしきかくがま）,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正10,1921,木造2階建，瓦葺，建築面積373㎡,,23 － 0006,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,愛知県,愛知県常滑市奥栄町1-115,,株式会社ＩＮＡＸ,,,34.88194000000000,136.84860000000000,煉瓦造の倒焔式角窯を含む、木造２階建の上屋である。昭和46年まで土管、焼酎瓶、クリンカタイル等を製造していたが、その後資料館として整備された。独特のテクスチャーを持つ角窯と、黒い外壁の上屋で、焼物の町常滑のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101205/43967_101205111225010505596_300.jpg
101,00000216,窯のある広場・資料館煙突,かまのあるひろば・しりょうかんえんとつ,1基,,登録有形文化財(建造物),産業2次,その他工作,,大正,大正10,1921,煉瓦造，高さ21m,,23 － 0007,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,愛知県,愛知県常滑市奥栄町1-115,,株式会社ＩＮＡＸ,,,34.88186000000000,136.84850000000000,土管焼成用の窯に付属する煉瓦造の煙突である。根本の部分は2.2メートル四方であり、上部に向かってやや逓減する。かつては常滑市内に同様の煙突が数多くあったが、現在ではその多くが失われており、常滑市のランドマークの一つとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101206/43967_101206111225010507131_300.jpg
101,00000434,愛知学院大学楠元学舎第１号館,あいちがくいんだいがくくすもとがくしゃだいいちごうかん,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和3,1928,鉄筋コンクリート造2階建，建築面積805㎡,,23 － 0008,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,造形の規範となっているもの,,愛知県,愛知県名古屋市千種区楠元町1-1,,学校法人愛知学院,,,35.16702000000000,136.96140000000000,旧制愛知中学本館として建てられた。中央部は玄関ポーチを設け壁を立ち上げ正面性を強調し，左右に翼屋をのばす。スクラッチタイル貼りの外壁，１・２階を通した柱形，柱形頂部の庇状の装飾等に時代の特徴があらわれている。設計佐藤三郎，施工西村工務店。,https://bunka.nii.ac.jp/heritage/43967/_101424/43967_101424111225010723651_300.jpg
101,00000435,愛知大学旧本館（旧陸軍第15師団司令部庁舎）,あいちだいがくきゅうほんかん（きゅうくりぐんだいじゅうごしだんしれいぶちょうしゃ）,1棟,,登録有形文化財(建造物),その他,建築物,,明治,明治41,1908,木造2階建，瓦葺，建築面積1859㎡,,23 － 0009,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,造形の規範となっているもの,,愛知県,愛知県豊橋市町畑町1-1,,学校法人愛知大学,,,34.74009000000000,137.38640000000000,木造２階建で，両翼屋を背後に突き出したコの字形平面をもつ。外壁に下見板を貼り，装飾をあまり用いない簡素なつくりで，縦長の上下窓を均等に配置するなど標準化の傾向がみられる。明治末期の陸軍による兵営建築の手法をよく示す建物である。,https://bunka.nii.ac.jp/heritage/43967/_101425/43967_101425111225010724152_300.jpg
101,00000686,旧黄柳橋,きゅうつげばし,1基,,登録有形文化財(建造物),交通,土木構造物,,大正,大正7,1918,鉄筋コンクリート造アーチ橋，橋長51.2m，幅員3.6m,,23 － 0012,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,愛知県,愛知県新城市乗本字上林・字川向,,愛知県,,,34.93133000000000,137.57730000000000,県内では最初期のＲＣ道路橋で，スパン３０ｍは，大正期における開腹アーチ橋としては最大スパンを誇る。道路荷重をアーチスラブに伝える垂直材をスレンダーなものとし，木井桁のように架構しているところが特徴。県技師の吉田仙之丞の設計と伝える。,https://bunka.nii.ac.jp/heritage/43967/_101676/43967_101676111225011026433_300.jpg
