台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000527,新津記念館,にいつきねんかん,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和13,1938,鉄筋コンクリート造３階建塔屋付，建築面積153㎡,,15 － 0001,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,造形の規範となっているもの,,新潟県,新潟県新潟市中央区旭町通1番町754-34,,公益財団法人新津記念館,,,37.91902000000000,139.03700000000000,新潟の石油王といわれる新津恒吉が自邸内に迎賓館として建設したもの。清水組の設計施工になる。鉄筋コンクリート造、タイル貼り、地下１階、地上３階建塔屋付で、市内中心部の高台に建ち、装飾的なコーニスと２本の煙突がランドマークになっている。,https://bunka.nii.ac.jp/heritage/43967/_101517/43967_101517151214162130837_300.jpg
101,00000657,水道タンク,すいどうたんく,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和2,1927,鉄筋コンクリート造，一部鉄製，高さ41.5m,,15 － 0002,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,新潟県,新潟県長岡市水道町3-11-1,,長岡市,,,37.45666000000000,138.84310000000000,創設長岡市水道のモニュメントで，長岡のランドマークとして親しまれている。配水塔で，塔体は鉄筋コンクリート造６階建，平面円形で外周にトスカナ式のピラスターを付す。タンク部は鉄骨造の架構に鋼製の水槽を納める。金井彦三郎の設計と伝える。,https://bunka.nii.ac.jp/heritage/43967/_101647/43967_101647111225011010821_300.jpg
101,00000658,彌彦神社本殿,いやひこじんじゃほんでん,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積26㎡,,15 － 0003,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70679000000000,138.82570000000000,明治４５年焼失の再建社殿。再建にあたり，弥彦山を背負う位置に社殿を移す。再建の設計は伊東忠太と桐山平太郎，監督は奥本五一。飾金具の意匠は大江新太郎ら明治神宮造営局のグループがあたる。本殿は焼失前と同様の流造を採用し，屋根は銅板葺とする。,https://bunka.nii.ac.jp/heritage/43967/_101648/43967_101648151023193358864_300.jpg
101,00000659,彌彦神社幣殿,いやひこじんじゃへいでん,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積28㎡,,15 － 0004,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70674000000000,138.82580000000000,拝殿・祝詞舎の最奥部に位置し，内部を畳敷とする。平面的には一体であるが，外見上は本殿と同様の三間社流造の形式をとり，祝詞舎側に張りだした奥行一間の階段付大床を納める。背面は石階段と石廊下で本殿と連絡している。,https://bunka.nii.ac.jp/heritage/43967/_101649/43967_101649151023193359487_300.jpg
101,00000660,彌彦神社祝詞舎,いやひこじんじゃのりとしゃ,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積66㎡,,15 － 0005,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70672000000000,138.82590000000000,幣殿と拝殿の間に位置する。屋根は切妻で，棟の一方を幣殿の棟に突きつけ，他方は拝殿屋根の妻に納める。内部は桁行方向に大虹梁を架け，それに梁間方向の虹梁を二重に載せ，化粧屋根裏とする。当初は畳敷であった。神饌所と伺候所との連絡口をもつ。,https://bunka.nii.ac.jp/heritage/43967/_101650/43967_101650151023193400100_300.jpg
101,00000661,彌彦神社拝殿,いやひこじんじゃはいでん,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積165㎡,,15 － 0006,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70665000000000,138.82610000000000,桁行９間，梁間５間の規模で，入母屋造，妻入とし，後方左右に神饌所と伺候所を従え，前面に唐破風の向拝を付けて正面性を強調した造りとする。内部は桁行方向に大虹梁を架けて無柱の室内を造っている。近代建築家のてがけた神社建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101651/43967_101651151023193401136_300.jpg
101,00000662,彌彦神社神饌所,いやひこじんじゃしんせんしょ,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積73㎡,,15 － 0007,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70659000000000,138.82580000000000,神社の台所に相当する施設。拝殿の後方左手に位置し，渡廊下で祝詞舎とつながれ，最奥部に階段があり前庭に通じる。入母屋造，平を正面とした寝殿風の建物で，正面４間に蔀戸を建て込み，前面に高欄付の縁を設ける。,https://bunka.nii.ac.jp/heritage/43967/_101652/43967_101652111225011014207_300.jpg
101,00000663,彌彦神社瑞垣・裏門,いやひこじんじゃみずがき・うらもん,1棟,,登録有形文化財(建造物),宗教,その他工作物,,大正,大正5,1916,木造棟門，銅板葺，及び左右瑞垣56.2mよりなる,,15 － 0008,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70682000000000,138.82560000000000,本殿を囲む垣で，正面は幣殿に発し，側面９間建て，正面寄りに潜り門をとり，背面７間建ての中央に裏門を設ける。石製基壇上に建ち，内側に控えの柱をとり，柱間に組格子の狭間を建て込む。屋根は両流れ銅板葺で，裏門は平入唐破風屋根とする。,https://bunka.nii.ac.jp/heritage/43967/_101653/43967_101653151023193401756_300.jpg
101,00000664,彌彦神社伺候所,いやひこじんじゃしこうじょ,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積73㎡,,15 － 0009,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70681000000000,138.82600000000000,神社の宿直所に相当する施設。拝殿の後方右手に位置し，祝詞舎とは渡廊下で連絡し，最奥部は階段となり前庭に通じる。内部は床付１０畳間と１２畳間とから成り，前面に高欄付の縁側を設ける。外見は神饌所と同様のものとなっている。,https://bunka.nii.ac.jp/heritage/43967/_101654/43967_101654151023193402359_300.jpg
101,00000665,彌彦神社摂社乙子神社,,1棟,,登録有形文化財(建造物),宗教,建築物,,大正,大正5,1916,木造平屋建，銅板葺，建築面積5.0㎡,,15 － 0010,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,新潟県,新潟県西蒲原郡弥彦村大字弥彦2898,,宗教法人彌彦神社,,,37.70666000000000,138.82690000000000,摂末社８棟のうち焼失した３棟の復興建築のひとつで，横並び８棟（右端の十柱神社は重要文化財）のうち向かって左より５棟目にあたる。焼失前と同様形式の一間社流造で，浜床・三方縁・脇障子付の社殿になり，屋根を銅板葺とする。,https://bunka.nii.ac.jp/heritage/43967/_101655/43967_101655151023193402972_300.jpg
