台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000035,東京大学大講堂（安田講堂）,とうきょうだいがくだいこうどう（やすだこうどう）,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正14,1925,鉄筋コンクリート造4階建塔屋付、建築面積1818㎡,,13 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,東京都,東京都文京区本郷7-3-1,,国立大学法人東京大学,,,35.71342000000000,139.76220000000000,ゴシック及び表現主義の影響が色濃く見られる垂直性の強いデザインが特徴。外壁は赤茶色のタイル貼りで，意匠的に極めて優秀である。設計は内田祥三，施工は清水組。昭和63年から平成６年にかけて改修が行われている。,https://bunka.nii.ac.jp/heritage/43967/_101025/43967_101025111225010309613_300.jpg
101,00000388,東京商船大学１号館,とうきょうしょうせんだいがくいちごうかん,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造3階建，建築面積1769㎡,,13 － 0003,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,東京都,東京都江東区越中島2-1-6,,国立大学法人東京海洋大学,,,35.66817000000000,139.79110000000000,関東大震災で多くの校舎が倒壊したが，昭和７年に再建。東京高等商船学校時代は，本館と呼ばれていた。外壁をスクラッチタイル貼りとし，正面に半円形の大アーチの玄関部を設ける。簡潔にまとめ上げられた意匠になる校舎の好例。設計は文部省・大蔵省。,https://bunka.nii.ac.jp/heritage/43967/_101378/43967_101378111225010652935_300.jpg
101,00000389,東京商船大学２号館,とうきょうしょうせんだいがくにごうかん,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和8,1933,鉄筋コンクリート造2階建，建築面積2269㎡,,13 － 0004,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,東京都,東京都江東区越中島2-1-6,,国立大学法人東京海洋大学,,,35.66660000000000,139.79310000000000,水産講習所本館として昭和８年に再建されたもので，設計は文部省・大蔵省。左右対称型の簡素な外観になる。外壁は，当時流行したスクラッチタイル貼とし，正面中央に４本の柱型を立て垂直性を強調した意匠とする。近年の改修で，性能向上が図られた。,https://bunka.nii.ac.jp/heritage/43967/_101379/43967_101379111225010653471_300.jpg
101,00000390,東京商船大学事務局管理棟,とうきょうしょうせんだいがくじむきょくかんりとう,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造2階建，建築面積400㎡,,13 － 0005,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,東京都,東京都江東区越中島2-1-6,,国立大学法人東京海洋大学,,,35.66824000000000,139.79040000000000,１号館と同時に，図書館として再建されたものである。設計は文部省・大蔵省。外壁をスクラッチタイル貼とし，船をイメージした造形になるといわれ，細部の意匠も１号館と共通した構成要素がみられる。背後に円形の張り出し部をもつ構成は，特徴的である。,https://bunka.nii.ac.jp/heritage/43967/_101380/43967_101380111225010653989_300.jpg
101,00000391,東京商船大学旧天体観測所（第一観測台）,とうきょうしょうせんだいがくきゅうてんたいかんそくじょ（だいいちかんそくだい）,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治36,1903,煉瓦造2階建，鉄板葺，建築面積26㎡,,13 － 0006,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,再現することが容易でないもの,,東京都,東京都江東区越中島2-1-6,,国立大学法人東京海洋大学,,,35.66869000000000,139.79090000000000,正門の脇に建つ煉瓦造，２階建の観測台で，経緯儀室または赤道儀室が置かれた。一階は八角，二階は円形の平面をもち，二階外壁を漆喰塗りとしドーム屋根をかける。小規模ながら丁寧な造りの建物で，現存する数少ない明治期の天体観測施設として価値がある。,https://bunka.nii.ac.jp/heritage/43967/_101381/43967_101381111225010654508_300.jpg
101,00000392,東京商船大学旧天体観測所（第二観測台）,とうきょうしょうせんだいがくきゅうてんたいかんそくじょ（だいにかんそくだい）,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治36,1903,煉瓦造平屋建，鉄板葺，建築面積25㎡,,13 － 0007,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,再現することが容易でないもの,,東京都,東京都江東区越中島2-1-6,,国立大学法人東京海洋大学,,,35.66885000000000,139.79110000000000,第一観測台の脇に建つ煉瓦造，平屋建の小規模な観測台で，子午儀室が置かれた。平面は八角形で，屋根は八角錐，鉄板葺とする明治期の観測施設。壁面等に独特の観測用開口部を設ける。細部意匠は第一観測台と類似し，設計は両者とも三橋四郎と推定されている。,https://bunka.nii.ac.jp/heritage/43967/_101382/43967_101382111225010655731_300.jpg
101,00000393,古宇田家住宅,こうだけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,木造2階建，スレート葺，建築面積89㎡,,13 － 0008,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,国土の歴史的景観に寄与しているもの,,東京都,東京都杉並区南荻窪3-16-9,,,,,35.70224000000000,139.61080000000000,震災後この一帯では，和洋の邸宅が建ち並ぶ町並みが形成された。古宇田家住宅もその一つで，広い屋敷地のなかに切妻の大屋根と持ち送りのある２階開口部など独特の外観になる洋館として知られている。東京西郊における昭和初期の洋館の好例の一つでもある。,https://bunka.nii.ac.jp/heritage/43967/_101383/43967_101383111225010656306_300.jpg
101,00000525,堀商店,ほりしょうてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造４階建塔屋付，建築面積173㎡,,13 － 0009,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,造形の規範となっているもの,,東京都,東京都港区新橋2-5-2,,,,,35.66794000000000,139.75610000000000,新橋駅に近い角地に建つ建築金物を扱う商店のビル。鉄筋コンクリート造４階建で，西端に垂直線を強調した窓を持つ階段室と塔屋を設ける。軒廻りの装飾が特異で，スクラッチタイル貼りの外壁，水平線を強調した窓廻りに時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101515/43967_101515151023193356705_300.jpg
101,00000565,国立天文台太陽分光写真儀室,こくりつてんもんだいたいようぶんこうしゃしんぎしつ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和5,1930,鉄筋コンクリート造平屋建，建築面積331㎡,,13 － 0010,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,再現することが容易でないもの,,東京都,東京都三鷹市大沢2-21-1,,大学共同利用機関法人自然科学研究機構,,,35.67334000000000,139.53670000000000,アインシュタインの相対性原理の検証を主目的として建てられ，アインシュタイン塔の名で知られる。観測室を頂部にもつ塔状の外観が特徴で，塔の内部には建物と絶縁された機械室が上部までつながっており，その周囲に階段と準備室が設けられている。,https://bunka.nii.ac.jp/heritage/43967/_101555/43967_101555111225010851914_300.jpg
101,00000630,大倉集古館陳列館,おおくらしゅうこかんちんれつかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和2,1927,鉄筋コンクリート造２階建，銅板葺，建築面積863㎡,,13 － 0011,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,東京都,東京都港区虎ノ門2-10-3,,財団法人大倉文化財団,,,35.66707000000000,139.74330000000000,大倉喜八郎本邸に設けられた私設美術館の震災復興建築。伊東忠太の設計によるもので，伊東忠太の東洋建築に関する蘊蓄を披瀝した作品として知られる。陳列館東面から敷地低地に連なっていたかっての入口部分は失われて現存しない。,https://bunka.nii.ac.jp/heritage/43967/_101620/43967_101620111225010933407_300.jpg
