台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000122,真岡市久保講堂（旧真岡小学校久保講堂）,もおかしくぼこうどう（きゅうもおかしょうがっこうくぼこうどう）,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和13,1938,木造2階建左右塔屋付，瓦葺，建築面積651㎡,,09 － 0001,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,栃木県,栃木県真岡市田町1345-1,,真岡市,,,36.43848000000000,140.01750000000000,遠藤新設計の木造二階建の旧小学校講堂。内部は広い板敷で，２階にはギャラリーがある。水平線を強調した正面バルコニーの左右に塔屋を設けた意匠に特徴があり，遠藤新の作風がよく現れている。昭和６２年移築保存され市の文化施設として活用されている。,https://bunka.nii.ac.jp/heritage/43967/_101112/43967_101112111225010406957_300.jpg
101,00000561,宇都宮高校旧本館,うつのみやこうこうきゅうほんかん,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治26,1893,木造２階建，瓦葺，建築面積684㎡,,09 － 0003,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県宇都宮市滝の原3-5-70,,栃木県,,,36.54020000000000,139.86420000000000,寄棟造の大屋根を架けた県内最古の学校建築。１階は事務室・職員室・校長室など，２階は広い１室の講堂で，木材は日光杉並木の杉材を用いている。全国中学校建築のモデルになるとともに，「白亜館」の名で卒業生のみならず多くの市民に広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101551/43967_101551111225010847956_300.jpg
101,00000562,栃木高校講堂,とちぎこうこうこうどう,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治43,1910,木造平屋建，瓦葺，建築面積409㎡,,09 － 0004,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,造形の規範となっているもの,,栃木県,栃木県栃木市入舟町12-4,,栃木県,,,36.38326000000000,139.73010000000000,木造平屋建の講堂建築。外観は上部半円型のルネッサンス風の窓が連続し，軒廻りの持送りや小壁の装飾と相俟って造形美のある意匠となっている。広い内部も，白漆喰の天井や飾り柱を備えた演壇廻りの本格的な細部意匠に，時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101552/43967_101552111225010848887_300.jpg
101,00000563,栃木高校記念図書館,とちぎこうこうきねんとしょかん,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正3,1914,木造２階建，瓦葺，建築面積224㎡,,09 － 0005,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,造形の規範となっているもの,,栃木県,栃木県栃木市入舟町12-4,,栃木県,,,36.38315000000000,139.73090000000000,同窓会の記念事業として建てられ，１階が図書閲覧室，２階が和室の大広間になる。１階平面は凸型になり，玄関ポーチの装飾を巧みに強調している。当時の専用図書館として珍しいだけでなく，瀟洒ながら全体に均衡のとれた意匠を持つところに特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101553/43967_101553111225010850298_300.jpg
101,00000564,真岡高校記念館,もおかこうこうきねんかん,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治36,1903,木造２階建，瓦葺，建築面積744㎡,,09 － 0006,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県真岡市白布ヶ丘24-1,,栃木県,,,36.44063000000000,139.99940000000000,入母屋造・総２階建の旧本館で，１階が事務室・職員室・校長室など，２階が広い講堂になる。下見板張りに上げ下げ窓という素朴な外観は，「質実剛健」の校風をよく示している。現在は校史を物語る施設として整備・活用が図られ，広く卒業生に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101554/43967_101554111225010850772_300.jpg
101,00000631,林家住宅,はやしけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正期,1912-1925,木造平屋建，瓦葺，建築面積388㎡,,13 － 0012,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,栃木県,栃木県那須郡那須町大字湯本206,,株式会社山水閣,,,35.73487569000000,139.74609564000000,戦前の代表的な分譲住宅地として名高い大和郷の一画に建つ。勾配の緩やかな寄棟屋根，Ｓ字型の瓦，玄関脇の棕櫚などにスパニッシュ住宅の要素が認められる。玄関扉三方枠の装飾，居間の手斧仕上の梁，石貼りの暖炉などに見所をつくっている。,https://bunka.nii.ac.jp/heritage/43967/_101621/43967_101621050725001351028_300.jpg
101,00000749,横山郷土館店舗及び住居,よこやまきょうどかんてんぽおよびじゅうきょ,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治42,1909,木造２階建，瓦葺，建築面積256㎡,,09 － 0007,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県栃木市入舟町2-16,,栃木県,,,36.38127000000000,139.73240000000000,横山家は巴波川の舟運を利用して苧麻問屋を営み栄えた家で，川沿いの道路に面して広い屋敷地を構える。東面して接道する主屋は，前面を店舗，後方を住宅とし，正面をつし２階の町家風にした特徴あるつくりになる。店舗内部は北半を問屋，南半を銀行とする。,https://bunka.nii.ac.jp/heritage/43967/_101739/43967_101739151023193413183_300.jpg
101,00000750,横山郷土館麻蔵,よこやまきょうどかんあさぐら,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治42,1909,石造２階建，瓦葺，建築面積66㎡,,09 － 0008,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県栃木市入舟町2-16,,栃木県,,,36.38141000000000,139.73240000000000,主屋の北側に建つ。麻は地元の特産品で，舟運による関連製品の売買で栄えた付近一帯には多数の蔵が残る。なかでもこの蔵は，比較的に大規模な石造の蔵としてひときわ目立つ存在。窓の意匠や小屋のトラス等には，洋風建築からの影響がみられる。,https://bunka.nii.ac.jp/heritage/43967/_101740/43967_101740151023193414341_300.jpg
101,00000751,横山郷土館文庫蔵,よこやまきょうどかんぶんこぐら,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治43,1910,石造２階建，瓦葺，建築面積66㎡,,09 － 0009,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県栃木市入舟町2-16,,栃木県,,,36.38120000000000,139.73240000000000,主屋を挟み麻蔵と対称の位置にあり，独特の屋敷構えと景観を形成する石造の蔵。石材は，県内鹿沼市で産する深岩石と呼ばれる凝灰岩。つくりは麻蔵と似るが，軒を煉瓦積みとすることや１・２階間の石材の色をかえるなど，意匠により細かな配慮がなされている。,https://bunka.nii.ac.jp/heritage/43967/_101741/43967_101741151023193414956_300.jpg
101,00000752,横山郷土館離れ,よこやまきょうどかんはなれ,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正期,1912-1925,木造平屋建，鋼板葺，建築面積31㎡,,09 － 0010,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,栃木県,栃木県栃木市入舟町2-16,,栃木県,,,36.38134000000000,139.73200000000000,店舗及び住宅の後方，屋敷地の西方に建つ。外観はハーフティンバー形式を用いて洋風でまとめる。内部は和風を基調とするが天井を洋風につくるなど和洋折衷の意匠になる。小規模ながら完成度の高い洋風建築である。,https://bunka.nii.ac.jp/heritage/43967/_101742/43967_101742151023193415562_300.jpg
101,00000753,栃木市役所別館（旧栃木町役場庁舎）,とちぎしやくしょべっかん（きゅうとちぎまちやくばちょうしゃ）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,大正,大正10,1921,木造２階建，瓦葺，建築面積575㎡,,09 － 0011,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県栃木市入舟町7-31,,栃木市,,,36.38147000000000,139.73110000000000,もと県庁があった地に町の役場庁舎として建てられた。町の技師堀井寅吉の設計。木造２階建，塔屋付の洋風建築で，もとは１階に事務室，食堂等，２階に議場，貴賓室等が設けられていた。市の近代の歴史を物語る上で欠くことのできない建物である。,https://bunka.nii.ac.jp/heritage/43967/_101743/43967_101743160322112552579_300.jpg
101,00000945,カトリック松が峰教会,かとりっくまつがみねきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造４階建塔屋付，銅板葺，建築面積404㎡,,09 － 0013,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,栃木県,栃木県宇都宮市松が峰1-1-5,,カトリック浦和教区,,,36.55814000000000,139.88130000000000,大谷石を貼った鉄筋コンクリート造教会堂。階上を聖堂に充てる。両サイドから聖堂にアプローチする正面階段と，八角トンガリ屋根を頂く双塔が荘重な外観を造る。ランドマークとしてもよく知られる。設計は，横浜在住のスイス人建築家マックス・ヒンデル。,https://bunka.nii.ac.jp/heritage/43967/_101935/43967_101935111225011328894_300.jpg
101,00001338,小野口家住宅前の蔵,おのぐちけじゅうたくまえのくら,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期／明治末期移築,1830-1867／1868-1911移築,石造2階建、瓦葺、建築面積20㎡,,09 － 0015,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,栃木県,栃木県宇都宮市田野町885,,,,,36.59857000000000,139.79810000000000,小野口家は広大な屋敷地中央に近年新築した主屋が建ち，これを囲むよう各建築群が配されている。前の蔵は敷地南東隅にあり，軸組を木造とし，外壁には田下石（大谷石の一種）の薄板を貼り付け，軒を蛇腹型に持ち出し，もとは大谷石の石屋根であった。,https://bunka.nii.ac.jp/heritage/43967/_102328/43967_102328111225011722524_300.jpg
101,00001339,小野口家住宅長屋門,おのぐちけじゅうたくながやもん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治9／大正期移築,1876／1912-1925移築,石造平屋建、瓦葺、建築面積70㎡,,09 － 0014,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,栃木県,栃木県宇都宮市田野町885,,,,,36.59849000000000,139.79760000000000,小野口家は江戸時代より長く庄屋をつとめ，当地方の豪農の屋敷構えを保っている。屋敷地南西面に建つ長屋門は，墨書より明治９年の建築。もと石屋根，木造軸組に外壁大谷石貼り，木製アーチ状出入口やアーチ式小窓など洋風を取り入れた意匠に見所がある。,https://bunka.nii.ac.jp/heritage/43967/_102329/43967_102329111225011722777_300.jpg
101,00001340,小野口家住宅旧乾燥小屋,おのぐちけじゅうたくきゅうかんそうごや,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正中期,1912-1925,石造平屋建、瓦葺、建築面積37㎡,,09 － 0016,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,栃木県,栃木県宇都宮市田野町885,,,,,36.59856000000000,139.79750000000000,屋敷地南西面で長屋門北側にあり，長屋門を移動した大正中期の建築。もと葉煙草の乾燥に使われていた。大谷石積みの平屋建てで，主屋に面した敷地内側に収納のための開口部がある。長屋門に接続する倉庫建築として，屋敷構えの景観を整えている。,https://bunka.nii.ac.jp/heritage/43967/_102330/43967_102330111225011723281_300.jpg
101,00001341,小野口家住宅堆肥舎,おのぐちけじゅうたくたいひしゃ,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治後期,1868-1911,石造平屋建、瓦葺、建築面積41㎡,,09 － 0017,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,栃木県,栃木県宇都宮市田野町885,,,,,36.59868000000000,139.79740000000000,長屋門北面に連続する旧乾燥小屋と通路を挟んだ北側に建ち，明治後期と推定されている。大谷石積みの平屋建であるが，寄棟造の屋根はトラス小屋組である。開口部に付けられた大谷石の付庇，松文型の窓，隅部の石積みなどに造形上の工夫がうかがえる。,https://bunka.nii.ac.jp/heritage/43967/_102331/43967_102331111225011723785_300.jpg
101,00001342,小野口家住宅裏の蔵,おのぐちけじゅうたくうらのくら,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,文政8,1825,石造2階建、瓦葺、建築面積22㎡,,09 － 0018,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,栃木県,栃木県宇都宮市田野町885,,,,,36.59883000000000,139.79750000000000,主屋の北東後方に建ち，食器具等の倉庫として用いられている。墨書より文政８年と判明し，小野口家のなかで建築年代が最も古い。もと石屋根，軸組木造，外壁大谷石の薄板貼で，戸口には，かつての主屋車寄の唐破風庇を移設している。,https://bunka.nii.ac.jp/heritage/43967/_102332/43967_102332111225011724045_300.jpg
