台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000423,潮平ガー,すんじゃがー,1基,,登録有形文化財(建造物),生活関連,土木構造物,,大正,大正末期,1912-1925,石造井泉，水溜部・作業場・石段・法面石垣・香炉2基からなる，面積314㎡,,47 － 0001,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県糸満市字潮平136,,糸満市字潮平自治会,,,26.14357000000000,127.67700000000000,緩やかな傾斜地につくられた大規模な井泉。屋根付の水溜部，石敷の作業場，作業場に至る石段，法面石垣からなり，水溜部及びその後方に香炉２基が据えられている。大型の切石を積んだ構造は沖縄によくみられるもので，生活用水に利用され広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101413/43967_101413111225010716456_300.jpg
101,00002108,南大東島西港旧ボイラー小屋,みなみだいとうじまにしこうきゅうぼいらーごや,1棟,,登録有形文化財(建造物),交通,建築物,,大正,大正13頃,1924頃,石造、建築面積115㎡,,47 － 0002,27,2000.12.20(平成12.12.20),2000.12.04(平成12.12.04),,20001204,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県島尻郡南大東村字池の沢146,,南大東村,,,25.84261000000000,131.21800000000000,明治３３年第１回開拓者が上陸地点に選んで以降，南大東島の主要港として整備されてきた西港を見渡す場所に建つ。台風時に船舶を陸地に引き揚げておくための施設の原動力室で，島の珊瑚石灰岩を乱積にして壁体を築造。島開拓の歴史を物語る遺構のひとつ。,https://bunka.nii.ac.jp/heritage/43967/_103098/43967_103098111225012542186_300.jpg
101,00004874,金城増治家住宅主屋,きんじょうますはるけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治24頃,1891頃,木造平屋建、瓦葺、建築面積108㎡,,47 － 0003,46,2005.08.02(平成17.08.02),2005.07.12(平成17.07.12),,20050712,,造形の規範となっているもの,,沖縄県,沖縄県糸満市字真壁223,,,,,26.10556000000000,127.69140000000000,琉球王府時代に形成された真壁集落の中央に位置する。桁行７間梁行４間半強規模，寄棟造の木造平屋建，赤瓦葺で，東・南面に雨端を廻し，内部は８畳の一番座と二番座等から構成される伝統的な形式を踏襲する。１間以上幅の縁側が醸し出す開放性に特色がある。,https://bunka.nii.ac.jp/heritage/43967/_105864/43967_105864111225020044747_300.jpg
101,00005071,金城増治家住宅フール,きんじょうますはるけじゅうたくふーる,1基,,登録有形文化財(建造物),住宅,その他工作,,明治,明治24頃,1891頃,石造、面積7.3㎡,,47 － 0004,47,2005.12.05(平成17.12.05),2005.11.10(平成17.11.10),,20051110,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県糸満市字真壁223,,,,,26.10561000000000,127.69120000000000,南面する敷地中央の主屋の西側に位置し，琉球石灰岩の２連のフール。長辺４．１ｍ，短辺３．１ｍ，最高高さ１．１ｍの規模である。屋根部分は失われているが，異形の石材を組んだ石造部分は良好に保存され，屋敷構の構成の一つとして貴重である。,https://bunka.nii.ac.jp/heritage/43967/_106061/43967_106061111225020537228_300.jpg
101,00005072,金城増治家住宅井戸,きんじょうますはるけじゅうたくいど,1基,,登録有形文化財(建造物),住宅,その他工作,,明治,明治24頃,1891頃,石造、面積2.1㎡,,47 － 0005,47,2005.12.05(平成17.12.05),2005.11.10(平成17.11.10),,20051110,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県糸満市字真壁223,,,,,26.10567000000000,127.69120000000000,主屋の西側，敷地境近くに位置する。直径約１．１ｍの円形石積みで，深さ約８．６ｍの掘り抜き井戸である。取水部側を切石積みとし，背面を野面積みとする。井戸南側に高さ２ｍ，北側に１ｍの方形の石柱が立つ。屋敷構の構成の一つとして貴重。,https://bunka.nii.ac.jp/heritage/43967/_106062/43967_106062111225020537547_300.jpg
101,00005073,金城増治家住宅石垣,きんじょうますはるけじゅうたくいしがき,1所,,登録有形文化財(建造物),住宅,その他工作,,明治,明治24頃,1891頃,石造、延長30m,,47 － 0006,47,2005.12.05(平成17.12.05),2005.11.10(平成17.11.10),,20051110,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県糸満市字真壁223,,,,,26.10543000000000,127.69130000000000,敷地正面の敷地境に造られた石垣。琉球石灰岩を積み上げ，長さ３０ｍ，高さ１．７ｍの規模で，上部に切石を並べる。石垣の内側は土盛りされ，生垣となる。規模の比較的大きな石垣で，大きな石を組み，良好な状況で保存され，屋敷構の構成の一つとして貴重。,https://bunka.nii.ac.jp/heritage/43967/_106063/43967_106063111225020537853_300.jpg
101,00005074,神山家住宅主屋,かみやまけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正元,1912,木造平屋建、瓦葺、建築面積139㎡,,47 － 0007,47,2005.12.05(平成17.12.05),2005.11.10(平成17.11.10),,20051110,,造形の規範となっているもの,,沖縄県,沖縄県八重山郡竹富町字黒島1522,,,,,24.23549000000000,124.01300000000000,東筋集落の民家で，南面する敷地の中央に南面して建つ。桁行７間，梁間５間の規模で，寄棟造，赤瓦葺，木造平屋建。一番座を８畳間として仏壇を付属し，脇に小規模な床の間を構える。元は茅葺で，軒を低く造る古い形式をもつ。離島の古い民家形式を知る上で貴重。,https://bunka.nii.ac.jp/heritage/43967/_106064/43967_106064111225020538153_300.jpg
101,00005212,旧東洋製糖北大東出張所,きゅうとうようせいとうきただいとうしゅっちょうじょ,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正後期,1919-1926,石造一部鉄筋コンクリート造平屋建、建築面積712㎡,,47 － 0008,48,2005.12.27(平成17.12.27),2005.12.26(平成17.12.26),,20051226,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県島尻郡北大東村字港29-1,,北大東村,,,25.95424000000000,131.28630000000000,海を望む島西北部の高台に建つ。建物の角をコンクリートで固め，壁面を石灰岩の布積で築いた凹形平面の建築物で，玄関ポーチにはＲＣ造の列柱を配する。事務所と売店を収容した燐鉱事業の拠点となった施設で，北大東島の近代産業繁栄の歴史を今に伝える。,https://bunka.nii.ac.jp/heritage/43967/_106202/43967_106202399221434952055_300.jpg
101,00005213,西桟橋,にしさんばし,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和13,1938,石造及びコンクリート造、延長105m、係船柱付,,47 － 0009,48,2005.12.27(平成17.12.27),2005.12.26(平成17.12.26),,20051226,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県八重山郡竹富町字竹富地先,,竹富公民館,,,24.33157000000000,124.07970000000000,竹富島西海岸に築かれた延長１０５ｍ，幅４．４ｍの桟橋。乱積された石灰岩の両側面にコンクリート壁を打ち，南側面にはモルタルの銘板を付ける。干潮時の荷揚場として利用するために，先端部分は幅員を広くとり斜路状につくる。島に最初に築かれた近代桟橋。,https://bunka.nii.ac.jp/heritage/43967/_106203/43967_106203111225020852583_300.jpg
101,00005214,伊古桟橋,いこさんばし,1基,,登録有形文化財(建造物),交通,土木構造物,,昭和前,昭和10,1935,石造及びコンクリート造、延長354m、係船柱付,,47 － 0010,48,2005.12.27(平成17.12.27),2005.12.26(平成17.12.26),,20051226,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県八重山郡竹富町字黒島地先,,黒島公民館,,,24.24647000000000,124.01490000000000,黒島の北海岸東寄りに位置する，県の補助事業によって建設された延長３５４ｍ，幅員４．３ｍ規模の桟橋。石造及びコンクリート造で，表面モルタル塗とし，先端部分には４本の係船柱を配する。島の漁業の近代化を支えた大規模構造物。,https://bunka.nii.ac.jp/heritage/43967/_106204/43967_106204111225020853501_300.jpg
101,00005534,なごみの塔,なごみのとう,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和中,昭和28,1953,鉄筋コンクリート造、高さ4.5m、面積51㎡,,47 － 0016,50,2006.04.12(平成18.04.12),2006.03.27(平成18.03.27),,20060327,,国土の歴史的景観に寄与しているもの,,沖縄県,沖縄県八重山郡竹富町字竹富359,,竹富公民館,,,24.33061000000000,124.08530000000000,竹富島の西集落のほぼ中央の赤山公園内に位置し，高さ６ｍの丘の上に石垣等を築き，その上に設けられた高さ４ｍの鉄筋コンクリート造の物見塔である。太さ０．６ｍの柱の上に物見台を作り，８段の階段を付ける。島民に愛され，島のシンボル的存在。,https://bunka.nii.ac.jp/heritage/43967/_106522/43967_106522111225021607683_300.jpg
101,00005696,旧国頭農学校玄関,きゅうくにがみのうがっこうげんかん,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治35／昭和40移築,1902／1965移築,木造、瓦葺、面積9.4㎡,,47 － 0017,51,2006.08.24(平成18.08.24),2006.08.03(平成18.08.03),,20060803,,造形の規範となっているもの,,沖縄県,沖縄県名護市字宇茂佐13,,沖縄県,,,26.59592000000000,127.96310000000000,唐破風造の吹放ち玄関で，正面柱間３．６ｍ。琉球赤瓦葺とする。角柱上の組物は大斗，実肘木で，虹梁を受け，板蟇股と斗，実肘木で棟木を受ける。破風は拝みと起りの中程に茨をつけ，拝懸魚を飾り，竿縁天井とする。沖縄における伝統意匠の数少ない遺構である。,https://bunka.nii.ac.jp/heritage/43967/_106684/43967_106684111225022009962_300.jpg
