台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000059,黒壁ガラス館本館（旧第百三十銀行長浜支店）,くろかべがらすかんほんかん（きゅうだいひゃくさんじゅうぎんこうながはましてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治33,1900,木造2階建、瓦葺、建築面積169㎡,,25 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県長浜市元浜町12-38,,株式会社黒壁,,,35.38069000000000,136.26700000000000,伝統的な土蔵造を基調として，軒蛇腹，上下窓，天井飾等の要所に洋風の意匠を取り入れた建物。明治期には多くの銀行が土蔵造でつくられたが，滋賀県下における初期の事例のひとつである。黒漆喰塗りの外観から｢黒壁｣の愛称を持ち，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101049/43967_101049111225010328885_300.jpg
101,00000137,滋賀大学陵水会館,しがだいがくりょうすいかいかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和13,1938,木造2階一部平屋建，瓦葺，建築面積292㎡,,25 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,滋賀県,滋賀県彦根市馬場1-1-1,,国立大学法人滋賀大学,,,35.27735000000000,136.24560000000000,経済学部の前身の彦根高等商業学校同窓会館として建設された。設計はヴォーリズ。淡いクリーム色の外壁にスペイン瓦の屋根，ドア廻りのタイルによる市松模様など，スパニッシュスタイルでまとめられた外観に特徴があり，設計者の作風の一端がうかがえる。,https://bunka.nii.ac.jp/heritage/43967/_101127/43967_101127111225010420103_300.jpg
101,00000217,丸八百貨店,まるはちひゃっかてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和8頃／昭和18頃増築,1933頃／1943頃増築,木造3階建，スレート葺，建築面積83㎡,,25 － 0003,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県高島市朽木市場838・847,,高島市,,,35.35410000000000,135.91600000000000,村の中心部の角地に建つ百貨店。もとは２階建で、３階は物見櫓等に利用するために増築された。人造石洗い出しの外壁の２階と３階の間の帯状に廻らされた鋸歯形の模様（当初のパラペット飾り）等に特徴があり、村でひときわ目をひく建物としてよく知られている。,https://bunka.nii.ac.jp/heritage/43967/_101207/43967_101207111225010507387_300.jpg
101,00000250,比叡山鉄道ケーブル坂本駅舎,ひえいざんてつどうけーぶるさかもとえきしゃ,1棟,,登録有形文化財(建造物),交通,建築物,,昭和前,昭和2頃,1927頃,木造2階建，スレート葺，建築面積188㎡,,25 － 0004,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県大津市坂本本町4244,,比叡山鐵道株式会社,,,35.06967000000000,135.86390000000000,琵琶湖側から延暦寺への参詣の便を図るために昭和２年敷設されたケーブルカーの駅舎。入口の庇を支える金属製の持ち送りや縦長の窓に特徴がある。待合室は独特な形状の２本の柱や天井飾りに意匠上の工夫が見られる。簡潔な外観の駅舎として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101240/43967_101240111225010530054_300.jpg
101,00000251,比叡山鉄道ケーブル延暦寺駅舎,ひえいざんてつどうけーぶるえんりゃくじえきしゃ,1棟,,登録有形文化財(建造物),交通,建築物,,昭和前,昭和2,1927,鉄筋コンクリート造地上2階地下1階建，建築面積267㎡,,25 － 0005,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県大津市坂本本町4244,,比叡山鐵道株式会社,,,35.06650000000000,135.84380000000000,入口の庇を支える金属製の持ち送りや２階の縦長の窓は坂本駅舎と共通する意匠だが、全体にやや重厚な仕上げとなる。待合室は腰にタイルを張り、柱や梁・壁の境に陶器ビート繰型状の縁取りをつけるなど装飾を施す。坂本駅とも広く親しまれた駅舎である。,https://bunka.nii.ac.jp/heritage/43967/_101241/43967_101241111225010531455_300.jpg
101,00000252,仁木家住宅洋館,にきけじゅうたくようかん,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正12,1923,木造2階建，瓦葺，建築面積60㎡,,25 － 0006,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県甲賀市甲南町深川市場字里ノ内41,,,,,34.93053000000000,136.16280000000000,１階は、一辺約７メートルの正方形の右手が前後に突き出す平面になる。２階の妻壁をハーフティンバー、その他をドイツ壁としている点は特徴的。町屋の並ぶ町並みの中で、Ｔ字路の突き当たりに位置するひときわ目立つ２階建ての洋風建物である。,https://bunka.nii.ac.jp/heritage/43967/_101242/43967_101242556970546121569_300.jpg
101,00000297,本家鶴喜そば主屋,ほんけつるきそばしゅおく,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治20頃,1887頃,木造2階建，瓦葺，建築面積167㎡,,25 － 0007,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県大津市坂本4-11-40,,,,,35.07059000000000,135.87020000000000,木造２階建，入母屋造，桟瓦葺の平入り町家である。２階の高欄や屋根の正面に取りつけた向拝風の屋根，千鳥破風の妻飾等に外観の特色がある。江戸時代中頃から続くそば屋の店舗として，坂本の町並みの入口にあって広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101287/43967_101287111225010553774_300.jpg
101,00000348,五個荘町歴史民俗資料館（旧藤井家住宅）主屋,ごかしょうちょうれきしみんぞくしりょうかん（きゅうふじいけじゅうたく）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期／明治32座敷増築,1868-1911／1899座敷増築,木造2階建，瓦葺，建築面積258㎡,,25 － 0008,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県東近江市宮荘町681,,東近江市,,,35.15779000000000,136.18900000000000,近江商人の旧宅を町立歴史民俗資料館としたもの。昭和７年に現在地に移築された主屋は，差鴨居で固めた四間取りの居室部に座敷２室を付加した平面を基本とする質素な造作になる。家具調度品とも保存され，質実剛健な気風の近江商人の生活を知ることができる。,https://bunka.nii.ac.jp/heritage/43967/_101338/43967_101338111225010628434_300.jpg
101,00000352,五個荘町歴史民俗資料館（旧藤井家住宅）北土蔵,ごかしょうちょうれきしみんぞくしりょうかん（きゅうふじいけじゅうたく）きたどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治32頃,1899頃,土蔵造2階建，瓦葺，建築面積21㎡,,25 － 0012,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県東近江市宮荘町681,,東近江市,,,35.15790000000000,136.18910000000000,切石積の基礎上に建つ２階建ての小規模土蔵で，屋根は置き屋根形式になる。外壁は漆喰仕上げとするが，腰下に和船の舟板を横張りする点は特徴的である。主屋と一連に昭和９年頃現在地に移築されたもので，屋敷構えを構成する一要素となっている。,https://bunka.nii.ac.jp/heritage/43967/_101342/43967_101342111225010628946_300.jpg
101,00000353,五個荘町歴史民俗資料館（旧藤井家住宅）南土蔵,ごかしょうちょうれきしみんぞくしりょうかん（きゅうふじいけじゅうたく）みなみどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和9頃,1934頃,土蔵造2階建，瓦葺，建築面積28㎡,,25 － 0013,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,滋賀県,滋賀県東近江市宮荘町681-2,,東近江市,,,35.15759000000000,136.18910000000000,表門の脇に位置し，切石積の基礎上に建つ２階建ての土蔵。規模は北土蔵より一回り大きい。全体的に簡素な外観になるが，漆喰仕上げの外壁の腰下には妻側は縦板を張り，庭に面する東側面は開口部を挟んで杉皮を縦張するなど意匠に工夫が見られる。,https://bunka.nii.ac.jp/heritage/43967/_101343/43967_101343111225010629207_300.jpg
