台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000108,早野ビル,はやのびる,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,鉄筋コンクリート造3階建（一部4階建）、建築面積208㎡,,43 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,熊本県,熊本県熊本市練兵町45,,早野建物合名会社,,,32.79788000000000,130.70270000000000,ＲＣ造の事務所ビルで，設計は矢上信次である。熊本で最初の貸しビルであったと伝えており，２・３階を通した窓廻り，４階及び塔屋の窓廻り，外壁の柱型等に特徴的な装飾が施されている点に初期の事務所ビルの特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101098/43967_101098111225010354936_300.jpg
101,00000109,九州学院高等学校講堂兼礼拝堂,きゅうしゅうがくいんこうとうがっこうこうどうけんれいはいどう,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正13,1924,鉄筋コンクリート造平屋建、瓦葺、建築面積525㎡,,43 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,熊本県,熊本県熊本市大江５-2-1,,学校法人九州学院,,,32.79815000000000,130.72300000000000,学校の設立者ブラウンを記念して建設された。教会と同様の三身廊式の平面を持ち，白い人造石の柱型と黒モルタルの壁を対比させた正面の意匠に特徴がある。我が国に多数の作品を残した米国人宣教師ヴォーリズの設計で，その作風の一端を示す好例である。,https://bunka.nii.ac.jp/heritage/43967/_101099/43967_101099111225010356834_300.jpg
101,00000176,九州女学院高等学校本館,きゅうしゅうじょがくいんこうとうがっこうほんかん,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正15,1926,鉄筋コンクリート造地上2階（一部3階）地下1階建，建築面積1131㎡,,43 － 0003,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,熊本県,熊本県熊本市黒髪3-12-16,,学校法人九州ルーテル学院,,,32.81974000000000,130.72290000000000,ミッション・スクールの本館で，小高い丘の上に立つＲＣ造の校舎である。設計は米人の建築家ヴォーゲル。正面の一段高い列柱と巨大な日本瓦の切妻屋根が特徴で，当時の学校建築等が洋風を基調としている中で細部まで和風の装いを保っている点は興味深い。,https://bunka.nii.ac.jp/heritage/43967/_101166/43967_101166111225010441325_300.jpg
101,00000177,熊本市水道記念館（旧八景水谷貯水池ポンプ場）,くまもとしすいどうきねんかん（きゅうはけのみやちょすいちぽんぷじょう）,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正13,1924,煉瓦造平屋建，建築面積99㎡,,43 － 0004,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,熊本県,熊本県熊本市八景水谷1-7-3,,熊本市,,,32.84230000000000,130.72170000000000,八景水谷の湧水地に設けられたポンプ場で，平面は正方形になる。外観の意匠は，窓廻りの縁取りや煉瓦壁と上部のモルタル壁の取合せ，寄棟屋根の四面に反曲線の組み合わせによる特異な小屋根を張り出させる等，表現派の装いをした建物で市民に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101167/43967_101167111225010442821_300.jpg
101,00000374,水俣市立蘇峰記念館（旧淇水文庫）,みなまたしりつそほうきねんかん（きゅうきすいぶんこ）,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和4,1929,鉄筋コンクリート造2階建，建築面積288㎡,,43 － 0005,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,熊本県,熊本県水俣市陣内1-101-1,,水俣市,,,32.21144000000000,130.40830000000000,徳富蘇峰が自らの父の名前をとって建てた図書館。現在では記念館として用いられている。設計は地元の技術者渡辺録治によるが，蘇峰自身も関わったとされる。軒周りなどに装飾が配されているが，全体としては簡素な外観で，早い時期のＲＣ造建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101364/43967_101364111225010643377_300.jpg
101,00000491,長崎次郎書店,ながさきじろうしょてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,木造2階建，瓦葺，建築面積175㎡,,43 － 0006,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,熊本県,熊本県熊本市新町4-1-19,,長崎次郎株式会社,,,32.80030000000000,130.69670000000000,旧城下の商人町の中心近くに建つ。木造２階建で，外壁は煉瓦で固める。設計は保岡勝也。軒の出の小さい屋根，障壁風の壁の上部に設けた小屋根，軒廻りの装飾，２階の連続する変形のアーチ等に特徴がある。市内有数の古い書店として広く知られた建物である。,https://bunka.nii.ac.jp/heritage/43967/_101481/43967_101481111225010800296_300.jpg
101,00000492,今村家住宅,いまむらけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸末期,1830-1867,木造2階建，瓦葺，建築面積191㎡,,43 － 0007,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,熊本県,熊本県熊本市川尻4-9-21,,,,,32.73785000000000,130.68100000000000,熊本市の南端，加勢川の北岸に近い県道に面して広い間口を構える大型町家。西南戦争の際に薩摩軍の本陣が置かれたと伝える。１階の出格子と２階を低く押さえた外観に特徴があり，西南戦争以前の民家が比較的に多く残る川尻の町でひときわ目をひく建物である。,https://bunka.nii.ac.jp/heritage/43967/_101482/43967_101482111225010800806_300.jpg
101,00000493,芦北町立武徳殿,あしきたちょうりつぶとくでん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和12,1937,木造平屋建，スレート葺，建築面積336㎡,,43 － 0008,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,熊本県,熊本県葦北郡芦北町大字佐敷204,,芦北町,,,32.30373000000000,130.50430000000000,剣道・柔道を行う武道場として建てられた（現在は歴史資料の保管場所に利用）。外観は２重だが，上は明かり取り窓で，内部は平屋である。１階窓を大きく開くなど武道場らしい工夫がみられる特徴ある建物で，町の象徴的な存在となっている。玄関は改造。,https://bunka.nii.ac.jp/heritage/43967/_101483/43967_101483111225010801417_300.jpg
101,00000552,郡築二番町樋門,ぐんちくにばんちょうひもん,1基,,登録有形文化財(建造物),産業1次,土木構造物,,昭和前,昭和13,1938,石造アーチ式３連樋門，長さ14.2m，幅8.2m,,43 － 0009,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,国土の歴史的景観に寄与しているもの,,熊本県,熊本県八代市郡築二番町字貮番割194-1地先,,八代平野北部土地改良区,,,32.52486000000000,130.55460000000000,明治期に八代郡役所が干拓を行った事業地の堤防に設けられた樋門で，昭和11年の高潮被害後の補強改良工事時に設けられた。石造３連アーチからなり，上部は石造の布積みとし，曲線を用いた細部なども相まって，干拓事業の象徴として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101542/43967_101542111225010841175_300.jpg
101,00000747,熊本大学本部（旧熊本高等工業学校本館）,くまもとだいがくほんぶ（きゅうくまもとこうとうこうぎょうがっこうほんかん）,1棟,,登録有形文化財(建造物),学校,建築物,,大正,大正13,1924,鉄筋コンクリート造３階建，建築面積1038㎡,,43 － 0011,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,熊本県,熊本県熊本市黒髪2-39-1,,国立大学法人熊本大学,,,32.81384000000000,130.72780000000000,創立時木造校舎の焼失後の再建校舎で，文部省直轄学校における鉄筋コンクリート造校舎の初期のものになる。設計担当は文部技師の長岡勇衛。柱型とセセッション風の柱頭飾りなどに鉄筋コンクリート建築に対する取組の跡がよく示されている。,https://bunka.nii.ac.jp/heritage/43967/_101737/43967_101737111225011118400_300.jpg
