台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000041,金沢市立玉川図書館別館（旧専売公社C-1号工場）,かなざわしりつたまがわとしょかんべっかん（きゅうせんばいこうしゃしーいちごうこうじょう）,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治44,1911,煉瓦造2階建、瓦葺、建築面積691㎡,,17 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,石川県,石川県金沢市玉川町２-20,,金沢市,,,36.57004000000000,136.65150000000000,大蔵省臨時建築部によって建設された煙草工場で，設計は建築部長妻木頼黄の下で矢橋賢吉が手がけたと推定されている。１・２階を一体に扱う窓廻りのアーチの構成と煉瓦造の外観に特徴があり，明治の大蔵省臨時建築部の作風を示す標準となる好例である。,https://bunka.nii.ac.jp/heritage/43967/_101031/43967_101031111225010314533_300.jpg
101,00000206,旧三田商店,きゅうみたしょうてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和5,1930,鉄筋コンクリート造2階建，建築面積150㎡,,17 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,石川県,石川県金沢市尾張町1-8-5,,,,,36.57070000000000,136.66290000000000,交差点に面する部分を曲線で処理し、スクラッチタイルを貼る外観は質素であるが、正面の出入口に様式建築の装飾を集中させる点は特徴的である。施主の心意気を受けて施工されたこの建物は、金沢に残る数少ない昭和初期の名物建築として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101196/43967_101196111225010459536_300.jpg
101,00000404,旧陸軍第九師団司令部庁舎,きゅうりくぐんだいきゅうしだんしれいぶちょうしゃ,1棟,,登録有形文化財(建造物),その他,建築物,,明治,明治31,1898,木造2階建，瓦葺，建築面積275㎡,,17 － 0005,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,石川県,石川県金沢市出羽町7他,,石川県、金沢市,,,36.55990222000000,136.66383453000000,左右対称型の構成になり，正面のペディメントやピラスタ－，上下窓など簡素なルネサンス風の外観を見せる。明治期の庁舎建築の好例。旧金沢城内に建築されたが，昭和４５年に現在地に移築され，その際両翼の一部が切り縮められた。設計は，陸軍経理部。,https://bunka.nii.ac.jp/heritage/43967/_101394/43967_101394621471033165126_300.jpg
101,00000405,旧陸軍金沢偕行社,きゅうりくぐんかなざわかいこうしゃ,1棟,,登録有形文化財(建造物),その他,建築物,,明治,明治31,1898,木造2階建，瓦葺，建築面積282㎡,,17 － 0006,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,石川県,石川県金沢市出羽町7他,,石川県、金沢市,,,36.55976512000000,136.66358937000000,マンサ－ド風の屋根を持つ中央棟の左右に，寄棟の翼屋が付く構造になる。コリント式のピラスターやドーマー窓等バロック風の技巧的な装飾を用いた外観意匠は，全体として華やかで優れている。明治４２年に現在地に移築したと伝える。設計は，陸軍経理部。,https://bunka.nii.ac.jp/heritage/43967/_101395/43967_101395329466560986499_300.jpg
101,00001042,旧月田家住宅,きゅうつきたけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸時代末期,1830-1867,木造平屋建，鋼板葺，建築面積80㎡,,17 － 0007,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,国土の歴史的景観に寄与しているもの,,石川県,石川県加賀市大聖寺神明町10,,木谷友子,,,36.30272000000000,136.30770000000000,旧大聖寺藩下級武士の家で，旧藩邸（現錦城小学校）の南方，加賀神明宮などの社寺が集中する地区に建つ。木造平屋の簡素な武家住宅であるが，城下町における武家屋敷の佇まいを伝える数少ない遺構のひとつであり，城下町の空間構成を知るうえでも貴重。,https://bunka.nii.ac.jp/heritage/43967/_102032/43967_102032297595284055002_300.jpg
101,00001057,北前船主屋敷蔵六園（旧酒谷長一郎家住宅）主屋,きたまえせんしゅやしきぞうろくえん（きゅうさかやちょういちろうけじゅうたく）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治3頃,1870頃,木造２階建，瓦葺，建築面積369㎡,,17 － 0022,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,再現することが容易でないもの,,石川県,石川県加賀市橋立町ラ47,,,,,36.34900000000000,136.30960000000000,北前船の船主であった酒屋宗七郎の居宅として建築されたと伝える大規模な主屋である。敷地の中央にあり，木々の間にゆったりとした妻を見せて建つ。背後に離れ座敷及び隠居部屋が付属するが，主体部は伝統的な平面形態を踏襲する質の高い建物である。,https://bunka.nii.ac.jp/heritage/43967/_102047/43967_102047111225011426833_300.jpg
101,00001058,北前船主屋敷蔵六園（旧酒谷長一郎家住宅）土蔵１,きたまえせんしゅやしきぞうろくえん（きゅうさかやちょういちろうけじゅうたく）どぞういち,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23,1890,木造２階建，前室附属，瓦葺，建築面積30㎡,,17 － 0023,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,国土の歴史的景観に寄与しているもの,,石川県,石川県加賀市橋立町ラ47,,,,,36.34908000000000,136.30960000000000,主屋の背後に位置し，離れ座敷及び隠居部屋とも中庭を囲むように建つ小規模な土蔵。北妻側に出入口があり，庇屋根を架けて蔵前を造っている。主屋等とは廊下で繋がっているが，上部を白漆喰，下部をなまこ壁で仕上げる外観はひときわ目立つ存在となっている。,https://bunka.nii.ac.jp/heritage/43967/_102048/43967_102048111225011427343_300.jpg
101,00001059,北前船主屋敷蔵六園（旧酒谷長一郎家住宅）土蔵２,きたまえせんしゅやしきぞうろくえん（きゅうさかやちょういちろうけじゅうたく）どぞうに,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23,1890,木造２階建，瓦葺，建築面積20㎡,,17 － 0024,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,国土の歴史的景観に寄与しているもの,,石川県,石川県加賀市橋立町ラ47,,,,,36.34887000000000,136.30980000000000,主屋の東南に建つ２階建の美術品や道具を納めた土蔵。主屋とつながる蔵前（北・西面）には現在改造がみられるが，本体の主要部分の保存状況は良好である。道路沿いに妻を見せ，軒廻りは漆喰仕上げとするほかは竪板貼りとし屋敷構えの景観を整えている。,https://bunka.nii.ac.jp/heritage/43967/_102049/43967_102049111225011427849_300.jpg
101,00001060,北前船主屋敷蔵六園（旧酒谷長一郎家住宅）物置１・下男小屋,きたまえせんしゅやしきぞうろくえん（きゅうさかやちょういちろうけじゅうたく）ものおきいち・げなんごや,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正9,1920,木造平屋建，瓦葺，建築面積37㎡，袖塀3.9m附属,,17 － 0025,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,国土の歴史的景観に寄与しているもの,,石川県,石川県加賀市橋立町ラ47,,,,,36.34906000000000,136.31000000000000,主屋の建つ敷地の東面北側にあり，道路に接して建つ簡素な造りになる建屋。平面は，南半が土間及び居室からなる下男小屋で，西側は土庇となる。北半は内部を土間とする物置（もと炭小屋）であった。かつての生活の有様の一端を知る上で貴重な存在である。,https://bunka.nii.ac.jp/heritage/43967/_102050/43967_102050111225011429045_300.jpg
101,00001061,北前船主屋敷蔵六園（旧酒谷長一郎家住宅）土蔵３,きたまえせんしゅやしきぞうろくえん（きゅうさかやちょういちろうけじゅうたく）どぞうさん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治23,1890,木造２階建，瓦葺，建築面積26㎡,,17 － 0026,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,国土の歴史的景観に寄与しているもの,,石川県,石川県加賀市橋立町ラ47,,,,,36.34909000000000,136.31010000000000,主屋の建つ敷地の向かい側にある一連の土蔵群の北端にあり，道路に接する切石積みの基礎の上に建つ小規模の土蔵。南妻側に庇屋根を架け蔵前として出入口を設ける。家財道具を収納する蔵で，外観は軒廻りを除き竪板貼りとする標準的なつくりになる。,https://bunka.nii.ac.jp/heritage/43967/_102051/43967_102051111225011429543_300.jpg
