台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000042,小浜聖ルカ教会,おばませいるかきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治30／昭和6改造,1897／1931改造,煉瓦造・木造2階建、瓦葺、建築面積144㎡,,18 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,福井県,福井県小浜市千種2-14-3-1,,日本聖公会京都教区,,,35.50181897000000,135.74765567000000,明治30年に建設された煉瓦造の教会堂を昭和６年に改造し，煉瓦造の１階部に木造の礼拝堂が２階にのる形とした建物。改造時の設計はバーガミニー，施工は奈良の大木吉太郎である。両者は聖公会の教会を多く手がけたが，その作風をよく示した一例である。,https://bunka.nii.ac.jp/heritage/43967/_101032/43967_101032179149951496039_300.jpg
101,00000129,白鳥会館,しらとりかいかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治22,1889,木造2階建，瓦葺，建築面積59㎡,,18 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,再現することが容易でないもの,,福井県,福井県小浜市小浜白鳥25,,,,,35.49282000000000,135.73750000000000,明治２１年の大火後に，土蔵造で建築されたもので，元薬品製造販売に使われた店蔵である。正面の開口部廻りや腰壁等壁面の一部等に煉瓦を用いている。特に正面外観の花弁型の特殊煉瓦を使用して特異なアーチを形造る意匠は類例が少なく見応えがある。,https://bunka.nii.ac.jp/heritage/43967/_101119/43967_101119111225010413085_300.jpg
101,00000130,白鳥会館煉瓦塀,しらとりかいかんれんがべい,1基,,登録有形文化財(建造物),産業3次,その他工作,,明治,明治22,1889,煉瓦造，延長4.0m,,18 － 0003,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,福井県,福井県小浜市小浜白鳥25,,,,,35.49275000000000,135.73750000000000,店蔵と一体的に造られた煉瓦塀で，小規模ながら煉瓦積みの技術に見るべきものがある。店蔵の棟札に煉瓦工の名が記されており，手がけた職人の名が知られる。当時この地方で煉瓦工が職能として成立していたことを示すものとして，技術史上も意義が認められる。,https://bunka.nii.ac.jp/heritage/43967/_101120/43967_101120111225010413592_300.jpg
101,00000406,旧森田銀行本店,きゅうもりたぎんこうほんてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正8,1919,鉄筋コンクリート造2階建，建築面積163㎡,,18 － 0004,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,福井県,福井県坂井市三国町南本町3-217-2,,坂井市,,,36.21234000000000,136.15030000000000,鉄筋コンクリート造，２階建で，外壁に茶系タイルと擬石を張り，内外とも古典主義的な意匠でまとめる。内部は，１階が吹き抜けの営業室と個室，２階部分背後に会議室を置く。県内では初期の本格的な鉄筋コンクリート造建築で，質も高い。設計は，山田七五郎。,https://bunka.nii.ac.jp/heritage/43967/_101396/43967_101396111225010706229_300.jpg
101,00000429,恵美写真館洋館,えみしゃしんかんようかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治38,1905,木造2階建，瓦葺，建築面積42㎡,,18 － 0005,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,再現することが容易でないもの,,福井県,福井県鯖江市本町3-1-28,,,,,35.94668000000000,136.18610000000000,寄棟造，２階建の主体部に入母屋造の玄関ポーチを正面に付けた建物。全体的には和風になるが，玄関ポーチの開口部や軒廻りの装飾等に洋風の意匠を取り入れている。外壁は左官仕上で，各部の装飾等に優れた技能が発揮されている。左官は石動芳次郎がつとめた。,https://bunka.nii.ac.jp/heritage/43967/_101419/43967_101419111225010722090_300.jpg
101,00000430,恵美写真館表門,えみしゃしんかんおもてもん,1棟,,登録有形文化財(建造物),産業3次,その他工作,,明治,明治38,1905,木造薬医門，銅板葺,,18 － 0006,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,再現することが容易でないもの,,福井県,福井県鯖江市本町3-1-28,,,,,35.94661000000000,136.18620000000000,主屋の正面東方にあり，道路に面して建つ。伝統的な薬医門の形式をもつが，アーチ形の屋根，正面の虹梁等に洋風の意匠を取り入れた特異な形態の門。和風を基調にして要所に洋風を取り入れた意匠は，本館と共通する。,https://bunka.nii.ac.jp/heritage/43967/_101420/43967_101420111225010722354_300.jpg
101,00000726,平成大野屋本店洋館,へいせいおおのやほんてんようかん,1棟,,登録有形文化財(建造物),産業2次,建築物,,昭和前,昭和12,1937,木造２階建，瓦葺，建築面積426㎡,,18 － 0007,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,福井県,福井県大野市元町1-1,,大野市,,,35.98506000000000,136.48720000000000,大野織物工業協同組合の織物検査場として建設。絹織物の生産地として栄えた大野の町を象徴する建造物として親しまれている。織物検査室を真北に向け，北面に大きな連続窓を設けている点に特徴がある。設計は福井市の今藤仁三郎，施工は地元の山形甚吉。,https://bunka.nii.ac.jp/heritage/43967/_101716/43967_101716111225011102341_300.jpg
101,00000727,平成大野屋本店二階蔵,へいせいおおのやほんてんにかいぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治後期,1868-1911,木造２階建，瓦葺，建築面積164㎡,,18 － 0008,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,福井県,福井県大野市元町1-1,,大野市,,,35.98530000000000,136.48720000000000,敷地の北奥に位置する２階建の土蔵で，外壁を簓子下見貼とする。もと大七銀行所有の土蔵で，内部は欅材を用いた質実な造りとし，隣接する戦後の福井大地震後のブレース入り土蔵と対照をなす。織物検査場設備の一翼を担う建物として重要である。,https://bunka.nii.ac.jp/heritage/43967/_101717/43967_101717111225011104270_300.jpg
101,00000728,三宅区火の見やぐら,みやけくひのみやぐら,1棟,,登録有形文化財(建造物),生活関連,建築物,,江戸,江戸期,1615-1867,木造平屋建櫓附属，瓦葺，建築面積41㎡,,18 － 0009,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,福井県,福井県三方上中郡若狭町三宅66-26,,三宅区,,,35.45717000000000,135.86510000000000,若狭街道の通る三宅地区で，シンボル的な存在となっている火の見櫓。正側面とも３間の地蔵堂の東側屋根の南端に，南妻から延びる梯子を兼ねた主脚を利用して簡略な構造の櫓を載せる。農家の点在する地域にあって，その素朴な外観は広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101718/43967_101718111225011104786_300.jpg
101,00000729,三宅区火の見やぐら倉庫,みやけくひのみやぐらそうこ,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和初期,1926-1988,木造平屋建，瓦葺，建築面積40㎡,,18 － 0010,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,福井県,福井県三方上中郡若狭町三宅66-26,,三宅区,,,35.45710000000000,135.86500000000000,火の見櫓の載る地蔵堂の左側にあり，棟を直交する形で接続し南面して建つ切妻造，桟瓦葺の消防用等の小規模な倉庫。正面左手に出入り口を設け，間口一間半の大戸を引き戸とする。軒廻りを真壁とするほかは縦板貼りとする簡素な建屋として知られている。,https://bunka.nii.ac.jp/heritage/43967/_101719/43967_101719111225011105355_300.jpg
101,00001186,丈生幼稚園（旧福井県警察部庁舎）,じょうせいようちえん（きゅうふくいけんけいさつぶちょうしゃ）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,明治,明治32頃／大正13移築,1899頃／1924移築,木造２階建，瓦葺，建築面積231㎡,,18 － 0011,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,造形の規範となっているもの,,福井県,福井県越前市京町3-29-2,,学校法人引接寺学園,,,35.90424000000000,136.16250000000000,県警察部庁舎を福井市から移築して園舎としたもの。移築に際して玄関ポーチは平側中央に変更されているが、外観意匠は創建時の旧状をよく留める。擬洋風の残照を色濃く伝える遺構であるとともに望楼付き園舎として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_102176/43967_102176111225011548533_300.jpg
