台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000175,旧九州鉄道城山三連橋梁,きゅうきゅうしゅうてつどうきやまさんれんきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治22,1889,煉瓦造3連アーチ橋，延長24.5m，幅4.7m,,40 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県筑紫野市大字永岡,,筑紫野市,,,33.46610000000000,130.53610000000000,幅４．７ｍ，延長２４．５ｍの煉瓦造の三連アーチ橋梁で，アーチ橋としては中規模な遺構である。中央部のアーチ下は河川，両脇アーチ下が道路となっている。簡素な構成のアーチ橋であるが，九州で最も早い時期に造られた煉瓦造橋梁として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101165/43967_101165111225010440828_300.jpg
101,00000315,九州マクセル赤煉瓦記念館（旧三菱方城炭礦坑務工作室）,きゅうしゅうまくせるあかれんがきねんかん（きゅうみつびしほうじょうたんこうこうむこうさくしつ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,明治,明治37頃,1904頃,煉瓦造2階建塔屋付，スレート葺，建築面積297㎡,,40 － 0003,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県田川郡福智町伊方4680,,マクセル株式会社,,,33.68257000000000,130.79210000000000,明治３５年に開削に着手した方城炭礦の開発時の施設で，建設当初は扇風機室として利用された。煉瓦造，２階建で，通りに面した一部を３階建てとする。使用された煉瓦は炭礦開発のために特別に焼成したものと伝え，炭礦の往事の様子をよく示す施設である。,https://bunka.nii.ac.jp/heritage/43967/_101305/43967_101305091397832394424_300.jpg
101,00000490,旧三池炭鉱宮浦坑煙突,きゅうみいけたんこうみやうらこうえんとつ,1基,,登録有形文化財(建造物),産業1次,その他工作,,明治,明治21,1888,煉瓦造煙突，高さ31.2m，基部直径4.3m,,40 － 0004,8,1998.02.12(平成10.02.12),1998.01.16(平成10.01.16),,19980116,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県大牟田市西宮浦町132-8,,大牟田市,,,33.02903000000000,130.45480000000000,明治２０年に開削に着手した炭鉱に残る煉瓦造の円形煙突。蒸気動力のボイラーの排煙を目的に建設された。電化にともない多くの煙突が失われたため，三池炭鉱に現存する唯一の煙突となった。「炭鉱節」に唄われた三池炭鉱の煙突として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101480/43967_101480111225010800039_300.jpg
101,00001083,草野歴史資料館（旧草野銀行本店）,くさのれきししりょうかん（きゅうくさのぎんこうほんてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治44,1911,木造２階建，瓦葺，建築面積177㎡,,40 － 0005,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,造形の規範となっているもの,,福岡県,福岡県久留米市草野町草野411-1,,久留米市,,,33.31929000000000,130.63540000000000,久留米市の東部，旧御井郡の中心地として栄えた草野地区の地元銀行建築。木造平屋建，瓦葺寄棟屋根，下見板貼りの銀行店舗で，正面に千鳥破風の車寄ポーチを突き出す。門扉，鉄柵もよく遺されており，地方銀行の様子を今に伝える。,https://bunka.nii.ac.jp/heritage/43967/_102073/43967_102073111225011444309_300.jpg
101,00001084,山辺道文化館（旧中野病院）診療棟,やまべのみちぶんかかん（きゅうなかのびょういん）しんりょうとう,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正3頃,1914頃,木造２階建，瓦葺，建築面積270㎡,,40 － 0006,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,造形の規範となっているもの,,福岡県,福岡県久留米市草野町草野487-1,,久留米市,,,33.31816000000000,130.63330000000000,久留米市の東方，草野地区に建つ大型の病院建築。煉瓦造基礎，木造下見板貼りの左右対称形の建物で，正面中央部を２階建とし，玄関上部にバルコニーを設ける。２階寄棟屋根から前面に突き出したペディメントの蟇股大瓶束風の飾りはユニーク。,https://bunka.nii.ac.jp/heritage/43967/_102074/43967_102074111225011444571_300.jpg
101,00001085,山辺道文化館（旧中野病院）倉庫,やまべのみちぶんかかん（きゅうなかのびょういん）そうこ,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正3頃,1914頃,木造平屋建，瓦葺，建築面積26㎡,,40 － 0007,16,1999.03.12(平成11.03.12),1999.02.17(平成11.02.17),,19990217,,造形の規範となっているもの,,福岡県,福岡県久留米市草野町草野487-1,,久留米市,,,33.31809000000000,130.63310000000000,診療棟の背後，南西方に建つ木造平屋建，桟瓦葺，寄棟屋根の倉庫建物。診療棟と同様，下見板貼りで軒下と腰を縦羽目とする。北面の東端と南面の中央東寄りに出入口を設け，内開き窓の外側に外開きの１枚戸を付けて盗難避けとしている。,https://bunka.nii.ac.jp/heritage/43967/_102075/43967_102075111225011445084_300.jpg
101,00001148,北九州市旧大阪商船,きたきゅうしゅうしきゅうおおさかしょうせん,1棟,,登録有形文化財(建造物),交通,建築物,,大正,大正6,1917,木造一部コンクリート造２階建，建築面積670㎡,,40 － 0008,17,1999.07.19(平成11.07.19),1999.06.07(平成11.06.07),,19990607,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県北九州市門司区港町7-18,,北九州市,,,33.94612000000000,130.96220000000000,門司港のランドマークとして広く親しまれている。辰野式フリークラシックのセセッション化を一段と押し進めた作品としても知られる。設計は大阪建築士の草分け的存在である河合幾次。現在は市有化されて海事・イベント館として活用されている。,https://bunka.nii.ac.jp/heritage/43967/_102138/43967_102138111225011518785_300.jpg
101,00001149,草野歴史資料館（旧草野銀行本店）門,くさのれきししりょうかん（きゅうくさのぎんこうほんてん）もん,1基,,登録有形文化財(建造物),産業3次,その他工作,,明治,明治41,1908,石造，幅員2.9m，左右柵基壇18.7m附属,,40 － 0009,17,1999.07.19(平成11.07.19),1999.06.07(平成11.06.07),,19990607,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県久留米市草野町草野411-1,,久留米市,,,33.31942000000000,130.63530000000000,銀行本館の前庭を前面街路と側面街路に沿って鈎型に囲うもので、正面中央に正門、側面に通用門を設け、高欄風の石造土台の上に鉄柵を建てる。資料館開館（昭和５９年）にあたり復元された門扉と鉄柵は地方銀行におけるアプローチ空間の有様をよく伝える。,https://bunka.nii.ac.jp/heritage/43967/_132577/43967_132577111225011520697_300.jpg
101,00001308,門司区役所（旧門司市役所）,もじくやくしょ（きゅうもじしやくしょ）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和5,1930,鉄筋コンクリート造３階建，建築面積1854㎡,,40 － 0010,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,福岡県,福岡県北九州市門司区清滝1-1-1,,北九州市,,,33.94118000000000,130.95960000000000,門司港とJR門司港駅を見下ろす丘の上に建つ。玄関ポーチなどに装飾的要素を残すものの、全体としては無装飾のインターナショナルスタイルを基調とする。左右対称で建物の隅を曲線で処理しているのが特徴。設計は九州帝大建築課長であった倉田謙による。,https://bunka.nii.ac.jp/heritage/43967/_102298/43967_102298111225011701189_300.jpg
101,00001458,内田三連橋梁,うちださんれんきょうりょう,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治28,1895,煉瓦造3連アーチ橋、橋長17m、幅員12m,,40 － 0011,21,1999.12.02(平成11.12.02),1999.11.18(平成11.11.18),,19991118,,国土の歴史的景観に寄与しているもの,,福岡県,福岡県田川郡赤村大字内田1804-1他,,平成筑豊鉄道株式会社,,,33.62870000000000,130.86690000000000,筑豊地方の運炭鉄道網拡充のために設立された豊州鉄道株式会社が油須原－香春間に建設した橋長１７ｍの煉瓦造３連アーチ橋。上流側壁面には切石が貼られているが，下流側は複線化を考慮し凹凸をつけて煉瓦が積まれており，結果として装飾的になっている。,https://bunka.nii.ac.jp/heritage/43967/_102448/43967_102448111225011837582_300.jpg
