台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000021,向瀧玄関,むかいたきげんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正初年,1912-1925,木造2階建、瓦葺、建築面積636㎡,,07 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,福島県,福島県会津若松市東山町大字湯本字川向200,,株式会社向瀧,,,37.47807000000000,139.96100000000000,向瀧は江戸時代に「きつね湯」の愛称で親しまれた温泉保養所で，明治６年から旅館となった。玄関は，浴場「きつね湯」がある建物で，道路に面した大きな入母屋造の屋根や２階の大広間に特徴があり，会津東山温泉の歴史的景観を知る上で欠くことができない。,https://bunka.nii.ac.jp/heritage/43967/_101011/43967_101011111225010258611_300.jpg
101,00000022,向瀧はなれ,むかいたきはなれ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正初年,1912-1925,木造平屋建、瓦葺、建築面積103㎡,,07 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,福島県,福島県会津若松市東山町大字湯本字川向200,,株式会社向瀧,,,37.47789000000000,139.96080000000000,向瀧はなれは，玄関と同時に建設されたもので，工事は会津若松の棟梁本間辰五郎が手がけた。トコ・違棚を備えた本格的な書院造風の意匠になる続き間座敷をもった建物で，向瀧に残る各建物の規範となった建物である。,https://bunka.nii.ac.jp/heritage/43967/_101012/43967_101012111225010259089_300.jpg
101,00000023,向瀧客室棟（花月の間、梅の間他）,むかいたききゃくしつとう（かげつのま、うめのまほか）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治30代,1897-1906,木造2階建、瓦葺、建築面積248㎡,,07 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,福島県,福島県会津若松市東山町大字湯本字川向200,,株式会社向瀧,,,37.47819000000000,139.96060000000000,向瀧客室棟（花月の間，梅の間他）は，東京から棟梁を呼んでつくったと伝える建物で，書院造風の意匠をもつ客室には，地元の職人矢仲喜代八が作った建具が残る。当時の東京と会津の職人の技術水準の高さを示した建物の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101013/43967_101013111225010259682_300.jpg
101,00000024,向瀧客室棟（会議室、菊の間他）,むかいたききゃくしつとう（かいぎしつ、きくのまほか）,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和10頃,1935頃,木造3階建、瓦葺、建築面積360㎡,,07 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,福島県,福島県会津若松市東山町大字湯本字川向200,,株式会社向瀧,,,37.47806000000000,139.96050000000000,向瀧客室棟（会議室，菊の間他）は，客室棟（花月の間，梅の間他）とともに東京の棟梁の手になり，地元の職人が多くの造作を手がけたと伝える。数寄屋風の客間や洋風の会議室等の各室の意匠に特徴があり，当時の職人技術の水準を示した建物の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101014/43967_101014111225010302226_300.jpg
101,00000025,蛇の鼻御殿本館,じゃのはなごてんほんかん,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治末,1868-1911,木造2階建、鉄板葺、建築面積253㎡,,07 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,福島県,福島県本宮市本宮字蛇の鼻38,,株式会社伊東商事,,,37.51395000000000,140.37600000000000,８年の歳月をかけて建設されたと伝え，千鳥破風㎡唐破風を用いた外観，玄関の精緻な彫刻，内部の障壁画等に代表される華やかな意匠並びに各部に用いられた銘木・巨木等の材料に特徴がある。外観・内部ともに特異で類例が少ない建築物である。,https://bunka.nii.ac.jp/heritage/43967/_101015/43967_101015111225010302735_300.jpg
101,00000026,蛇の鼻御殿蔵座敷,じゃのはなごてんくらざしき,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治末,1868-1911,木造2階建、鉄板葺、建築面積43㎡,,07 － 0006,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,福島県,福島県本宮市本宮字蛇の鼻38,,株式会社伊東商事,,,37.51408000000000,140.37630000000000,土蔵造の建物で，内部を本館と同じく障壁画や銘木・巨木等の特殊な材料を用いた華やかな意匠で飾る。東北地方の邸宅でしばしばみられる土蔵の内部を座敷とする「蔵座敷」のひとつであり，なかでも内部が華やかな意匠をもつ優れたものとして注目できる。,https://bunka.nii.ac.jp/heritage/43967/_101016/43967_101016111225010303237_300.jpg
101,00000510,花水館奥の間（御殿）,かすいかんおくのま（ごてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治30,1897,木造平屋建，銅板葺，建築面積71㎡,,07 － 0008,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,再現することが容易でないもの,,福島県,福島県福島市飯坂町字西滝ノ町21,,株式会社聚楽,,,37.83459000000000,140.45230000000000,貴賓客が宿泊するための座敷で，旅館の中庭に建つ。１０畳間２室からなる室内は，柱や天井等の造作に良質な材料を用い，床の間等に銘木を用いる等，入念で優れた仕上げになる。平屋建ながら２重の銅板屋根を持つ外観はこの時代の特徴を示している。,https://bunka.nii.ac.jp/heritage/43967/_101500/43967_101500111225010812825_300.jpg
101,00000511,なかむらや旅館本館,なかむらやりょかんほんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,江戸,江戸末期,1830-1867,土蔵造３階建，瓦葺，建築面積209㎡,,07 － 0009,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,再現することが容易でないもの,,福島県,福島県福島市飯坂町字湯沢18,,,,,37.83214000000000,140.45230000000000,江戸時代に創業した旅館を現所有者の祖先が買い取り営業を続けたと伝える。創業時の施設と伝える本館は，外壁を土蔵造とする。外観には後世の改造がみられるが，３階を１・２階より小さくして安定感をもたせた重厚な姿は特異で，町中で特に目立つ存在である。,https://bunka.nii.ac.jp/heritage/43967/_101501/43967_101501111225010814430_300.jpg
101,00000512,なかむらや旅館新館,なかむらやりょかんしんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治29頃,1896頃,土蔵造３階建一部平屋建，瓦葺，建築面積78㎡,,07 － 0010,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,再現することが容易でないもの,,福島県,福島県福島市飯坂町字湯沢18,,,,,37.83226000000000,140.45230000000000,現所有者の祖先が営業を始め間もない頃の建築と伝える。本館と同じ土蔵造，木造３階建だが，全階平面が同大で２・３階が高く開放的な点は好対照をなす。本館とともに特異な外観で，人々の目を引く建物である。西側には旧土蔵(本館と同じ頃)が附属する。,https://bunka.nii.ac.jp/heritage/43967/_101502/43967_101502111225010814869_300.jpg
101,00000513,奥山家住宅主屋,おくやまけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正10,1921,木造平屋建，瓦葺，建築面積228㎡,,07 － 0011,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,再現することが容易でないもの,,福島県,福島県伊達郡国見町大字藤田字北11-2,,奥山合名会社,,,37.87606000000000,140.54440000000000,東西棟の座敷部と南側にある洋館との間をつなぐ南北棟の玄関部からなり，Ｌ字形の平面を持つ。木造平屋建，瓦葺の和風の意匠になり，洋館と好対照をなす。欄間彫刻や床の間建具の意匠等には優れた技能が発揮されている。,https://bunka.nii.ac.jp/heritage/43967/_101503/43967_101503111225010815384_300.jpg
101,00000514,奥山家住宅洋館,おくやまけじゅうたくようかん,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正10,1921,木造平屋建，スレート葺，建築面積106㎡,,07 － 0012,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,造形の規範となっているもの,,福島県,福島県伊達郡国見町大字藤田字北7-1,,奥山合名会社,,,37.87590000000000,140.54440000000000,主屋の南に建つ，南東隅に八角の塔屋を持つ木造平屋建の建物。外壁はタイル貼りで，窓廻りや腰下等の要所を石貼りとする。この地方では数少ない和洋両方の接客空間を備えた住宅建築で，主要な窓上部石材の幾何学的な形態等に時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101504/43967_101504111225010815810_300.jpg
101,00000515,細井家住宅主屋,ほそいけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,万延2,1861,木造平屋建，茅葺，建築面積246㎡,,07 － 0013,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,国土の歴史的景観に寄与しているもの,,福島県,福島県南会津郡南会津町静川字風下甲175,,,,,37.19780000000000,139.68530000000000,江戸時代後期に村名主を勤めた家で，町内きっての旧家として知られる大規模農家。開放的な外観，部屋境に差鴨居を多用すること，軒が比較的に低いこと等に時代の特徴があらわれている。現在直屋だが，もとは土間側に馬屋中門が取り付いていた。,https://bunka.nii.ac.jp/heritage/43967/_101505/43967_101505111225010816290_300.jpg
101,00000516,細井家住宅持仏堂,ほそいけじゅうたくじぶつどう,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保11,1840,土蔵造平屋建，鉄板葺，建築面積27㎡,,07 － 0014,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,国土の歴史的景観に寄与しているもの,,福島県,福島県南会津郡南会津町静川字風下甲175,,,,,37.19767000000000,139.68520000000000,主屋の南西，屋敷地の西端に建つ。如活禅師が当家に滞在した庵をその百年忌に改築し持仏堂にしたものと伝える。土蔵造で，内部に造作をつくる構えは一般の蔵座敷のつくりと同様である。如活禅師ゆかりの建物として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101506/43967_101506111225010817885_300.jpg
