台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000011,両関酒造本館,りょうぜきしゅぞうほんかん,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正12,1923,木造2階建、鉄板葺、建築面積215㎡,,05 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県湯沢市前森4-3-18,,両関酒造株式会社 伊藤雄太郎,,,39.17081000000000,140.49320000000000,両関酒造の全盛期に建てられた事務所併用住宅。住宅部分は平入だが，事務所部分は大屋根をかけて妻入とし，和小屋の骨組みを妻壁に露出して見せている。老舗の風格を表す意匠で，酒所・湯沢のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101001/43967_101001111225010251545_300.jpg
101,00000012,両関酒造１号蔵,りょうぜきしゅぞういちごうぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治25,1892,土蔵造2階建、屋根漆喰塗、建築面積178㎡,,05 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県湯沢市前森4-3-18,,両関酒造株式会社,,,39.17082000000000,140.49340000000000,桁行21.7m，梁間7.85mの２階建土蔵建築で，複数の壁付き側柱で肘木状の横材を支え，それによって桁から上の荷重を受ける独特の構法をとる。屋根・壁は漆喰仕上げである。棟札から明治25年建造であることがわかっており，両関酒造の中で最も古い建築である。,https://bunka.nii.ac.jp/heritage/43967/_101002/43967_101002111225010252046_300.jpg
101,00000013,両関酒造２号蔵,りょうぜきしゅぞうにごうぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治41,1908,土蔵造2階建、屋根漆喰塗、建築面積416㎡,,05 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県湯沢市前森4-3-18,,両関酒造株式会社,,,39.17093000000000,140.49350000000000,桁行56.04m，梁間7.86の土蔵蔵であり，構造的には１号蔵と同様であるが，規模はこちらの方が大きい。昭和39年にエポキシ樹脂製のタンクを収容するために，２階の床面を高くしている。本館とともに酒造で知られる土地柄を今に伝える建造物である。,https://bunka.nii.ac.jp/heritage/43967/_101003/43967_101003111225010252557_300.jpg
101,00000014,両関酒造３号蔵,りょうぜきしゅぞうさんごうぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正初期,1912-1925,土蔵造2階建、屋根漆喰塗、建築面積224㎡,,05 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県湯沢市前森4-3-18,,両関酒造株式会社,,,39.17104000000000,140.49350000000000,この蔵のみ棟札が無く年代が確定していないが，構造形式等から見て２号蔵とほぼ同時期の建築と思われる。酒蔵は全てを洋小屋の大屋根で覆っているが，これは保温・除雪に有利なためである。本館とともに酒造で知られる土地柄を今に伝える建造物である。,https://bunka.nii.ac.jp/heritage/43967/_101004/43967_101004111225010253069_300.jpg
101,00000015,両関酒造４号蔵,りょうぜきしゅぞうよんごうぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正5,1916,土蔵造2階建、屋根漆喰塗、建築面積297㎡,,05 － 0005,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県湯沢市前森4-3-18,,両関酒造株式会社,,,39.17084000000000,140.49360000000000,この蔵は建設当初から貯蔵蔵として設計され，使用されてきた。他の蔵と同じく土蔵蔵・和小屋であるが，梁間が広く，加工形式が若干異なっている。本館とともに酒造で知られる土地柄を今に伝える建造物である。,https://bunka.nii.ac.jp/heritage/43967/_101005/43967_101005111225010254389_300.jpg
101,00000016,渡辺彦兵衛商店事務所・住宅,わたなべひこべえしょうてんじむしょ・じゅうたく,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正14,1925,木造平屋建、鉄板葺、建築面積241㎡,,05 － 0006,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,秋田県,秋田県南秋田郡五城目町字下夕町48,,株式会社渡辺彦兵衛商店,,,39.94417000000000,140.11920000000000,通りに面する寄棟造妻入の店舗部分と，奥の座敷部分から成る。店舗は通りニワ形式をとり，表から事務室・８畳・居間と並ぶ。座敷部は内玄関をともなう４間取りと８畳からなる平面で，特に奥座敷は庭の眺めもふくめて和風住宅の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101006/43967_101006111225010254892_300.jpg
101,00000017,渡辺彦兵衛商店上蔵,わたなべひこべえしょうてんかみぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,18世紀末,1701-1800,土蔵造平屋建、鉄板葺、建築面積284㎡,,05 － 0007,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県南秋田郡五城目町字下夕町48,,株式会社渡辺彦兵衛商店,,,39.94423000000000,140.11890000000000,下蔵とともに大正期の大火に焼け残った建物である。内部の立登せ柱は２間半毎，垂木は３尺間隔であり，単純にして豪快な架構法と太い部材が力強い印象を与えている。事務所・住宅棟と共に酒造りで知られた町並みのランドマークとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101007/43967_101007111225010255390_300.jpg
101,00000018,渡辺彦兵衛商店下蔵,わたなべひこべえしょうてんしもぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,江戸,19世紀初期,1801-1900,土蔵造平屋建、鉄板葺、建築面積254㎡,,05 － 0008,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県南秋田郡五城目町字下夕町48,,株式会社渡辺彦兵衛商店,,,39.94450000000000,140.11860000000000,上蔵とともに大正期の大火に焼け残った建物である。規模や外壁の意匠は上蔵とほぼ同一であるが，構造的には若干の差があり，上蔵よりやや建築年代が下るものと考えられる。事務所・住宅棟と共に酒造りで知られる町並みのランドマークとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101008/43967_101008111225010255896_300.jpg
101,00000116,鈴木家住宅主屋,すずきけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,元治元,1864,木造平屋建，鉄板葺，建築面積256㎡,,05 － 0009,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,再現することが容易でないもの,,秋田県,秋田県横手市塚堀114,,,,,39.33139000000000,140.51030000000000,この地方に多い喰違い四間取の平面を保つ切妻造，前後庇付きの比較的規模の大きな住宅で，妻は小屋構造を化粧で表す。座敷廻りの差物の架構は特異で，特に奥座敷に見られる柱を省略するＴ字型の架構の技術は高度で，見るべきものがある。,https://bunka.nii.ac.jp/heritage/43967/_101106/43967_101106140905092352084_300.jpg
101,00000181,平源旅館本店,ひらげんりょかんほんてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正15,1926,木造2階建，鋼板葺，建築面積675㎡,,05 － 0013,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,造形の規範となっているもの,,秋田県,秋田県横手市大町6-24,,有限会社伊藤剛商店,,,39.31540000000000,140.56860000000000,旧街道に面して建つ旅館で、皇族が宿泊するなど高い格式を誇る。外観は洋風であるが、内装のほとんどは和風である。意匠ではなく部材の取り扱いで格を示す内装や、玄関部やトイレなどのタイルの意匠、ファサード廻りの装飾などが特に優れている。,https://bunka.nii.ac.jp/heritage/43967/_101171/43967_101171111225010444204_300.jpg
101,00000182,平源旅館土蔵,ひらげんりょかんどぞう,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正15以前,1926以前,土蔵造2階建，鋼板葺，建築面積81㎡,,05 － 0014,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県横手市大町6-24,,有限会社伊藤剛商店,,,39.31522000000000,140.56850000000000,本館の脇に、同じく街道に面して建つ土蔵である。大正15年の火災に際して本館は焼失したが、この土蔵は難を逃れた。腰の部分を石張とする外観が特徴的であり、洋風の本館部分と好対照をなす。大火以前の横手の様子を今日に伝える建物として価値がある。,https://bunka.nii.ac.jp/heritage/43967/_101172/43967_101172111225010445124_300.jpg
101,00000558,旧角館製糸工場,きゅうかくのだてせいしこうじょう,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治45,1912,木造平屋建，鉄板葺，建築面積240㎡,,05 － 0015,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,秋田県,秋田県仙北市角館町田町下丁14-3,,,,,39.59068000000000,140.56520000000000,桁行18間，梁間４間の木造平屋建製糸工場。大正５年頃と昭和40年代後半に移築され，現在では倉庫として利用されている。採光と換気のために越し屋根や壁面上部に開口部を設ける点が特徴で，角館の製糸の歴史を今に伝える建物として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101548/43967_101548111225010845204_300.jpg
101,00000610,斎彌酒造店住宅・店舗,さいやしゅぞうてんじゅうたく・てんぽ,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治35頃,1902頃,木造２階建，瓦葺一部銅板葺，建築面積366㎡,,05 － 0016,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,再現することが容易でないもの,,秋田県,秋田県由利本荘市石脇字石脇53,,株式会社斎彌酒造店,,,39.39627000000000,140.04990000000000,店舗は，道路に面して庇を差し出すなど基本的には大規模町家と似た構成になるが，２階に洋風のデザインを取り入れるなどその意匠は独特である。店舗の東に庭を囲うように建つ住宅の外観は和風の意匠で，店舗と好対照をなす。,https://bunka.nii.ac.jp/heritage/43967/_101600/43967_101600111225010914884_300.jpg
