台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000029,群馬県庁本庁舎,ぐんまけんちょうほんちょうしゃ,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和3,1928,鉄筋コンクリート造地上3階地下1階建、建築面積2019㎡,,10 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,群馬県,群馬県前橋市大手町1-1-1,,群馬県,,,36.39118000000000,139.06080000000000,鉄筋コンクリート造３階建。外壁は１階部分を石張り，２・３階をスクラッチタイル張りとする。玄関正面は，半円アーチを軸に構成された車寄せになる。佐藤功一設計になる昭和初期における庁舎建築の規範的な作品として知られる。,https://bunka.nii.ac.jp/heritage/43967/_101019/43967_101019111225010304300_300.jpg
101,00000030,群馬会館,ぐんまかいかん,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和4,1929,鉄筋コンクリート造地上4階地下1階建、建築面積1319㎡,,10 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,群馬県,群馬県前橋市大手町2-1-1,,群馬県,,,36.39107000000000,139.06220000000000,県庁の向かい側に位置する群馬会館は，設計者も県庁舎と同じく佐藤功一。外観の意匠も１階部分を石造仕上げ，２階以上をスクラッチタイル張りとし，全体を重厚なルネッサンス様式とする作品である。昭和５７年に内部改修され公会堂として利用されている。,https://bunka.nii.ac.jp/heritage/43967/_101020/43967_101020111225010305893_300.jpg
101,00000031,前橋市水道資料館（旧浄水構場事務所）,まえばししすいどうしりょうかん（きゅうじょうすいこうじょうじむしょ）,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和4,1929,鉄筋コンクリート造2階建、瓦葺、建築面積183㎡,,10 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県前橋市敷島町216,,前橋市水道局,,,36.41476000000000,139.05440000000000,鉄筋コンクリート造２階建で，瓦葺の屋根と物見等の部分は，木造の小屋組となる。妻の片方を平面屋根とも半円形とし，２階窓枠や屋根の小窓を半円形とする特色ある外観は，広く親しまれている。平成元年度に内部を改修し，水道資料館として開館した。,https://bunka.nii.ac.jp/heritage/43967/_101021/43967_101021111225010306392_300.jpg
101,00000032,前橋市浄水場配水塔,まえばししじょうすいじょうはいすいとう,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和4,1929,鉄骨造、高さ37.4m,,10 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県前橋市敷島町216,,前橋市水道局,,,36.41510000000000,139.05450000000000,水道資料館に近接して建つ。給水塔は鉄骨造で，環状体の鉄筋コンクリート基礎に八本のラチス柱を立て水槽を支える構造になる。水槽は鋼鉄板製で，外側を断熱材で巻き更に銅板で覆っている。高さ３７．４ｍあり，地域のランドマークとなっている。,https://bunka.nii.ac.jp/heritage/43967/_101022/43967_101022111225010306894_300.jpg
101,00000123,桐生織物会館旧館,きりゅうおりものかいかんきゅうかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和9,1934,木造2階建，瓦葺，建築面積833㎡,,10 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,群馬県,群馬県桐生市永楽町1184-4,,財団法人桐生織物会館,,,36.41292000000000,139.33660000000000,桐生織物協同組合の事務所として建築された木造２階の建物で，設計は群馬県土木課営繕係。外壁をスクラッチタイル張りとし，屋根は静緑色の瓦を葺くなど洋風の装いになる。整然とした配置の窓やなど，昭和期における生産管理関係の事務所の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101113/43967_101113111225010408987_300.jpg
101,00000187,積善館山荘,せきぜんかんさんそう,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和11,1936,木造2階建，鉄板葺，建築面積490㎡,,10 － 0008,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県吾妻郡中之条町大字四万4236-1,,,,,36.68633000000000,138.77340000000000,四万温泉の老舗旅館の宿泊施設の一つで、前新とともに昭和初期の建築。本館の背後に建ち、木造２階建て、平面は突出した中央部を中心に左右対称の入母屋の屋根をつける変化に富んだ構成になる。施工の地元の職人の手になり、床廻りの意匠が特徴的である。,https://bunka.nii.ac.jp/heritage/43967/_101177/43967_101177111225010448806_300.jpg
101,00000331,水道資料館（元宿浄水場旧事務所）,すいどうしりょうかん（もとじゅくじょうすいじょうきゅうじむしょ）,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造平屋建，建築面積122㎡,,10 － 0010,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県桐生市元宿町14-37,,桐生市,,,36.41153000000000,139.32560000000000,桐生市の水道施設は，大正期に計画し，関東大震災の影響による一時延期の後，昭和になり再び調査を開始，昭和５年９月に工事に着手，７年４月に通水を開始している。旧事務所は浄水場敷地の東北隅に建ち，現在水道資料館と使用され広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101321/43967_101321111225010617229_300.jpg
101,00000332,元宿浄水場喞筒室,もとじゅくじょうすいじょうぽんぷしつ,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造平屋建，建築面積280㎡,,10 － 0011,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県桐生市元宿町14-37,,桐生市,,,36.41141000000000,139.32520000000000,旧事務所の西南に建つ鉄筋コンクリート造，平屋建の施設。旧事務所と類似した意匠になる建物で，縦長の窓や柱形を使うことによって垂直線を強調した外観，外壁のスクラッチタイル，入口庇の装飾等に時代の特徴がよくあらわれている。,https://bunka.nii.ac.jp/heritage/43967/_101322/43967_101322111225010618645_300.jpg
101,00000333,元宿浄水場急速濾過場,もとじゅくじょうすいじょうきゅうそくろかじょう,1棟,,登録有形文化財(建造物),生活関連,建築物,,昭和前,昭和7,1932,鉄筋コンクリート造平屋建，建築面積190㎡,,10 － 0012,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県桐生市元宿町14-37,,桐生市,,,36.41167000000000,139.32500000000000,喞筒（ポンプ）場の西北に建つ。旧事務所・喞筒場と類似する意匠になるが，スクラッチタイルを用いない点が異なる。入口のある中央部に向かって順次高く前方に出る形にして，中央部を強調した左右対称のひときわ目立つ特異な外観に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_101323/43967_101323111225010619145_300.jpg
101,00000334,元宿浄水場調整池,もとじゅくじょうすいじょうちょうせいち,1基,,登録有形文化財(建造物),生活関連,その他工作,,昭和前,昭和7,1932,鉄筋コンクリート造，幅15.2m，長さ21.1m,,10 － 0013,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,群馬県,群馬県桐生市元宿町14-37,,桐生市,,,36.41129000000000,139.32530000000000,喞筒場の東にある。正面１５．２ｍ，側面２１．１ｍ，深さ３．０ｍで，東北隅に石造の階段があり，上部に換気口等を均等に配列する。旧事務所，喞筒場等と同時期に建設されたもので，桐生市の生活の近代化を示す施設のひとつである。,https://bunka.nii.ac.jp/heritage/43967/_101324/43967_101324111225010619644_300.jpg
