台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000027,茨城県立水戸商業高等学校旧本館玄関,いばらぎけんりつみとしょうぎょうこうとうがっこうきゅうほんかんげんかん,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治37,1904,木造平屋建、銅板葺、建築面積350㎡,,08 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,茨城県,茨城県水戸市新荘３-７-２,,茨城県,,,36.38717000000000,140.45450000000000,明治36年に着工し翌年竣工した校舎の玄関部分。設計は茨城県技師駒杵勤治で，施工は大倉土木である。ベルサイユ宮殿を模したと伝え，屋根・柱の形態や石貼りの外壁にその特徴があらわれている。茨城県に多くの作品を残した駒杵勤治の模範的作品のひとつ。,https://bunka.nii.ac.jp/heritage/43967/_101017/43967_101017111225010303568_300.jpg
101,00000028,水戸市水道低区配水塔,みとしすいどうていくはいすいとう,1棟,,登録有形文化財(建造物),生活関連,その他工作物,,昭和前,昭和7,1932,鉄筋コンクリート造、高さ21.6m、直径11.2m,,08 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,茨城県,茨城県水戸市北見町126-14,,水戸市,,,36.37833000000000,140.47560000000000,水戸市街の低地部分に給水を行うために建設された配水塔。設計は水道技師後藤鶴松で工事は市の直営で行われた。２階塔屋部の壁面にある浮彫彫刻や１階入口の装飾等に特徴があり，建設直後に既に水戸市の新名所として評判になる等，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101018/43967_101018474362365610172_300.jpg
101,00000383,二水会館（旧水海道町役場）,にすいかいかん（きゅうみつかいどうまちやくば）,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,大正,大正2,1913,木造平屋建，瓦葺，建築面積109㎡,,08 － 0003,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,茨城県,茨城県常総市水海道天満町1606,,水海道市,,,36.01741000000000,139.98750000000000,大正初期の地方官庁建築の好例で，左右対称型になる構成は時代の特徴をよく表している。木造平屋建であるが，外観は２階建風につくる。設計は大工棟梁上高金四郎，施工請負は皆葉浦之助。昭和59年現在地に移築され，図書館の付属施設として保存された。,https://bunka.nii.ac.jp/heritage/43967/_101373/43967_101373111225010649995_300.jpg
101,00000811,篆刻美術館表蔵棟（旧平野家表蔵棟）,てんこくびじゅつかんおもてぐらとう（きゅうひらのけおもてぐらとう）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正9,1920,石造３階建，瓦葺，建築面積29㎡,,08 － 0004,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,茨城県,茨城県古河市中央町2-4-18,,,,,36.19470000000000,139.70280000000000,大谷石を用いた三階建の小規模な蔵で，妻側に独特の意匠の開口部を設ける。商店街の象徴的な建物として知られ，内部は１階のみ本格的な洋間とする。道路拡幅のため，近年曳屋され展示館として再生され，３階部分は吹抜けとし小屋組を見せる等改修された。,https://bunka.nii.ac.jp/heritage/43967/_101801/43967_101801111225011204589_300.jpg
101,00000812,篆刻美術館裏蔵棟（旧平野家裏蔵棟）,てんこくびじゅつかんうらぐらとう（きゅうひらのけうらぐらとう）,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正9,1920,石造２階建，瓦葺，建築面積66㎡,,08 － 0005,14,1998.10.26(平成10.10.26),1998.10.09(平成10.10.09),,19981009,,国土の歴史的景観に寄与しているもの,,茨城県,茨城県古河市中央町2-4-18,,,,,36.19455000000000,139.70280000000000,表蔵棟の南にあって，中庭を挟んで建つ標準的な切妻造，２階建の石蔵。内部は１階が２室に区分されるが，２階は１室としキングポストの小屋組を見せる。表蔵とも展示棟として改修され，裏蔵の前後に事務棟や土庇が接続し，棟には明かり取りの越屋根が付く。,https://bunka.nii.ac.jp/heritage/43967/_101802/43967_101802111225011205093_300.jpg
101,00001165,旧共楽館（日立武道館）,きゅうきょうらくかん（ひたちぶどうかん）,1棟,,登録有形文化財(建造物),文化福祉,建築物,,大正,大正6,1917,木造２階建，鉄板葺，建築面積1200㎡,,08 － 0006,18,1999.07.21(平成11.07.21),1999.07.08(平成11.07.08),,19990708,,国土の歴史的景観に寄与しているもの,,茨城県,茨城県日立市白銀町2-21-15,,日立市,,,36.61150000000000,140.64550000000000,日立鉱山が従業員や地域住民のために建設した大規模な妻入の劇場で、歌舞伎座（東京）を模したといわれる。正面入り口の左右に２階建、唐破風屋根の階段室が附属する。内部は、屋内体育館として改造されているが、堂々たる外観は地域の象徴ともなっている。,https://bunka.nii.ac.jp/heritage/43967/_102155/43967_102155111225011531571_300.jpg
101,00001234,荒川家住宅主屋,あらかわけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和8,1933,木造３階建，瓦葺，建築面積139㎡,,08 － 0007,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,茨城県,茨城県筑西市甲868,,,,,36.31118000000000,139.98070000000000,下館の中心街である田町の国道沿いに南面して建つ荒七酒店の住宅部。木造３階建、モルタル塗のアール・デコ調の洋館であるが、３階の屋根は宝形屋根とし帝冠様式的雰囲気をも感じさせる特異な外観意匠をもつ。通りのランドマークにもなっている。,https://bunka.nii.ac.jp/heritage/43967/_102224/43967_102224111225011623215_300.jpg
101,00001235,荒川家住宅店蔵,あらかわけじゅうたくみせぐら,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治40,1907,土蔵造２階建，瓦葺，建築面積99㎡,,08 － 0008,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,茨城県,茨城県筑西市甲868,,,,,36.31118000000000,139.98080000000000,３階建洋館の東に隣接して建つ土蔵造２階建、桟瓦葺、東西棟で平入の店舗。間口５間半、奥行３間で、正面前面に１間分の下屋を差出す。２階正面は左右の戸袋部を除いて開口とし開放性の強いつくりとする。明治期商店街の様子を伝えていることで貴重。,https://bunka.nii.ac.jp/heritage/43967/_102225/43967_102225111225011623479_300.jpg
101,00001236,荒川家住宅付属屋,あらかわけじゅうたくふぞくや,1棟,,登録有形文化財(建造物),住宅,建築物,,大正,大正初期,1912-1925,木造平屋建，瓦葺，建築面積50㎡,,08 － 0009,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,茨城県,茨城県筑西市甲868,,,,,36.31129000000000,139.98070000000000,３階建洋館の北方背後につながる平屋建、桟瓦葺、寄棟屋根の建物で、店蔵の改築に引き続いて既存の内蔵とをつなぐかたちで建てられた奥座敷。中庭にむけて鉄板葺の庇を差出して座敷回りに廊下をめぐらす。屋敷構えの形成過程を物語る建物とすることができる。,https://bunka.nii.ac.jp/heritage/43967/_102226/43967_102226111225011623737_300.jpg
101,00001237,荒川家住宅内蔵,あらかわけじゅうたくうちぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初,1868,土蔵造２階建，瓦葺，建築面積50㎡,,08 － 0010,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,再現することが容易でないもの,,茨城県,茨城県筑西市甲868,,,,,36.31132000000000,139.98070000000000,奥座敷としての付属屋の背後に位置する南北棟、桟瓦葺切妻屋根、２階建の土蔵。桁行四間、梁間三間の妻入の蔵で、南面に黒漆喰塗の観音扉を付け、奥座敷の廊下を蔵前とする。奥座敷側の壁面は松と鶴の鏝絵仕上げとするなど丁寧な造りの蔵になる。,https://bunka.nii.ac.jp/heritage/43967/_102227/43967_102227111225011623998_300.jpg
