台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000276,宮地嶽八幡神社陶器製鳥居,みやじだけはちまんじんじゃとうきせいとりい,1基,,登録有形文化財(建造物),宗教,その他工作,,明治,明治21,1888,陶器製，高さ3.5m，幅4.3m,,42 － 0001,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,再現することが容易でないもの,,長崎県,長崎県長崎市八幡町8-6,,宮地嶽八幡神社,,,32.75072000000000,129.88510000000000,有田磁窯による大型細工でつくられた鳥居。親柱部分に残る銘によって製造人が岩尾久吉，角物細工人が金ヶ江長作，丸物細工人が峰熊一であることが判明する。有田に製作者が同一のものがひとつあるが，他に類例がない稀少的な存在である。,https://bunka.nii.ac.jp/heritage/43967/_101266/43967_101266111225010545019_300.jpg
101,00000369,佐藤家住宅主屋,さとうけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治32頃,1899頃,木造2階建，瓦葺，建築面積106㎡,,42 － 0002,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,長崎県,長崎県長崎市西泊町66,,,,,32.73188000000000,129.84900000000000,佐藤家住宅は，長崎湾西側の海岸近くに位置する。東西方向の道路に北面する主屋は，木造２階建で立ちが高い。隣地境界に接する東側に煉瓦造の防火壁を立ち上げる点に特徴がある。伝統的な木造に煉瓦造を巧みに取り入れた珍しい明治中期の住宅建築である。,https://bunka.nii.ac.jp/heritage/43967/_101359/43967_101359111225010639861_300.jpg
101,00000370,佐藤家住宅木造別棟,さとうけじゅうたくもくぞうべっとう,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期,1868-1911,木造2階建，瓦葺，建築面積26㎡,,42 － 0003,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,長崎県,長崎県長崎市西泊町66,,,,,32.73180000000000,129.84910000000000,主屋の南方に建つ離れ。石造の１階部分の上に木造の２階部分がのる形の建物。太い柱梁を用いる主屋とは対照的に木割りの細い部材を用いた数寄屋風の意匠になる。石造になる数少ない住宅建築であり，用いられた石材の風化等から明治初期の建設と推定される。,https://bunka.nii.ac.jp/heritage/43967/_101360/43967_101360111225010641324_300.jpg
101,00000371,佐藤家住宅木造附属屋,さとうけじゅうたくもくぞうふぞくや,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治32頃,1899頃,木造平屋建，瓦葺，建築面積17㎡，袖塀附属,,42 － 0004,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,長崎県,長崎県長崎市西泊町66,,,,,32.73181000000000,129.84890000000000,主屋の南西にあり，南北方向の道路に西面する。石塀付の木造平屋建で，南にある石造倉庫Ｂと主屋をつなぐ蔵前の役割を果たしている。東西の外壁を煉瓦造の防火壁とする。防火壁に用いられた煉瓦や木材の風化等から主屋と同時期に建設されたものと推定される。,https://bunka.nii.ac.jp/heritage/43967/_101361/43967_101361111225010641847_300.jpg
101,00000372,佐藤家住宅石造倉庫Ａ,さとうけじゅうたくせきぞうそうこえー,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治初期,1868-1911,石造2階建，瓦葺，建築面積26㎡,,42 － 0005,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,長崎県,長崎県長崎市西泊町66,,,,,32.73186000000000,129.84880000000000,主屋の西にあり，南北方向の道路が東西方向の道路に突き当たる３叉路に面する。砂岩を積んで外壁とし，軒蛇腹と妻壁には扁平な形状の「コンニャク煉瓦」とよばれる煉瓦を積む。コンニャク煉瓦を用いた数少ない住宅建築の附属建物として注目される。,https://bunka.nii.ac.jp/heritage/43967/_101362/43967_101362111225010642364_300.jpg
101,00000373,佐藤家住宅石造倉庫Ｂ,さとうけじゅうたくせきぞうそうこびー,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治32頃,1899頃,石造2階建，瓦葺，建築面積33㎡,,42 － 0006,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,再現することが容易でないもの,,長崎県,長崎県長崎市西泊町66,,,,,32.73176000000000,129.84900000000000,木造附属屋の南にあり，南北方向の道路に面する。形式は石造倉庫Ａと類似するが，煉瓦の形や砂岩の風化等から主屋と同時期の建設と推定される。幕末から明治中期に居留地で多くつくられたがほとんど現存しない石造倉庫の様子を示す遺構として注目に値する。,https://bunka.nii.ac.jp/heritage/43967/_101363/43967_101363111225010642875_300.jpg
101,00000420,佐世保市民文化ホール（旧海軍佐世保鎮守府凱旋記念館）,させぼしみんぶんかほーる（きゅうかいぐんさせぼちんじゅふがいせんきねんかん）,1棟,,登録有形文化財(建造物),その他,建築物,,大正,大正12,1923,鉄筋コンクリート造2階建，鉄板葺，建築面積826㎡,,42 － 0007,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,国土の歴史的景観に寄与しているもの,,長崎県,長崎県佐世保市平瀬町２,,佐世保市,,,33.17374000000000,129.71490000000000,第１次世界大戦の鎮守府所属艦船の武勲をたたえるため，九州・四国各県の寄付で建設された。鉄筋コンクリート造２階建で，妻を正面にみせた左右対称の外観，１・２階を通した柱，幾何学的な装飾等に特徴がある。海軍ゆかりの町の象徴として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101410/43967_101410111225010715046_300.jpg
101,00001021,池上家住宅,いけがみけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治20代末,1887-1896,木造２階建，瓦葺，建築面積95㎡,,42 － 0009,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,国土の歴史的景観に寄与しているもの,,長崎県,長崎県長崎市大浦町23-10,,,,,32.73628000000000,129.87220000000000,当初英国の貿易商の住宅として建築されたと伝える，下見板張の洋風建築。平面は中央に廊下と階段のある玄関部を置き左右に対称形に居室を配する型式になる。２階は前面にベランダを設けるなど標準的な明治中期の洋風住宅で，長崎らしさを伝えている。,https://bunka.nii.ac.jp/heritage/43967/_102011/43967_102011111225011412972_300.jpg
101,00002101,馬込教会,まごめきょうかい,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和6,1931,鉄筋コンクリート造平屋建、瓦葺、建築面積340㎡,,42 － 0010,27,2000.12.20(平成12.12.20),2000.12.04(平成12.12.04),,20001204,,国土の歴史的景観に寄与しているもの,,長崎県,長崎県長崎市伊王島町2-617,,カトリック長崎大司教区,,,32.69752000000000,129.78160000000000,長崎湾西方に浮かぶ伊王島南部の沖之島地区に建つ３廊式の教会堂で，外部は重層屋根，内部は３層構成，８分割リブ・ヴォールト天井とし，正面をバットレス，尖塔，ピナクル等で賑やかに飾る。地元大工棟梁の工夫の跡が随所に窺われる初期ＲＣ造教会堂建築。,https://bunka.nii.ac.jp/heritage/43967/_103091/43967_103091111225012536413_300.jpg
101,00002726,日見トンネル,ひみとんねる,1基,,登録有形文化財(建造物),交通,土木構造物,,大正,大正15,1926,コンクリート造、延長642m、幅員7.4m,,42 － 0011,32,2002.03.12(平成14.03.12),2002.02.14(平成14.02.14),,20020214,,国土の歴史的景観に寄与しているもの,,長崎県,長崎県長崎市本河内町～芒塚町,,国（国土交通省）,,,32.75291000000000,129.91970000000000,市東部，長崎の陸路表口・日見峠に穿たれた道路隧道。石張アーチ環で囲まれた馬蹄形坑口を有す２車線仕様のコンクリート造構造物で，目地を彫込んだ壁面とピラスター等で装飾的な坑門を両端に構える。幹線道路ながら近代の道路景観をなお今に伝えている。,https://bunka.nii.ac.jp/heritage/43967/_103716/43967_103716111225013204110_300.jpg
