台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000047,中央印刷社屋（旧片倉組事務所）,ちゅうおういんさつしゃおく（きゅうかたくらぐみじむしょ）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治43,1910,木造2階建、銅板葺、建築面積335㎡,,20 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,長野県,長野県岡谷市川岸1-1-20,,中央印刷株式会社,,,36.05332000000000,138.03450000000000,日本を代表する製糸業者であった片倉組の本社屋として建設され，その後系列会社に引き継がれて今日に至っている。人造石の柱型に煉瓦の壁面を組み合わせた外観や，洋風を基本に和風のモチーフを巧みに取り込んだ内部が特徴的である。,https://bunka.nii.ac.jp/heritage/43967/_101037/43967_101037111225010319108_300.jpg
101,00000135,上田蚕種協業組合事務棟,うえださんしゅきょうぎょうくみあいじむとう,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正6頃,1917頃,木造2階建，瓦葺，建築面積764㎡,,20 － 0003,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,長野県,長野県上田市常田3-300,,上田蚕種株式会社,,,36.39479000000000,138.26070000000000,大正６年に発足した前身の上田蚕種株式会社の時に建設された，木造，二階建，瓦葺のＴ字型の事務所。外観は，下見板張りを基本とし，正面は左右対称型で，２階窓にペディメントを付けた端正な意匠に仕上げる。養蚕業で栄えた地域のシンボル的な建物である。,https://bunka.nii.ac.jp/heritage/43967/_101125/43967_101125111225010418085_300.jpg
101,00000210,藤屋旅館,ふじやりょかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,木造3階建，建築面積967㎡,,20 － 0004,3,1997.06.24(平成9.06.24),1997.06.12(平成9.06.12),,19970612,,国土の歴史的景観に寄与しているもの,,長野県,長野県長野市大字長野字大門町82,,株式会社藤屋,,,36.65709000000000,138.18760000000000,長野駅から善光寺へと向かう桟道に面して建つ。前面道路を十間に拡張する市区改正にあわせて建築された。外観はコンクリートにタイルを貼った意匠であるが、主体構造は木造である。その特異な意匠で、善光寺門前のランドマークとして広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101200/43967_101200111225010500627_300.jpg
101,00000763,信州大学繊維学部講堂（旧上田蚕糸専門学校講堂）,しんしゅうだいがくせんいがくぶこうどう（きゅううえださんしせんもんがっこうこうどう）,1棟,,登録有形文化財(建造物),学校,建築物,,昭和前,昭和4,1929,木造２階建，鉄板葺，建築面積357㎡,,20 － 0005,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,長野県,長野県上田市常田3-15-1,,国立大学法人信州大学,,,36.39212000000000,138.26140000000000,養蚕業の盛んなこの地方で繊維教育のために設立された上田蚕糸専門学校の講堂として建てられた。木造下見板貼の上質な建築で，玄関部の三角に張り出す窓の形状は特異。内部には蚕糸に因んだ彫刻がある。設計は文部省（建築課長は柴垣鼎太郎），施工は柳屋組。,https://bunka.nii.ac.jp/heritage/43967/_101753/43967_101753140814091959837_300.jpg
101,00000764,宮澤家住宅主屋,みやざわけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和11,1936,木造２階建，瓦葺，建築面積270㎡,,20 － 0006,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27424000000000,137.89920000000000,宮澤家はこの地方の旧家で，先々代は村長，先代は製糸業を経営した。主屋は，入母屋造，２階建で軒の深い重厚な外観になる。戦前期の和風住宅の一典型で，座敷廻りの欄間彫刻は見応えがある。２階の３２畳の大広間は，公私にわたる接客場として使用された。,https://bunka.nii.ac.jp/heritage/43967/_101754/43967_101754111225011130900_300.jpg
101,00000765,宮澤家住宅はなれ,みやざわけじゅうたくはなれ,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和10頃,1935頃,木造一部土蔵造平屋建，瓦葺，建築面積75㎡,,20 － 0007,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27417000000000,137.89900000000000,主屋に先立って宅地の西側に建築され，完成後は離れとして利用されている切妻造，桟瓦葺の平屋建物。外観は，主屋側は木部をみせる造作とするが，背面側は大壁造，漆喰塗の土蔵風に造り腰下はなまこ壁として北側の土蔵と意匠を揃えている。,https://bunka.nii.ac.jp/heritage/43967/_101755/43967_101755111225011131411_300.jpg
101,00000766,宮澤家住宅土蔵,みやざわけじゅうたくどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治18,1885,土蔵造２階建，瓦葺，建築面積70㎡,,20 － 0008,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27430000000000,137.89900000000000,切妻造，２階建，平入の中規模の土蔵で，正面（主屋側）に幅一間の塗込めの庇が付く。開口部の少ない土蔵で，軒廻りは塗込の垂木や母屋を見せる点に特徴がある。腰下はなまこ壁仕上げとするが，正面は亀甲模様とし，その他は四半貼りと変化をつけている。,https://bunka.nii.ac.jp/heritage/43967/_101756/43967_101756111225011131924_300.jpg
101,00000768,宮澤家住宅門柱・石塀・屋根塀,みやざわけじゅうたくもんちゅう・いしべい・やねべい,1棟,,登録有形文化財(建造物),住宅,その他工作,,大正,大正9頃・昭和11頃,1920頃,石造塀，木造屋根塀からなる，総延長90m，石造門柱附属,,20 － 0010,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27425000000000,137.89930000000000,屋敷地の東面から南面を囲う塀及び門柱で，石造の門及び塀は主屋再建時に改築されたもの。表門は親柱のみで大柄の御影石切石を３段重ね頭部に球状の飾りを置く洒落た造形になる。石塀は，敷地南面で標準的な屋根塀と接続し，ともに屋敷構えを整えている。,https://bunka.nii.ac.jp/heritage/43967/_132567/43967_132567111225011132457_300.jpg
101,00000769,宮澤家住宅腕木門,みやざわけじゅうたくうでぎもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,昭和前,昭和11頃,1936頃,木造腕木門，左右袖塀延長5m附属,,20 － 0011,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27420000000000,137.89940000000000,玄関右脇にあり，座敷前の庭園を区切る塀重門で，扉は一枚板で乳金具付き棟に鯱を置く重厚な構えになる。左右に屋根付きの袖塀が付くが，門際の１間分が斜め前方に開く形になり，腰下は下見板貼とする。小規模な門ながら，主屋の表廻りを整えている。,https://bunka.nii.ac.jp/heritage/43967/_132568/43967_132568111225011133819_300.jpg
101,00000770,宮澤家住宅冠木門,みやざわけじゅうたくかぶきもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,大正,大正9頃,1920頃,木造冠木門,,20 － 0012,13,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,長野県,長野県安曇野市三郷明盛3042,,宮澤保全有限会社,,,36.27452000000000,137.89900000000000,屋敷地の北側にある裏門で，冠木の上に小屋根を付けた特異な形態になる。内開きの門扉が設けられ，左右に袖塀が付く。かつては馬が出入りしたといわれ，簡素ながら堂々とした構えになり，屋敷地背後の景観を引き立てている。,https://bunka.nii.ac.jp/heritage/43967/_101760/43967_101760111225011134329_300.jpg
