台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000232,佐滝本店,さたきほんてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正13,1924,鉄筋コンクリート造2階建，建築面積99㎡,,02 － 0001,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,青森県,青森県三戸郡三戸町大字八日町49,,,,,40.37723000000000,141.25640000000000,南部地方における鉄筋コンクリート造の先駆け的な建物。近年２階正面が改修され、蔦に覆われたかつてのおもむきが一新された。塔屋風の屋根飾りを持ち当時流行したドイツ表現派の影響が見られる構成となる。設計施工は弘前の堀江組。側面にアーチ門が付設。,https://bunka.nii.ac.jp/heritage/43967/_101222/43967_101222111225010515245_300.jpg
101,00000924,旧河内屋橋本合名会社,きゅうかわうちやはしもとごうめいがいしゃ,1棟,,登録有形文化財(建造物),産業2次,建築物,,大正,大正13,1924,木造２階建，鉄板葺，建築面積135㎡,,02 － 0002,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,造形の規範となっているもの,,青森県,青森県八戸市大字八日町1,,株式会社大正ロマン,,,40.51075000000000,141.49210000000000,造り酒屋の事務所建築。八戸大火直後の建築で，切妻の屋根を見せ２階部分のみ外壁を白地の柱に縦板張りとし，他は下見板張りとする。一階中央部にショーウィンドーを設け，正面庇欄間にステンドグラスをはめる等斬新な意匠になる。設計は安藤安夫。,https://bunka.nii.ac.jp/heritage/43967/_101914/43967_101914111225011315726_300.jpg
101,00001462,旧七戸郵便局,きゅうしちのへゆうびんきょく,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和3,1928,木造二階建、鉄板葺、建築面積67㎡,,02 － 0003,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,造形の規範となっているもの,,青森県,青森県上北郡七戸町字七戸141,,,,,40.69751000000000,141.15180000000000,昭和３年に建設された七戸城跡の東にある特定郵便局舎。４間半四方の規模で，木造総２階建，トラス小屋・寄棟造・鉄板葺屋根とする。ドイツ下見板張の外壁，柱型を現した正面及び各隅，窓と窓間にある刳型小壁など，昭和初期の意匠の流れをよく示している。,https://bunka.nii.ac.jp/heritage/43967/_102452/43967_102452111225011840371_300.jpg
101,00001463,盛田牧場一号廏舎（南部曲屋育成廏舎）,もりたぼくじょういちごうきゅうしゃ（なんぶまがりやいくせいきゅうしゃ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,明治,明治45,1912,木造2階建、茅葺、建築面積396㎡,,02 － 0004,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,国土の歴史的景観に寄与しているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.71021000000000,141.16870000000000,盛田牧場は，明治１７年の函館競馬開始後，まもなくアラブ馬中心にサラブレットも飼育する洋風牧場となった。一号厩舎は墨書より明治４５年５月建築とわかる最古の建物。長大で豪壮な茅葺屋根が，近代の牧場景観を伝えるものとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_102453/43967_102453111225011840638_300.jpg
101,00001464,盛田牧場二号廏舎（育成廏舎）,もりたぼくじょうにごうきゅうしゃ（いくせいきゅうしゃ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正12／昭和27増築,1923／1952増築,木造2階建、鉄板葺、建築面積491㎡,,02 － 0005,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,国土の歴史的景観に寄与しているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.71043000000000,141.16920000000000,一号厩舎の北東，差し掛け屋根で続く。木造２階建，鉄板葺で，東側マンサード屋根部分は昭和２７年の増築。一号厩舎と同じく，１階は中通路の左右に馬房を配した平面で，２階は飼料倉庫とする。下見板張の外壁と変形屋根は一号厩舎からの発展を物語っている。,https://bunka.nii.ac.jp/heritage/43967/_102454/43967_102454111225011840996_300.jpg
101,00001465,盛田牧場三号廏舎（繁殖廏舎）,もりたぼくじょうさんごうきゅうしゃ（はんしょくきゅうしゃ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正9,1920,木造2階建、鉄板葺、建築面積312㎡,,02 － 0006,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,国土の歴史的景観に寄与しているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.71025000000000,141.17210000000000,中通路式の左右馬房配置の平面で，東端で鍵形に宿舎が取り付き，２階を飼料倉庫とする。墨書から大正９年と判明し，マンサード風鉄板葺は，当初は曲屋形式の茅葺であった。正面の飼料搬出口の切上げ部が高窓風に纏められ，均整の取れた外観を構成している。,https://bunka.nii.ac.jp/heritage/43967/_102455/43967_102455111225011841519_300.jpg
101,00001466,盛田牧場四号廏舎（繁殖廏舎）,もりたぼくじょうよんごうきゅうしゃ（はんしょくきゅうしゃ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,昭和前,昭和15,1940,木造2階建、鉄板葺、建築面積579㎡,,02 － 0007,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,国土の歴史的景観に寄与しているもの,,青森県,青森県上北郡七戸町字膝森5,,有限会社金子ファーム,,,40.71025000000000,141.17250000000000,木造，２階建，切妻造・鉄板葺で，昭和１５年に繁殖馬用厩舎として，三号厩舎北東に連続して建つ。中通路式平面で，東端には種付け部屋があり，さらに宿舎が突出する。雄大な規模ながら，外壁を下見板張とした素朴な外観で，機能重視への移行がうかがえる。,https://bunka.nii.ac.jp/heritage/43967/_102456/43967_102456111225011842034_300.jpg
101,00001467,盛田牧場五号廏舎（種牡馬廏舎）,もりたぼくじょうごごうきゅうしゃ（しゅぼばきゅうしゃ）,1棟,,登録有形文化財(建造物),産業1次,建築物,,昭和前,昭和15,1940,木造平屋建、鉄板葺、建築面積51㎡,,02 － 0008,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,国土の歴史的景観に寄与しているもの,,青森県,青森県上北郡七戸町字膝森5,,有限会社金子ファーム,,,40.71063000000000,141.17000000000000,四号厩舎と同じ昭和１５年に建てられた木造，平屋建，切妻造・鉄板葺の厩舎であるが，他の４棟より規模が小さく，平面も片通路式である。正面玄関には大きな切妻のペディメントをつけ，内外とも白ペンキ塗で仕上るなど，瀟洒な意匠でまとめられている。,https://bunka.nii.ac.jp/heritage/43967/_102457/43967_102457111225011843508_300.jpg
101,00001468,盛田牧場馬頭観音堂奥殿,もりたぼくじょうばとうかんのんどうおくでん,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治初期,1868-1911,木造平屋建、銅板葺、建築面積8.2㎡,,02 － 0009,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,造形の規範となっているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.70998000000000,141.17120000000000,もと盛田家の稲荷大明神であったが，戦後に現地に移築し，馬頭観音を祀った。屋敷神を祀る社としては規模の大きな正式の１間社流造で，中備蟇股や虹梁等の絵様が流麗で，装飾彫物も質が高い。建築年代は盛田家が農場経営を開始した明治初期頃と推定される。,https://bunka.nii.ac.jp/heritage/43967/_102458/43967_102458111225011844034_300.jpg
101,00001469,盛田牧場馬頭観音堂拝殿,もりたぼくじょうばとうかんのんどうはいでん,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治40頃,1907頃,木造平屋建、鉄板葺、建築面積37㎡,,02 － 0010,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,造形の規範となっているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.71009000000000,141.17140000000000,入母屋造・鉄板葺で正面向拝付の３間堂で，盛田家の稲荷大明神を移築するまでは，馬頭観音を祀っていた。装飾細部の少ない簡素な建物で，建築年代は堂の扁額の年記より，盛田牧場として各種の施設を整えていった明治４０年頃と考えられる。,https://bunka.nii.ac.jp/heritage/43967/_102459/43967_102459111225011844810_300.jpg
101,00001470,盛田牧場馬頭観音堂鳥居,もりたぼくじょうばとうかんのんどうとりい,1基,,登録有形文化財(建造物),宗教,その他工作,,昭和前,昭和初期,1926-1988,木造、幅2.7m,,02 － 0011,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,造形の規範となっているもの,,青森県,青森県上北郡七戸町字膝森14-1,,有限会社金子ファーム,,,40.71025000000000,141.17120000000000,馬頭観音堂は牧場内の木立の中にあり，その参道南側に鳥居が建っている。丸太状の部材を用い，親柱を掘立で建てた素朴な形式で，額束をもつ点で鹿島鳥居と異なる。奥殿・拝殿とともに，牧場景観の構成要素として欠かせない存在になっている。,https://bunka.nii.ac.jp/heritage/43967/_102460/43967_102460111225011845082_300.jpg
101,00001471,佐滝文庫蔵,さたきぶんこぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治26,1893,土蔵造2階建、鉄板葺、建築面積35㎡,,02 － 0012,22,2000.03.02(平成12.03.02),2000.02.15(平成12.02.15),,20000215,,再現することが容易でないもの,,青森県,青森県三戸郡三戸町大字八日町49,,,,,40.37700000000000,141.25650000000000,佐滝は明治１９年から雑貨商を営んだ商店で，通りに面した店舗が登録されている。文庫蔵は墨書から明治２６年３月竣工とわかり，佐滝で最古の開業当時の建物である。黒漆喰塗・切妻造の小規模なものであるが，軒廻りや観音扉などに高い技術が認められる。,https://bunka.nii.ac.jp/heritage/43967/_102461/43967_102461111225011845351_300.jpg
