台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000049,静岡市役所本館,しずおかしやくしょほんかん,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和9,1934,鉄筋コンクリート造4階建ドーム付、建築面積1995㎡,,22 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,静岡県,静岡県静岡市葵区追手町5-1,,静岡市,,,34.97556000000000,138.38270000000000,"鉄筋コンクリート造４階建ての上に２層の塔屋を重ね,望楼を置き,塔頂にドームをのせている。外壁は象牙色のタイル貼りで，各所にテラコッタが用いられている。ポーチからホールにかけての部分や望楼部分などに，特に優れたデザイン上の工夫が見られる。",https://bunka.nii.ac.jp/heritage/43967/_101039/43967_101039111225010321135_300.jpg
101,00000136,明治宇津ノ谷隧道,めいじうつのやずいどう,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治37,1904,煉瓦造，全長203m,,22 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,静岡県,静岡県静岡市駿河区宇津ノ谷～藤枝市岡部町岡部,,静岡市 藤枝市,,,34.93407000000000,138.30340000000000,明治９年に開通したトンネルが，火災で崩落したものを，その一部を利用する形で修築したもの。旧東海道に沿ったルートで，総延長203メートルに及ぶ。坑口から坑内にわたって全面的に煉瓦造であることが特徴であり，明治隧道の名称で親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101126/43967_101126111225010418580_300.jpg
101,00000249,真珠院鐘楼,しんじゅいんしょうろう,1棟,,登録有形文化財(建造物),宗教,建築物,,昭和前,昭和4,1929,鉄筋コンクリート造，建築面積26㎡,,22 － 0004,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,静岡県,静岡県静岡市清水区梅ヶ谷608,,宗教法人真珠院,,,35.04490000000000,138.45080000000000,鉄筋コンクリート造の鐘楼。基壇上に袴腰や縁を取り付け、柱や長押㎡垂木等にペイント塗装を施す。袴腰の部分に鐘楼建造の由来を刻した石版をはめ込む。設計及び施工は市内の桜井康弘。寺院景観を構成する要素として訪れる人に親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101239/43967_101239111225010528474_300.jpg
101,00000291,清水銀行由比支店本町特別出張所,しみずぎんこうゆいしてんほんまちとくべつしゅっちょうじょ,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正14,1925,鉄筋コンクリート2階建，建築面積75㎡,,22 － 0005,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,造形の規範となっているもの,,静岡県,静岡県静岡市清水区由比41,,株式会社清水銀行,,,35.10689000000000,138.56650000000000,庚子銀行の本店社屋として建てられ，後に合併を経て現在に至る。立面は４本のイオニア式柱頭を持つ柱を立て，古典様式の基本に則る。内部は吹抜けの広い空間を持つ。小規模ながら洗練された様式を持つ，大正期の地方における銀行建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101281/43967_101281111225010552016_300.jpg
101,00000347,隆泉苑,りゅうせんえん,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和6,1931,木造平屋建，瓦葺，建築面積324㎡,,22 － 0006,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,造形の規範となっているもの,,静岡県,静岡県三島市中田町1-43,,公益財団法人佐野美術館,,,35.11588000000000,138.91580000000000,佐野美術館の創始者佐野隆一が両親に贈った旧邸宅を，昭和５２年に美術館に寄贈したもの。総平屋建で，書院の間，数寄屋の間，応接の間等複数の棟から構成される。いずれも吟味された材料を用いて上質かつ繊細に仕上げた作品で，近代和風住宅の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101337/43967_101337111225010627515_300.jpg
101,00000410,旧マッケンジー住宅,きゅうまっけんじーじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和15,1940,木造地上2階地下1階建塔屋付，瓦葺，建築面積283㎡,,22 － 0007,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,静岡県,静岡県静岡市駿河区高松2852,,静岡市,,,34.94562000000000,138.41940000000000,日本茶の輸出に貢献し，各種社会事業にも尽くしたマッケンジー夫妻の旧宅。伊豆半島を望む駿河湾岸の広大な敷地に建つ。W.M.ヴォーリスの設計で，木造２階建，望楼付のスパニッシュスタイルになる。赤瓦屋根とモルタル塗りの白壁の対比がひときわ目立つ。,https://bunka.nii.ac.jp/heritage/43967/_101400/43967_101400111225010709232_300.jpg
101,00000411,隆泉苑表門,りゅうせんえんおもてもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,昭和前,昭和6,1931,木造四脚門袖塀付，瓦葺,,22 － 0008,7,1998.01.08(平成10.01.08),1997.12.12(平成9.12.12),,19971212,,造形の規範となっているもの,,静岡県,静岡県三島市中田町1-43,,公益財団法人佐野美術館,,,35.11570000000000,138.91620000000000,間口の広い両袖塀付の四脚門で，切妻造，桟瓦葺になる。表門の意匠は，左右の袖壁と一体的で，上端を開放的に仕上げ土壁の腰下を縦板貼とする。全体に簡潔な造作としながら，ケヤキの一枚板を用いた門扉は見応えがあり，訪れる人々を魅了している。,https://bunka.nii.ac.jp/heritage/43967/_101401/43967_101401111225010709729_300.jpg
101,00000535,静岡銀行本店（旧静岡三十五銀行本店）,しずおかぎんこうほんてん（きゅうしずおかさんじゅうごぎんこうほんてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和6,1931,鉄筋コンクリート造３階建，建築面積826㎡,,22 － 0010,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,造形の規範となっているもの,,静岡県,静岡県静岡市葵区呉服町1-10,,株式会社静岡銀行,,,34.97576000000000,138.37900000000000,静岡の中心街に建つ銀行社屋。石造風に見せるＲＣ造で，街路に面する２面はいずれも４本のドリス式のオーダーを持ち，交差点からの斜めの外観全体もシンメトリーをなしている。中村與資平の設計で，中規模ではあるが重厚な銀行社屋として親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101525/43967_101525111225010830407_300.jpg
101,00000684,旅館いな葉,りょかんいなば,1棟,,登録有形文化財(建造物),産業3次,建築物,,大正,大正末頃,1912-1925頃,木造地上３階地下１階塔屋付，瓦葺，建築面積451㎡,,22 － 0012,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,静岡県,静岡県伊東市東松原町478,,,,,34.97176687000000,139.09741057000000,伊東の中心部を流れる松川河畔に建つ木造３階建の旅館建築で，隣接する「東海館」とともに伊東温泉のシンボルになっている。望楼のある西端部は昭和４年頃，３階は昭和１２年頃の増築とされる。室内の細部意匠にも見所をもつ旅館建築の好個例である。,https://bunka.nii.ac.jp/heritage/43967/_101674/43967_101674463073010872948_300.jpg
101,00000731,常盤家住宅主屋,ときわけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,江戸末期,1830-1867,木造平屋建，瓦葺，建築面積249㎡,,22 － 0014,12,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,国土の歴史的景観に寄与しているもの,,静岡県,静岡県富士市岩淵455,,,,富士市（旧富士川町）,35.15306000000000,138.61870000000000,江戸時代を通し富士川の渡船役を務めた旧家で，主屋は，安政元年の地震後の再建という。間口８間，奥行５間半，切妻造の建屋の四方に庇を付ける。平面は，片側が土間で居室部は整形六間取を基本とする。岩淵宿で「小休本陣」として知られた上質の建物である。,https://bunka.nii.ac.jp/heritage/43967/_101721/43967_101721111225011106393_300.jpg
