台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000100,丸亀高校記念館（旧香川県立高松尋常中学校丸亀分校本館）,まるがめこうこうきねんかん（きゅうかがわけんりつたかまつじんじょうちゅうがっこうまるがめぶんこうほんかん）,1棟,,登録有形文化財(建造物),学校,建築物,,明治,明治26,1893,木造2階建、瓦葺、建築面積694㎡,,37 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,再現することが容易でないもの,,香川県,香川県丸亀市6-1,,香川県,,,34.28270000000000,133.79740000000000,香川県立の尋常中学校分校の本館として建設されたもので，２階を講堂，１階を職員室としていた。下見板，正面の玄関ポーチ，ペディメントのついた上下窓等を用いた洋風の意匠をもつ建物で，明治期の学校建築の技術の水準の高さをよく示している。,https://bunka.nii.ac.jp/heritage/43967/_101090/43967_101090111225010348415_300.jpg
101,00000101,マルキン記念館（旧醤油醸造工場）,まるきんきねんかん（きゅうしょうゆじょうぞうこうじょう）,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治41～42,1908-1909,木造平屋建、瓦葺、建築面積1083㎡,,37 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,香川県,香川県小豆郡小豆島町苗羽甲1850,,マルキン忠勇株式会社,,,34.46698000000000,134.31920000000000,小豆島に建つ醤油醸造のための工場施設を転用した記念館。マルキンの印を妻に書き上部に明かり取り窓をとる外観に特徴があり，江戸時代後期以来醤油醸造で栄えた小豆島において，往時の景観を知る上で欠くことのできない存在である。,https://bunka.nii.ac.jp/heritage/43967/_101091/43967_101091111225010349882_300.jpg
101,00000102,マルキン醤油発酵蔵,まるきんしょうゆはっこうぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治41～42,1908-1909,木造平屋建、瓦葺、建築面積1462㎡,,37 － 0003,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,香川県,香川県小豆郡小豆島町苗羽甲1850,,マルキン忠勇株式会社,,,34.46649000000000,134.32020000000000,小豆島に建つ醤油醸造のための土蔵造の蔵。板を張った長大な妻を道路に面してみせる外観に特徴があり，記念館とともに江戸時代後期以来醤油醸造で栄えた小豆島において，往時の景観を知る上で欠くことのできない存在である。,https://bunka.nii.ac.jp/heritage/43967/_101092/43967_101092111225010350462_300.jpg
101,00000103,金刀比羅宮宝物館,こんぴらぐうほうもつかん,1棟,,登録有形文化財(建造物),宗教,建築物,,明治,明治38,1905,石造2階建、瓦葺、建築面積165㎡,,37 － 0004,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,造形の規範となっているもの,,香川県,香川県仲多度郡琴平町892-1,,宗教法人金刀比羅宮,,,34.18455000000000,133.81310000000000,石造，２階建の宝物館で，文部省技師久留正道の設計である。入母屋造，本瓦葺の屋根や唐破風造の玄関等をもつ一方，アーチ窓や石組による目地等を用いる。日本人建築家が，伝統的な建築に本格的な洋風の意匠を持ち込んだ初期の事例として注目できる。,https://bunka.nii.ac.jp/heritage/43967/_101093/43967_101093111225010351539_300.jpg
101,00000173,旧御殿水源地喞筒場,きゅうごてんすいげんちそくとうじょう,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正7,1918,木造平屋建，瓦葺，建築面積249㎡,,37 － 0005,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,香川県,香川県高松市鶴市町御殿1360,,香川県広域水道企業団,,,34.33415000000000,134.01520000000000,平屋建・瓦葺で，Ｔ字型にわずかな張り出しがある平面をもつ。本来ポンプ所として建てられたが，事務所風の外観を見せる。小規模で簡素ながら，半円形窓を配した妻面等の洋風の意匠に特徴が見られ，市民生活の近代化を象徴する建物として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101163/43967_101163471514413853016_300.jpg
101,00000174,旧御殿水源地事務所,きゅうごてんすいげんちじむしょ,1棟,,登録有形文化財(建造物),生活関連,建築物,,大正,大正6,1917,木造平屋建，瓦葺，建築面積145㎡,,37 － 0006,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,国土の歴史的景観に寄与しているもの,,香川県,香川県高松市鶴市町御殿1360,,香川県広域水道企業団,,,34.33444000000000,134.01530000000000,高松の近代的水道施設の創設当時から事務室、宿直室として使われている。Ｌ字型の平面構成をとり，出隅角部を入り口とする。平屋建の小規模な建物であるが，ポンプ所と類似する意匠をもち，あわせて近代化のシンボルとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101164/43967_101164470343382646638_300.jpg
101,00000273,大川酒店,おおかわさけてん,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治34,1901,木造2階建，瓦葺，建築面積182㎡,,37 － 0008,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,香川県,香川県善通寺市上吉田町3-7-20,,,,,34.22874000000000,133.78200000000000,道に面して建つ２階建て平入の酒造業を営んだ家の店舗兼主屋。２階部を黒漆喰塗りとして，正面に大正12年から製造している酒の銘柄を描く。２階の立ちが高く，屋根にむくりを付けた重厚な外観から，旧家を思わせる佇まいの酒店として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101263/43967_101263111225010541395_300.jpg
101,00000274,大川家住宅,おおかわけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和12,1937,木造2階建，瓦葺，建築面積134㎡,,37 － 0009,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,国土の歴史的景観に寄与しているもの,,香川県,香川県善通寺市上吉田町3-7-20,,,,,34.22867000000000,133.78190000000000,主屋の西側に接続して増築された洋館。おもに応接用に使われている。装飾のある玄関ポーチ，急勾配の屋根，縦長の窓，モルタル仕上げの外壁等を用いた外観の意匠は，重厚な和風の主屋とは対照的で，ひときわ目立つ洋館として広く知られている。,https://bunka.nii.ac.jp/heritage/43967/_101264/43967_101264111225010543918_300.jpg
101,00000275,磯野家住宅,いそのけじゅうたく,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和5,1930,木造2階建，瓦葺，建築面積255㎡,,37 － 0010,4,1997.07.30(平成9.07.30),1997.07.15(平成9.07.15),,19970715,,造形の規範となっているもの,,香川県,香川県善通寺市生野町2146-1,,,,,34.22203000000000,133.78400000000000,和風住宅の正面玄関脇に小規模な２階建ての洋館を取り付けた形の住宅。洋館部はモルタル仕上げで，頂部に装飾を持つ柱形や１・２階の間にある帯状の装飾に特徴がある。大正から昭和初期に多くみられる和風住宅に洋館を付した住宅建築の好例である。,https://bunka.nii.ac.jp/heritage/43967/_101265/43967_101265111225010544511_300.jpg
101,00000550,鞘橋,さやばし,1基,,登録有形文化財(建造物),交通,土木構造物,,明治,明治2,1869,木造，長さ23.6m，幅4.5m，銅板葺,,37 － 0013,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,国土の歴史的景観に寄与しているもの,,香川県,香川県仲多度郡琴平町阿波町,,宗教法人金刀比羅宮,,,34.18564000000000,133.82160000000000,琴平の町中を流れる金倉川に架けられた屋根付きの木造反橋。明治２年の改築で，橋桁を用いない両岸から組み出す形式になった。明治３８年に現在地に移築された後は，金刀比羅宮の祭儀を行う際にのみ使われ，神橋として広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101540/43967_101540111225010840147_300.jpg
101,00000551,琴平町公会堂,ことひらちょうこうかいどう,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和9,1934,木造平屋建，瓦葺，建築面積914㎡,,37 － 0014,9,1998.06.09(平成10.06.09),1998.04.21(平成10.04.21),,19980421,,国土の歴史的景観に寄与しているもの,,香川県,香川県仲多度郡琴平町川西甲975-1,,琴平町,,,34.18542000000000,133.81810000000000,金刀比羅宮の参道沿いに建つ和風を基調とした大型の公会堂で，大きく玄関棟，ホール棟，和室棟から構成される。ホール内部は近年の改修で一新されたが，入母屋造の大屋根や玄関棟，和室棟の小屋根が取り付く優雅な外観は，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101541/43967_101541111225010840644_300.jpg
101,00000711,観音寺市郷土資料館本館（旧三豊郡農会農事試験場）,かんのんじしきょうどしりょうかんほんかん（きゅうみとよぐんのうかいのうじしけんじょう）,1棟,,登録有形文化財(建造物),産業1次,建築物,,大正,大正3,1914,木造２階建，瓦葺，建築面積108㎡,,37 － 0015,11,1998.09.25(平成10.09.25),1998.09.02(平成10.09.02),,19980902,,造形の規範となっているもの,,香川県,香川県観音寺市有明町3-35,,観音寺市,,,34.13086000000000,133.64360000000000,木造２階建，寄棟造，桟瓦葺の洋館。左右対称のデザインで，玄関ポーチの左右に階下階上とも２連の上げ下げ窓を配し，階上中央の窓上部に切妻の破風をつけ，その内部をティンバーワークで飾っている。洋風建築の普及と消化を示す好個の事例である。,https://bunka.nii.ac.jp/heritage/43967/_101701/43967_101701111225011049607_300.jpg
