台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000105,畠中家住宅（野良時計）主屋,はたけなかけじゅうたく（のらどけい）しゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治20,1887,木造2階建、瓦葺、建築面積126㎡,,39 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸市土居638-4,,,,,33.51574000000000,133.91160000000000,複雑な平面になる主屋北側の突出部の屋根に擬洋風の時計台が載る独特の構成を持つ。時計は当時の亭主の手造りと思われ，我が国の近代化が地方に浸透した過程を示す。「野良時計」の愛称でよく知られた住宅で，広く親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101095/43967_101095151214161832714_300.jpg
101,00000106,畠中家住宅（野良時計）蔵,はたけなかけじゅうたく（のらどけい）くら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治20,1887,木造2階建、瓦葺、建築面積21㎡,,39 － 0002,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸市土居638-4,,,,,33.51575000000000,133.91150000000000,時計台のある主屋に近接して建つ大壁造の土蔵は，腰下を板張りとし，妻壁に開いた小窓と水切りの小庇で外観を飾る。「時計台」の載る主屋とともに，静かな田園地帯によくなじんだ風景として知られ親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101096/43967_101096151214161833112_300.jpg
101,00001352,末延家住宅（旧末延堂医院）主屋,すえのぶけじゅうたく（きゅうすえのぶどういいん）しゅおく,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和2,1927,木造2階建、瓦葺、建築面積160㎡,,39 － 0003,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,造形の規範となっているもの,,高知県,高知県安芸郡芸西村和食甲1586-1,,,,,33.52020000000000,133.81020000000000,診療所と住居を兼ねた木造２階建，下見板貼の洋館。東西棟の寄棟屋根の両端を切り落とした特徴的な屋根をもち，長屋門側の東面に居宅用の玄関を，また，南面の切妻屋根の張出しに診療所用の玄関を設ける。妻面の持送り意匠に時代的な特徴がよく表れている。,https://bunka.nii.ac.jp/heritage/43967/_102342/43967_102342111225011728923_300.jpg
101,00001353,末延家住宅（旧末延堂医院）蔵,すえのぶけじゅうたく（きゅうすえのぶどういいん）くら,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,土蔵造2階建、瓦葺、建築面積25㎡,,39 － 0004,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸郡芸西村和食甲1586-1,,,,,33.52026000000000,133.81010000000000,敷地の西北端に建つ東西棟，瓦葺切妻屋根，平入の２階建土蔵。内部は１室構成で，２階北面に小窓を開けただけの閉鎖的なつくりとなる。北面は水切り瓦を３段に付けた意匠で，屋敷構えの北面の景観を端部でまとめあげる役割を果たしている。,https://bunka.nii.ac.jp/heritage/43967/_102343/43967_102343111225011730497_300.jpg
101,00001354,末延家住宅（旧末延堂医院）かま屋,すえのぶけじゅうたく（きゅうすえのぶどういいん）かまや,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,木造平屋建、瓦葺、建築面積40㎡,,39 － 0005,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸郡芸西村和食甲1586-1,,,,,33.52027000000000,133.81020000000000,主屋の北側に敷地境に沿って建つ。桁行７間，梁間１間半の細長い建屋で，東側を３室の使用人用居室，西端２間分を釜屋に充てる。北面は連子窓の上部に小庇を付け，屋根は西寄りを１段高くし，さらに釜屋部分に換気抜きの小屋根を架けて変化をもたせている。,https://bunka.nii.ac.jp/heritage/43967/_102344/43967_102344111225011730763_300.jpg
101,00001355,末延家住宅（旧末延堂医院）長屋門,すえのぶけじゅうたく（きゅうすえのぶどういいん）ながやもん,1棟,,登録有形文化財(建造物),住宅,建築物,,昭和前,昭和2,1927,木造平屋建、瓦葺、建築面積35㎡,,39 － 0006,20,1999.10.28(平成11.10.28),1999.10.14(平成11.10.14),,19991014,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸郡芸西村和食甲1586-1,,,,,33.52023000000000,133.81030000000000,和食地区を南北に貫く県道羽尾琴浜線に沿って東面して建つ。木造平屋建，瓦葺寄棟屋根，南北棟の長屋門で，正面中央に門を開き，主屋の居住用玄関に通じる。長屋門の北にはかま屋と意匠をあわせた屋根塀を，南には診療所用の門に連なるコンクリート塀を付す。,https://bunka.nii.ac.jp/heritage/43967/_102345/43967_102345111225011731022_300.jpg
101,00001648,旧味元家住宅主屋,きゅうみもとけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,江戸,天保3／平成3移築,1832／1991移築,木造平屋建、茅葺、建築面積64㎡,,39 － 0007,23,2000.05.17(平成12.05.17),2000.04.28(平成12.04.28),,20000428,,造形の規範となっているもの,,高知県,高知県南国市岡豊町八幡1099-1,,高知県,,,33.59679000000000,133.62340000000000,高知県中西部，東津野村の山間地に営まれた入母屋造，茅葺，広間型の民家。土間にはコウゾ蒸し用の窯が設置され，茶の間屋根裏をコウゾの貯蔵場とするなど，和紙原料栽培を生業とした山間地の生活を物語る。平成３年に高知県立歴史民俗資料館に移築された。,https://bunka.nii.ac.jp/heritage/43967/_102638/43967_102638111225012041014_300.jpg
101,00001958,藤村製絲株式会社西蔵,ふじむらせいしかぶしきがいしゃにしぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治32,1899,土蔵造2階建、瓦葺、建築面積190㎡,,39 － 0008,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,国土の歴史的景観に寄与しているもの,,高知県,高知県安芸郡奈半利町乙2630,,藤村製絲株式会社,,,33.42847000000000,134.02500000000000,奈半利川河口左岸に位置し，捕鯨や林業で栄えた奈半利の実業家である藤村米太郎が興した製糸工場の繭蔵で，敷地の西北隅に建つ。桁行約１６ｍ，梁間約１０ｍ規模の東西棟，切妻造，桟瓦葺，平入２階建土蔵で，妻面には当地方特有の水切瓦を５段に付ける。,https://bunka.nii.ac.jp/heritage/43967/_102948/43967_102948111225012407338_300.jpg
101,00001961,藤村製絲株式会社石塀,ふじむらせいしかぶしきがいしゃいしべい,1棟,,登録有形文化財(建造物),産業2次,その他工作,,明治,明治32頃,1899頃,石造、延長35m,,39 － 0011,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,再現することが容易でないもの,,高知県,高知県安芸郡奈半利町乙2630,,藤村製絲株式会社,,,33.42825000000000,134.02480000000000,敷地の西辺を限る丸石練塀。５０ｃｍ厚，高さ２．２ｍで，南部は玉石，北部は半割面を見せ，頂部に桟瓦葺の小屋根を載せる。土佐地方特有の「いしぐろ」の系統を引くが，基礎を間知積風，コーナーを切石積とするなど近代の手法も採り入れられている。,https://bunka.nii.ac.jp/heritage/43967/_102951/43967_102951111225012409570_300.jpg
101,00001963,大西家住宅蔵,おおにしけじゅうたくくら,1棟,,登録有形文化財(建造物),産業1次,建築物,,昭和前,昭和13,1938,土蔵造平屋建、瓦葺、建築面積88㎡,,39 － 0013,26,2000.11.06(平成12.11.06),2000.10.18(平成12.10.18),,20001018,,再現することが容易でないもの,,高知県,高知県安芸郡奈半利町乙1728,,有限会社奈半利スーパーマーケット,,,33.42507000000000,134.02290000000000,奈半利農協の前身が建設。桁行５間，梁行３間規模，切妻造，桟瓦葺，平入の２階建土蔵で，南面に奥行き１間半の下屋を差し出す。道路に面した西妻面は，腰を押縁下見とし，上部は鉄扉付窓の左右に水切瓦を振り分け，軒先は螻羽まで漆喰で塗込めた仕上とする。,https://bunka.nii.ac.jp/heritage/43967/_102953/43967_102953111225012410083_300.jpg
