台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00000081,協同組合倉吉大店会（旧第三銀行倉吉支店）,きょうどうくみあいくらよしだいてんかい（きゅうだいさんぎんこうくらよししてん）,1棟,,登録有形文化財(建造物),産業3次,建築物,,明治,明治41,1908,土蔵造2階建、瓦葺、建築面積179㎡,,31 － 0001,1,1996.12.26(平成8.12.26),1996.12.20(平成8.12.20),,19961220,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県倉吉市魚町2540-1,,社会福祉法人和,,,35.43163000000000,133.82640000000000,倉吉の旧街道｢倉吉往来｣に面して建つ明治期の疑洋風建築の好例。当初第三銀行の支店として建造され，その後いくつかの金融機関を経て，現在は事務所として使用されている。旧往来に面した角地にあって，倉吉の中心街の明治期の様子を今に伝えている。,https://bunka.nii.ac.jp/heritage/43967/_101071/43967_101071379936528173452_300.jpg
101,00000157,日野町歴史民俗資料館（旧根雨公会堂）,ひのちょうれきしみんぞくしりょうかん（きゅうねうこうかいどう）,1棟,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,昭和15,1940,木造2階建，瓦葺，建築面積473㎡,,31 － 0002,2,1997.05.29(平成9.05.29),1997.05.07(平成9.05.07),,19970507,,造形の規範となっているもの,,鳥取県,鳥取県日野郡日野町根雨497,,日野町,,,35.23736000000000,133.44270000000000,根雨の町並みを見下ろす山の中腹に建つ切妻造，妻入で，設計は岡田孝雄。間口９間，奥行１６間半，木造２階建ての大規模な公会堂である。外観は周囲の町並みに調和するように，庇を回して抑えた意匠になる。妻壁を飾るマークが文化の殿堂であることを示す。,https://bunka.nii.ac.jp/heritage/43967/_101147/43967_101147111225010429765_300.jpg
101,00000309,旅館大橋本館,りょかんおおはしほんかん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造3階建，瓦葺，建築面積625㎡,,31 － 0018,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県東伯郡三朝町三朝302,,,,,35.41189000000000,133.89050000000000,大橋旅館は三朝温泉郷の老舗温泉旅館の一つで，三徳川に沿って本館や離れ等が軒を連ねている。本館は，木造３階建になり，１階正面左手に玄関を設け，各階に意匠を凝らした上品な客室を配する。優雅な和風の外観は，三朝温泉の歴史と伝統を今に伝えている。,https://bunka.nii.ac.jp/heritage/43967/_101299/43967_101299111225010604519_300.jpg
101,00000310,旅館大橋離れ,りょかんおおはしはなれ,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造3階建，瓦葺，建築面積312㎡,,31 － 0019,5,1997.09.16(平成9.09.16),1997.09.03(平成9.09.03),,19970903,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県東伯郡三朝町三朝302,,,,,35.41172000000000,133.89110000000000,本館の左手に接続する和風の建物。入母屋造３階建の建屋と寄棟造２階建の建屋からなるが，一体として使用される。客室はやや広めで，各客室は本館同様に意匠を凝らした上品な造りになる。三徳川沿いに展開する雄姿は，三朝温泉の象徴的な存在である。,https://bunka.nii.ac.jp/heritage/43967/_101300/43967_101300111225010605201_300.jpg
101,00000360,旅館大橋大広間棟,りょかんおおはしおおひろまとう,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造2階建，瓦葺，建築面積214㎡,,31 － 0020,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県東伯郡三朝町三朝302,,,,,35.41182000000000,133.89100000000000,温泉旅館を構成する建物の一つ。三徳川に沿って建ち並ぶ本館と離れの間に建つ。大規模な木造２階建の建物で，１階は厨房とし２階を大広間とする。左右一対の千鳥破風をつけた大屋根は，特徴的である。近年内部は改修されたが、外観は旧状を良く保っている。,https://bunka.nii.ac.jp/heritage/43967/_101350/43967_101350111225010634507_300.jpg
101,00000361,旅館大橋西離れ,りょかんおおはしにしはなれ,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造平屋建一部2階，瓦葺，建築面積68㎡,,31 － 0021,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県東伯郡三朝町三朝302,,,,,35.41191000000000,133.89010000000000,本館の右手に独立して建つ和風の建物で，本館とは太鼓橋で結ばれる。１階部分は露天風呂への脱衣室，２階は管理室となる。三徳川の下流側にあり，三角形の開口部や小庇，手摺等で外観を飾る。本館や離れ等とともに旅館建物の一つとして親しまれている。,https://bunka.nii.ac.jp/heritage/43967/_101351/43967_101351111225010635005_300.jpg
101,00000362,旅館大橋太鼓橋,りょかんおおはしたいこばし,1基,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和7,1932,木造，瓦葺，建築面積23㎡,,31 － 0022,6,1997.12.03(平成9.12.03),1997.11.05(平成9.11.05),,19971105,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県東伯郡三朝町三朝302,,,,,35.41197000000000,133.89020000000000,本館と西離れを繋ぐ廊下で，公道から川岸に通じる通路をまたぐ太鼓橋に切妻造の上屋をかけた形式になる。本体部は円弧型の橋桁やや高欄をつけるなど本格的な造りとなる。道路側には橋の両端に灯明が付くなど凝った造作になり，温泉情緒を盛り上げている。,https://bunka.nii.ac.jp/heritage/43967/_101352/43967_101352111225010635252_300.jpg
101,00000601,立川吉村家住宅主屋,たちかわよしむらけじゅうたくしゅおく,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治中期,1868-1911,木造２階建，瓦葺，建築面積311㎡,,31 － 0023,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県鳥取市立川町4-140,,株式会社徳平,,,35.49156000000000,134.24630000000000,切妻造，２階建の大規模な主屋で，中廊下を挟んで居室及び玄関が配され，北面に台所，南面に書斎，西面に板塀が附属する。大棟及び一間幅の庇はともに石州瓦葺で，２階をなまこ壁とし軒裏を漆喰で塗り込める外観はよく目立ち，地区の象徴的存在である。,https://bunka.nii.ac.jp/heritage/43967/_101591/43967_101591111225010909484_300.jpg
101,00000602,立川吉村家住宅什器蔵,たちかわよしむらけじゅうたくじゅうきぐら,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治中期,1868-1911,木造２階建，瓦葺，建築面積36㎡,,31 － 0024,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県鳥取市立川町4-140,,株式会社徳平,,,35.49162000000000,134.24620000000000,主屋玄関の北脇に主屋と接して建つ小規模な土蔵で，前後に庇が付く形式になる。外壁を漆喰仕上げとし，腰板貼りとする外観は主屋と一体的な構成になる。昭和１１年の道路拡幅で主屋ととも曳屋され，蔵の向きを現状に改めたと伝えるが，違和感はない。,https://bunka.nii.ac.jp/heritage/43967/_101592/43967_101592111225010909742_300.jpg
101,00000603,立川吉村家住宅通用門,たちかわよしむらけじゅうたくつうようもん,1棟,,登録有形文化財(建造物),住宅,その他工作,,明治,明治中期／昭和11曵屋,1868-1911／1936曵屋,屋根塀延長7.4m，門口一所付属,,31 － 0025,10,1998.08.04(平成10.08.04),1998.07.23(平成10.07.23),,19980723,,国土の歴史的景観に寄与しているもの,,鳥取県,鳥取県鳥取市立川町4-140,,株式会社徳平,,,35.49164000000000,134.24610000000000,什器蔵の北側にあり，勝手蔵との間を塞ぐ屋根塀の中央部に間口１間半の門口を開いたもの。門口の左右は真壁造，腰板貼りとする簡素な構造になる。門口は元間口１間であったが，近年車の出入りのため広げられた。屋敷構えを構成する要素の一つである。,https://bunka.nii.ac.jp/heritage/43967/_101593/43967_101593111225010910258_300.jpg
