台帳ID,管理対象ID,名称,ふりがな,員数,棟名,文化財種類,種別1,種別2,国,時代,年代,西暦,構造及び形式等,その他参考となるべき事項,登録番号,登録回,登録告示年月日,登録年月日,追加年月日,重文指定年月日,国宝指定年月日,登録基準1,登録基準2,都道府県,所在地,保管施設の名称,所有者名,所有者種別,管理団体又は責任者,緯度,経度,解説文,画像URL
101,00001024,鹿児島県立博物館考古資料館,かごしまけんりつはくぶつかんこうこしりょうかん,1棟,,登録有形文化財(建造物),文化福祉,建築物,,明治,明治16,1883,石造２階建，建築面積337㎡,,46 － 0001,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,再現することが容易でないもの,,鹿児島県,鹿児島県鹿児島市城山町1-1,,鹿児島県,,,31.59444000000000,130.55200000000000,興業館として建設され，鹿児島県の産業振興に大きな役割を果たした。石造アーチ橋の文化圏にある鹿児島ならではの石造建築で，洋風を基調としながら，随所に和風モチーフの細部を混在させた特異な建造物として知られる。,https://bunka.nii.ac.jp/heritage/43967/_102014/43967_102014160215100419588_300.jpg
101,00001025,鹿児島市庁舎本館,かごしましちょうしゃほんかん,1棟,,登録有形文化財(建造物),官公庁舎,建築物,,昭和前,昭和12,1937,鉄筋コンクリート造３階建，建築面積2813㎡,,46 － 0002,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,造形の規範となっているもの,,鹿児島県,鹿児島県鹿児島市山下町11-1,,鹿児島市,,,31.59688000000000,130.55700000000000,大蔵省営繕管財局の設計になる府県庁舎スタイルを踏襲した市庁舎建築であるが，当時の岩元市長の強い意向により，ベースメント層を設けずに道路からストレートに入れるようなプランニングをとっている点に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_102015/43967_102015111225011415829_300.jpg
101,00001027,南日本銀行本店,みなみにほんぎんこうほんてん,1棟,,登録有形文化財(建造物),産業3次,建築物,,昭和前,昭和12,1937,鉄筋コンクリート造６階建，建築面積1333㎡,,46 － 0004,15,1998.12.25(平成10.12.25),1998.12.11(平成10.12.11),,19981211,,造形の規範となっているもの,,鹿児島県,鹿児島県鹿児島市山下町1-1,,株式会社南日本銀行,,,31.59463000000000,130.55680000000000,鹿児島無尽株式会社鹿児島支店として建設。３階分通しのコリント式列柱による主階層，アーチ窓を重ねたアチック層，曲面構成の塔屋との対比に妙味が感じられる。設計は元鹿児島県技師の三上昇。三面が道路に面することで格好のランドマークともなっている。,https://bunka.nii.ac.jp/heritage/43967/_102017/43967_102017111225011417740_300.jpg
101,00001321,旧島津家芹ヶ野金山鉱業事業所,きゅうしまづけせりがのきんざんこうぎょうじぎょうしょ,1棟,,登録有形文化財(建造物),産業1次,建築物,,明治,明治37／大正12・昭和61移築,1904／1923・1986移築,木造２階建，瓦葺，建築面積158㎡,,46 － 0005,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,鹿児島県,鹿児島県鹿児島市吉野町9688-1,,株式会社島津興業,,,31.61678000000000,130.57530000000000,もと串木野村にあった島津家の金鉱山事務所。寄棟造の２階建本屋に片入母屋屋根の玄関及びムクリ屋根の張出し部がつく。外壁は下見板貼りとし、２階正面に連続アーチで構成されるベランダを設けるなど洋風の外観に、和風の屋根をかけた独特の形態を保つ。,https://bunka.nii.ac.jp/heritage/43967/_102311/43967_102311795824517847290_300.jpg
101,00001322,旧島津家吉野殖林所,きゅうしまづけよしのしょくりんじょ,1棟,,登録有形文化財(建造物),産業1次,建築物,,明治,明治42／昭和61移築,1909／1986移築,木造平屋建，瓦葺，建築面積178㎡,,46 － 0006,19,1999.09.07(平成11.09.07),1999.08.23(平成11.08.23),,19990823,,造形の規範となっているもの,,鹿児島県,鹿児島県鹿児島市吉野町9688-24,,株式会社島津興業,,,31.61669000000000,130.57570000000000,もと吉田村にあって島津家吉野殖林所として建築された。寄棟造の本屋正面に独特の意匠になるベランダやムクリ屋根の玄関ポーチがつく。内部は、右手に倉庫部屋を残すほか一室に改造し、薩摩切子等の展示販売室とする。設計は隈元長栄、施工は丸田十兵衛。,https://bunka.nii.ac.jp/heritage/43967/_102312/43967_102312240723284968797_300.jpg
101,00002343,仙巌園内濾過池,せんがんえんないろかち,1棟,,登録有形文化財(建造物),その他,建築物,,明治,明治40,1907,石造平屋建、建築面積21㎡、深さ2.4m,,46 － 0007,29,2001.09.14(平成13.09.14),2001.08.28(平成13.08.28),,20010828,,再現することが容易でないもの,,鹿児島県,鹿児島県鹿児島市吉野町9700-1,,株式会社島津興業,,,31.61899000000000,130.58150000000000,市街の北部，鹿児島湾を臨む名勝仙巌園の隣接地に所在する。地下約２．４ｍの位置に布設された水道石管から取水し，ろ過の後に敷地内各所に配水する。大型切石積の壁面から石造ヴォールト天井を架け，外観は和風を意識した切妻屋根に見せる。,https://bunka.nii.ac.jp/heritage/43967/_103333/43967_103333111225012811432_300.jpg
101,00002344,鹿島村離島住民生活センター（旧藺牟田漁業組合）,かしまむらりとうじゅうみんせいかつせんたー（きゅういむたぎょぎょうくみあい）,1棟,,登録有形文化財(建造物),産業1次,建築物,,昭和前,昭和5,1930,鉄筋コンクリート造2階建、建築面積116㎡,,46 － 0008,29,2001.09.14(平成13.09.14),2001.08.28(平成13.08.28),,20010828,,造形の規範となっているもの,,鹿児島県,鹿児島県薩摩川内市鹿島町藺牟田1611-5,,薩摩川内市,,,31.77574000000000,129.79360000000000,下甑島北部藺牟田漁港の漁業組合事務所として建設。鉄筋コンクリート造２階建で，正面右手に平屋建の氷室を従える。軒，壁面などに装飾をつけたアールデコ建築で，柱型に面取をを施している点に特徴がある。離島における初期鉄筋コンクリート建築として貴重。,https://bunka.nii.ac.jp/heritage/43967/_103334/43967_103334111225012812359_300.jpg
101,00002345,山田の凱旋門,やまだのがいせんもん,1基,,登録有形文化財(建造物),その他,その他工作,,明治,明治39,1906,石造、高さ4.7m、幅4.9m,,46 － 0009,29,2001.09.14(平成13.09.14),2001.08.28(平成13.08.28),,20010828,,再現することが容易でないもの,,鹿児島県,鹿児島県姶良市下名1178,,姶良市,,,31.77358000000000,130.61410000000000,日露戦争従軍者の帰還を記念して山田村兵事会が建設。江戸切仕上の石を１５段，高４．７ｍに積んで門柱とし，約２．７ｍの門柱間に石アーチを架けて凱旋門風の構えを造る。小規模ながら，日本では類例の少ない恒久的凱旋門建造物として貴重である。,https://bunka.nii.ac.jp/heritage/43967/_103335/43967_103335111225012813900_300.jpg
101,00002346,白金酒造石蔵,しらかねしゅぞういしぐら,1棟,,登録有形文化財(建造物),産業2次,建築物,,明治,明治期,1868-1911,石造、瓦葺、建築面積222㎡,,46 － 0010,29,2001.09.14(平成13.09.14),2001.08.28(平成13.08.28),,20010828,,国土の歴史的景観に寄与しているもの,,鹿児島県,鹿児島県姶良市脇元1943-1,,白金酒造株式会社,,,31.70117000000000,130.61430000000000,明治２年創業の造り酒屋の仕込蔵。ＪＲ日豊本線重富駅の南方，国道１０号線に西面して建つ。切妻造，桟瓦葺，もと平入の木骨石造蔵で，県内に数多く残る凝灰岩系石蔵のひとつであるが，石目地を極力薄くして精巧に積みあげている点に特徴がある。,https://bunka.nii.ac.jp/heritage/43967/_103336/43967_103336111225012815050_300.jpg
101,00002870,森山家住宅土蔵,もりやまけじゅうたくどぞう,1棟,,登録有形文化財(建造物),住宅,建築物,,明治,明治37,1904,石造及び土蔵造2階建、瓦葺、建築面積83㎡,,46 － 0011,33,2002.07.16(平成14.07.16),2002.06.25(平成14.06.25),,20020625,,再現することが容易でないもの,,鹿児島県,鹿児島県姶良市加治木町朝日町172,,姶良市,市区町村,,31.73439000000000,130.66730000000000,桁行約１７ｍ，梁間約５ｍの蔵。腰部を石造とし，その上に半間毎に柱を立てて土蔵としている。内部は南北２室に分け，２階を設けている。西面及び南面に入口３カ所を開く他，数カ所に窓を設けている。通例より高くまで石造部分を持つことが特徴。,https://bunka.nii.ac.jp/heritage/43967/_103860/43967_103860111225013330324_300.jpg
