"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"101","00000010","旧東北砕石工場","","登録有形文化財(建造物)","産業2次","建築物","","大正","19961220","","岩手県","岩手県一関市東山町松川字滝ノ沢平117-1他","","一関市","","38.98039000000000","141.23920000000000"
"101","00000011","両関酒造本館","","登録有形文化財(建造物)","産業2次","建築物","","大正","19961220","","秋田県","秋田県湯沢市前森4-3-18","","両関酒造株式会社 伊藤雄太郎","","39.17081000000000","140.49320000000000"
"101","00000012","両関酒造１号蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","19961220","","秋田県","秋田県湯沢市前森4-3-18","","両関酒造株式会社","","39.17082000000000","140.49340000000000"
"101","00000013","両関酒造２号蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","19961220","","秋田県","秋田県湯沢市前森4-3-18","","両関酒造株式会社","","39.17093000000000","140.49350000000000"
"101","00000014","両関酒造３号蔵","","登録有形文化財(建造物)","産業2次","建築物","","大正","19961220","","秋田県","秋田県湯沢市前森4-3-18","","両関酒造株式会社","","39.17104000000000","140.49350000000000"
"101","00000015","両関酒造４号蔵","","登録有形文化財(建造物)","産業2次","建築物","","大正","19961220","","秋田県","秋田県湯沢市前森4-3-18","","両関酒造株式会社","","39.17084000000000","140.49360000000000"
"101","00000016","渡辺彦兵衛商店事務所・住宅","","登録有形文化財(建造物)","産業2次","建築物","","大正","19961220","","秋田県","秋田県南秋田郡五城目町字下夕町48","","株式会社渡辺彦兵衛商店","","39.94417000000000","140.11920000000000"
"101","00000017","渡辺彦兵衛商店上蔵","","登録有形文化財(建造物)","産業2次","建築物","","江戸","19961220","","秋田県","秋田県南秋田郡五城目町字下夕町48","","株式会社渡辺彦兵衛商店","","39.94423000000000","140.11890000000000"
"101","00000018","渡辺彦兵衛商店下蔵","","登録有形文化財(建造物)","産業2次","建築物","","江戸","19961220","","秋田県","秋田県南秋田郡五城目町字下夕町48","","株式会社渡辺彦兵衛商店","","39.94450000000000","140.11860000000000"
"101","00000019","橋本家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","19961220","","山形県","山形県酒田市日吉町2-3-25","","","","38.91735000000000","139.83190000000000"
"101","00000020","相馬屋主屋","","登録有形文化財(建造物)","産業3次","建築物","","明治","19961220","","山形県","山形県酒田市日吉町1-2-20","","株式会社平田牧場","","38.91941000000000","139.83320000000000"
"101","00000021","向瀧玄関","","登録有形文化財(建造物)","産業3次","建築物","","大正","19961220","","福島県","福島県会津若松市東山町大字湯本字川向200","","株式会社向瀧","","37.47807000000000","139.96100000000000"
"101","00000022","向瀧はなれ","","登録有形文化財(建造物)","産業3次","建築物","","大正","19961220","","福島県","福島県会津若松市東山町大字湯本字川向200","","株式会社向瀧","","37.47789000000000","139.96080000000000"
"101","00000023","向瀧客室棟（花月の間、梅の間他）","","登録有形文化財(建造物)","産業3次","建築物","","明治","19961220","","福島県","福島県会津若松市東山町大字湯本字川向200","","株式会社向瀧","","37.47819000000000","139.96060000000000"
"101","00000024","向瀧客室棟（会議室、菊の間他）","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","19961220","","福島県","福島県会津若松市東山町大字湯本字川向200","","株式会社向瀧","","37.47806000000000","139.96050000000000"
"101","00000025","蛇の鼻御殿本館","","登録有形文化財(建造物)","住宅","建築物","","明治","19961220","","福島県","福島県本宮市本宮字蛇の鼻38","","株式会社伊東商事","","37.51395000000000","140.37600000000000"
"101","00000026","蛇の鼻御殿蔵座敷","","登録有形文化財(建造物)","住宅","建築物","","明治","19961220","","福島県","福島県本宮市本宮字蛇の鼻38","","株式会社伊東商事","","37.51408000000000","140.37630000000000"
"101","00000027","茨城県立水戸商業高等学校旧本館玄関","","登録有形文化財(建造物)","学校","建築物","","明治","19961220","","茨城県","茨城県水戸市新荘３-７-２","","茨城県","","36.38717000000000","140.45450000000000"
"101","00000028","水戸市水道低区配水塔","","登録有形文化財(建造物)","生活関連","その他工作物","","昭和前","19961220","","茨城県","茨城県水戸市北見町126-14","","水戸市","","36.37833000000000","140.47560000000000"
